Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,boat3-clock3,boat3,clock3,boat3-bicycle2,cat7-clock3,dot,2843344.0,2465683.5,1,0
resnet50_random,boat3-clock3,boat3,clock3,boat3-bicycle2,cat6-clock3,dot,2843344.0,2738994.5,1,0
resnet50_random,boat3-clock3,boat3,clock3,boat3-bicycle2,bear4-clock3,dot,2843344.0,2948724.75,0,1
resnet50_random,boat3-clock3,boat3,clock3,boat3-bicycle2,boat7-clock3,dot,2843344.0,3021871.75,0,1
resnet50_random,boat3-clock3,boat3,clock3,boat3-bicycle2,boat5-clock3,dot,2843344.0,3016462.0,0,1
resnet50_random,boat3-clock3,boat3,clock3,boat3-bicycle2,oven3-clock3,dot,2843344.0,2471871.5,1,0
resnet50_random,boat3-clock3,boat3,clock3,boat3-bicycle2,oven1-clock3,dot,2843344.0,1988443.125,1,0
resnet50_random,boat3-clock3,boat3,clock3,boat3-bicycle2,chair7-clock3,dot,2843344.0,2667261.0,1,0
resnet50_random,boat3-clock3,boat3,clock3,boat3-bicycle2,chair8-clock3,dot,2843344.0,3305916.0,0,1
resnet50_random,boat3-clock3,boat3,clock3,boat3-bicycle2,truck1-clock3,dot,2843344.0,2197687.25,1,0
resnet50_random,boat3-clock3,boat3,clock3,boat3-bicycle2,truck3-clock3,dot,2843344.0,2461865.5,1,0
resnet50_random,boat3-clock3,boat3,clock3,boat3-bicycle2,bird2-clock3,dot,2843344.0,2754024.5,1,0
resnet50_random,boat3-clock3,boat3,clock3,boat3-bicycle2,bird1-clock3,dot,2843344.0,2890418.5,0,1
resnet50_random,boat3-clock3,boat3,clock3,boat3-bicycle2,airplane7-clock3,dot,2843344.0,3046196.0,0,1
resnet50_random,boat3-clock3,boat3,clock3,boat3-bicycle2,bicycle8-clock3,dot,2843344.0,3332814.25,0,1
resnet50_random,boat3-clock3,boat3,clock3,boat3-bicycle2,bicycle7-clock3,dot,2843344.0,3368477.5,0,1
resnet50_random,boat3-clock3,boat3,clock3,boat3-bicycle2,bicycle1-clock3,dot,2843344.0,3427710.5,0,1
resnet50_random,boat3-clock3,boat3,clock3,boat3-bicycle2,bicycle4-clock3,dot,2843344.0,3308209.25,0,1
resnet50_random,boat3-clock3,boat3,clock3,boat3-bicycle2,bottle5-clock3,dot,2843344.0,3123624.25,0,1
resnet50_random,boat3-clock3,boat3,clock3,boat3-bicycle2,keyboard7-clock3,dot,2843344.0,2531678.5,1,0
resnet50_random,boat3-clock3,boat3,clock3,boat3-bicycle2,keyboard3-clock3,dot,2843344.0,3034166.25,0,1
resnet50_random,boat3-clock3,boat3,clock3,boat3-bicycle2,knife4-clock3,dot,2843344.0,2999216.5,0,1
resnet50_random,boat3-clock3,boat3,clock3,boat3-bicycle2,elephant4-clock3,dot,2843344.0,2534683.0,1,0
resnet50_random,boat3-clock3,boat3,clock3,boat3-bicycle2,elephant9-clock3,dot,2843344.0,2456760.0,1,0
resnet50_random,boat3-clock3,boat3,clock3,boat3-chair3,cat7-clock3,dot,2595366.5,2465683.5,1,0
resnet50_random,boat3-clock3,boat3,clock3,boat3-chair3,cat6-clock3,dot,2595366.5,2738994.5,0,1
resnet50_random,boat3-clock3,boat3,clock3,boat3-chair3,bear4-clock3,dot,2595366.5,2948724.75,0,1
resnet50_random,boat3-clock3,boat3,clock3,boat3-chair3,boat7-clock3,dot,2595366.5,3021871.75,0,1
