Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-clock2,car8-bicycle2,dot,3563901.5,3242997.0,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-clock2,car9-bicycle2,dot,3563901.5,3170011.25,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-clock2,car10-bicycle2,dot,3563901.5,3368118.75,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-clock2,dog2-bicycle2,dot,3563901.5,2664892.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-clock2,bear3-bicycle2,dot,3563901.5,2938267.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-clock2,bear7-bicycle2,dot,3563901.5,2582011.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-clock2,boat3-bicycle2,dot,3563901.5,3229183.25,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-clock2,boat1-bicycle2,dot,3563901.5,3155478.25,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-clock2,oven4-bicycle2,dot,3563901.5,2837582.25,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-clock2,truck2-bicycle2,dot,3563901.5,2983409.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-clock2,bird4-bicycle2,dot,3563901.5,3302832.75,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-clock2,bird1-bicycle2,dot,3563901.5,3348616.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-clock2,airplane4-bicycle2,dot,3563901.5,3584435.0,0,1
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-clock2,airplane1-bicycle2,dot,3563901.5,3613018.0,0,1
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-clock2,keyboard3-bicycle2,dot,3563901.5,3527999.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-clock2,keyboard9-bicycle2,dot,3563901.5,3001802.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-clock2,clock3-bicycle2,dot,3563901.5,2737502.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-clock2,knife5-bicycle2,dot,3563901.5,3508607.75,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-clock2,elephant9-bicycle2,dot,3563901.5,2843204.0,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-clock2,elephant4-bicycle2,dot,3563901.5,2928782.0,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-bear1,car8-bicycle2,dot,3248879.75,3242997.0,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-bear1,car9-bicycle2,dot,3248879.75,3170011.25,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-bear1,car10-bicycle2,dot,3248879.75,3368118.75,0,1
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-bear1,dog2-bicycle2,dot,3248879.75,2664892.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-bear1,bear3-bicycle2,dot,3248879.75,2938267.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-bear1,bear7-bicycle2,dot,3248879.75,2582011.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-bear1,boat3-bicycle2,dot,3248879.75,3229183.25,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-bear1,boat1-bicycle2,dot,3248879.75,3155478.25,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-bear1,oven4-bicycle2,dot,3248879.75,2837582.25,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-bear1,truck2-bicycle2,dot,3248879.75,2983409.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-bear1,bird4-bicycle2,dot,3248879.75,3302832.75,0,1
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-bear1,bird1-bicycle2,dot,3248879.75,3348616.5,0,1
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-bear1,airplane4-bicycle2,dot,3248879.75,3584435.0,0,1
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-bear1,airplane1-bicycle2,dot,3248879.75,3613018.0,0,1
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-bear1,keyboard3-bicycle2,dot,3248879.75,3527999.5,0,1
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-bear1,keyboard9-bicycle2,dot,3248879.75,3001802.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-bear1,clock3-bicycle2,dot,3248879.75,2737502.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-bear1,knife5-bicycle2,dot,3248879.75,3508607.75,0,1
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-bear1,elephant9-bicycle2,dot,3248879.75,2843204.0,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-bear1,elephant4-bicycle2,dot,3248879.75,2928782.0,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-knife2,car8-bicycle2,dot,3263258.5,3242997.0,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-knife2,car9-bicycle2,dot,3263258.5,3170011.25,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-knife2,car10-bicycle2,dot,3263258.5,3368118.75,0,1
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-knife2,dog2-bicycle2,dot,3263258.5,2664892.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-knife2,bear3-bicycle2,dot,3263258.5,2938267.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-knife2,bear7-bicycle2,dot,3263258.5,2582011.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-knife2,boat3-bicycle2,dot,3263258.5,3229183.25,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-knife2,boat1-bicycle2,dot,3263258.5,3155478.25,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-knife2,oven4-bicycle2,dot,3263258.5,2837582.25,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-knife2,truck2-bicycle2,dot,3263258.5,2983409.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-knife2,bird4-bicycle2,dot,3263258.5,3302832.75,0,1
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-knife2,bird1-bicycle2,dot,3263258.5,3348616.5,0,1
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-knife2,airplane4-bicycle2,dot,3263258.5,3584435.0,0,1
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-knife2,airplane1-bicycle2,dot,3263258.5,3613018.0,0,1
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-knife2,keyboard3-bicycle2,dot,3263258.5,3527999.5,0,1
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-knife2,keyboard9-bicycle2,dot,3263258.5,3001802.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-knife2,clock3-bicycle2,dot,3263258.5,2737502.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-knife2,knife5-bicycle2,dot,3263258.5,3508607.75,0,1
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-knife2,elephant9-bicycle2,dot,3263258.5,2843204.0,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-knife2,elephant4-bicycle2,dot,3263258.5,2928782.0,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-cat1,car8-bicycle2,dot,3225915.0,3242997.0,0,1
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-cat1,car9-bicycle2,dot,3225915.0,3170011.25,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-cat1,car10-bicycle2,dot,3225915.0,3368118.75,0,1
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-cat1,dog2-bicycle2,dot,3225915.0,2664892.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-cat1,bear3-bicycle2,dot,3225915.0,2938267.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-cat1,bear7-bicycle2,dot,3225915.0,2582011.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-cat1,boat3-bicycle2,dot,3225915.0,3229183.25,0,1
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-cat1,boat1-bicycle2,dot,3225915.0,3155478.25,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-cat1,oven4-bicycle2,dot,3225915.0,2837582.25,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-cat1,truck2-bicycle2,dot,3225915.0,2983409.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-cat1,bird4-bicycle2,dot,3225915.0,3302832.75,0,1
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-cat1,bird1-bicycle2,dot,3225915.0,3348616.5,0,1
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-cat1,airplane4-bicycle2,dot,3225915.0,3584435.0,0,1
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-cat1,airplane1-bicycle2,dot,3225915.0,3613018.0,0,1
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-cat1,keyboard3-bicycle2,dot,3225915.0,3527999.5,0,1
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-cat1,keyboard9-bicycle2,dot,3225915.0,3001802.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-cat1,clock3-bicycle2,dot,3225915.0,2737502.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-cat1,knife5-bicycle2,dot,3225915.0,3508607.75,0,1
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-cat1,elephant9-bicycle2,dot,3225915.0,2843204.0,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-cat1,elephant4-bicycle2,dot,3225915.0,2928782.0,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-airplane2,car8-bicycle2,dot,3562466.0,3242997.0,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-airplane2,car9-bicycle2,dot,3562466.0,3170011.25,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-airplane2,car10-bicycle2,dot,3562466.0,3368118.75,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-airplane2,dog2-bicycle2,dot,3562466.0,2664892.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-airplane2,bear3-bicycle2,dot,3562466.0,2938267.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-airplane2,bear7-bicycle2,dot,3562466.0,2582011.5,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-airplane2,boat3-bicycle2,dot,3562466.0,3229183.25,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-airplane2,boat1-bicycle2,dot,3562466.0,3155478.25,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-airplane2,oven4-bicycle2,dot,3562466.0,2837582.25,1,0
resnet50_random,boat6-bicycle2,boat6,bicycle2,boat6-airplane2,truck2-bicycle2,dot,3562466.0,2983409.5,1,0
