Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-clock2,cat1-dog1,dot,3314720.0,2857823.5,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-clock2,car8-dog1,dot,3314720.0,2888663.5,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-clock2,car10-dog1,dot,3314720.0,3117237.0,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-clock2,bear2-dog1,dot,3314720.0,2845934.25,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-clock2,bear8-dog1,dot,3314720.0,2650362.0,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-clock2,bear9-dog1,dot,3314720.0,2261584.25,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-clock2,boat6-dog1,dot,3314720.0,3301101.5,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-clock2,oven4-dog1,dot,3314720.0,2445901.25,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-clock2,chair10-dog1,dot,3314720.0,3177003.75,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-clock2,chair1-dog1,dot,3314720.0,3120601.75,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-clock2,chair6-dog1,dot,3314720.0,3186360.5,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-clock2,truck1-dog1,dot,3314720.0,2344987.75,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-clock2,bird3-dog1,dot,3314720.0,3167693.25,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-clock2,airplane2-dog1,dot,3314720.0,3158246.5,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-clock2,airplane3-dog1,dot,3314720.0,3453977.25,0,1
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-clock2,bicycle2-dog1,dot,3314720.0,3435004.0,0,1
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-clock2,keyboard7-dog1,dot,3314720.0,2638291.25,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-clock2,clock2-dog1,dot,3314720.0,2429559.75,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-clock2,knife1-dog1,dot,3314720.0,3393856.5,0,1
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-clock2,knife5-dog1,dot,3314720.0,3311341.75,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-clock2,knife10-dog1,dot,3314720.0,3191521.25,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-clock2,knife2-dog1,dot,3314720.0,3230792.0,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-clock2,elephant7-dog1,dot,3314720.0,3154119.5,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-clock2,elephant8-dog1,dot,3314720.0,2869619.5,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-car1,cat1-dog1,dot,3457309.25,2857823.5,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-car1,car8-dog1,dot,3457309.25,2888663.5,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-car1,car10-dog1,dot,3457309.25,3117237.0,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-car1,bear2-dog1,dot,3457309.25,2845934.25,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-car1,bear8-dog1,dot,3457309.25,2650362.0,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-car1,bear9-dog1,dot,3457309.25,2261584.25,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-car1,boat6-dog1,dot,3457309.25,3301101.5,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-car1,oven4-dog1,dot,3457309.25,2445901.25,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-car1,chair10-dog1,dot,3457309.25,3177003.75,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-car1,chair1-dog1,dot,3457309.25,3120601.75,1,0
resnet50_random,bottle10-dog1,bottle10,dog1,bottle10-car1,chair6-dog1,dot,3457309.25,3186360.5,1,0
