Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-bicycle1,cat4-airplane1,dot,3896404.0,3810386.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-bicycle1,cat1-airplane1,dot,3896404.0,3422486.75,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-bicycle1,car1-airplane1,dot,3896404.0,2516397.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-bicycle1,dog10-airplane1,dot,3896404.0,3665487.75,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-bicycle1,bear3-airplane1,dot,3896404.0,2938219.0,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-bicycle1,bear8-airplane1,dot,3896404.0,3029396.0,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-bicycle1,bear2-airplane1,dot,3896404.0,3260720.25,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-bicycle1,boat2-airplane1,dot,3896404.0,3828604.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-bicycle1,boat5-airplane1,dot,3896404.0,3784430.25,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-bicycle1,oven3-airplane1,dot,3896404.0,3085078.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-bicycle1,oven5-airplane1,dot,3896404.0,3312888.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-bicycle1,chair7-airplane1,dot,3896404.0,3241727.0,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-bicycle1,chair8-airplane1,dot,3896404.0,4071494.0,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-bicycle1,truck10-airplane1,dot,3896404.0,2988354.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-bicycle1,bird4-airplane1,dot,3896404.0,3549359.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-bicycle1,bicycle4-airplane1,dot,3896404.0,4020369.5,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-bicycle1,bottle6-airplane1,dot,3896404.0,3822153.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-bicycle1,bottle5-airplane1,dot,3896404.0,3853202.0,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-bicycle1,clock4-airplane1,dot,3896404.0,2844293.75,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-bicycle1,clock9-airplane1,dot,3896404.0,3392570.75,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-bicycle1,clock10-airplane1,dot,3896404.0,3847153.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-bicycle1,clock5-airplane1,dot,3896404.0,3130760.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-bicycle1,knife6-airplane1,dot,3896404.0,3956503.75,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-bicycle1,knife1-airplane1,dot,3896404.0,3942228.0,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-oven2,cat4-airplane1,dot,3375361.75,3810386.5,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-oven2,cat1-airplane1,dot,3375361.75,3422486.75,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-oven2,car1-airplane1,dot,3375361.75,2516397.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-oven2,dog10-airplane1,dot,3375361.75,3665487.75,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-oven2,bear3-airplane1,dot,3375361.75,2938219.0,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-oven2,bear8-airplane1,dot,3375361.75,3029396.0,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-oven2,bear2-airplane1,dot,3375361.75,3260720.25,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-oven2,boat2-airplane1,dot,3375361.75,3828604.5,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-oven2,boat5-airplane1,dot,3375361.75,3784430.25,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-oven2,oven3-airplane1,dot,3375361.75,3085078.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-oven2,oven5-airplane1,dot,3375361.75,3312888.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-oven2,chair7-airplane1,dot,3375361.75,3241727.0,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-oven2,chair8-airplane1,dot,3375361.75,4071494.0,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-oven2,truck10-airplane1,dot,3375361.75,2988354.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-oven2,bird4-airplane1,dot,3375361.75,3549359.5,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-oven2,bicycle4-airplane1,dot,3375361.75,4020369.5,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-oven2,bottle6-airplane1,dot,3375361.75,3822153.5,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-oven2,bottle5-airplane1,dot,3375361.75,3853202.0,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-oven2,clock4-airplane1,dot,3375361.75,2844293.75,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-oven2,clock9-airplane1,dot,3375361.75,3392570.75,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-oven2,clock10-airplane1,dot,3375361.75,3847153.5,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-oven2,clock5-airplane1,dot,3375361.75,3130760.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-oven2,knife6-airplane1,dot,3375361.75,3956503.75,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-oven2,knife1-airplane1,dot,3375361.75,3942228.0,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-car3,cat4-airplane1,dot,3785372.75,3810386.5,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-car3,cat1-airplane1,dot,3785372.75,3422486.75,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-car3,car1-airplane1,dot,3785372.75,2516397.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-car3,dog10-airplane1,dot,3785372.75,3665487.75,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-car3,bear3-airplane1,dot,3785372.75,2938219.0,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-car3,bear8-airplane1,dot,3785372.75,3029396.0,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-car3,bear2-airplane1,dot,3785372.75,3260720.25,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-car3,boat2-airplane1,dot,3785372.75,3828604.5,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-car3,boat5-airplane1,dot,3785372.75,3784430.25,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-car3,oven3-airplane1,dot,3785372.75,3085078.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-car3,oven5-airplane1,dot,3785372.75,3312888.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-car3,chair7-airplane1,dot,3785372.75,3241727.0,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-car3,chair8-airplane1,dot,3785372.75,4071494.0,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-car3,truck10-airplane1,dot,3785372.75,2988354.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-car3,bird4-airplane1,dot,3785372.75,3549359.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-car3,bicycle4-airplane1,dot,3785372.75,4020369.5,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-car3,bottle6-airplane1,dot,3785372.75,3822153.5,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-car3,bottle5-airplane1,dot,3785372.75,3853202.0,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-car3,clock4-airplane1,dot,3785372.75,2844293.75,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-car3,clock9-airplane1,dot,3785372.75,3392570.75,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-car3,clock10-airplane1,dot,3785372.75,3847153.5,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-car3,clock5-airplane1,dot,3785372.75,3130760.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-car3,knife6-airplane1,dot,3785372.75,3956503.75,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-car3,knife1-airplane1,dot,3785372.75,3942228.0,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-truck1,cat4-airplane1,dot,3913514.0,3810386.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-truck1,cat1-airplane1,dot,3913514.0,3422486.75,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-truck1,car1-airplane1,dot,3913514.0,2516397.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-truck1,dog10-airplane1,dot,3913514.0,3665487.75,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-truck1,bear3-airplane1,dot,3913514.0,2938219.0,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-truck1,bear8-airplane1,dot,3913514.0,3029396.0,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-truck1,bear2-airplane1,dot,3913514.0,3260720.25,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-truck1,boat2-airplane1,dot,3913514.0,3828604.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-truck1,boat5-airplane1,dot,3913514.0,3784430.25,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-truck1,oven3-airplane1,dot,3913514.0,3085078.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-truck1,oven5-airplane1,dot,3913514.0,3312888.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-truck1,chair7-airplane1,dot,3913514.0,3241727.0,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-truck1,chair8-airplane1,dot,3913514.0,4071494.0,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-truck1,truck10-airplane1,dot,3913514.0,2988354.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-truck1,bird4-airplane1,dot,3913514.0,3549359.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-truck1,bicycle4-airplane1,dot,3913514.0,4020369.5,0,1
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-truck1,bottle6-airplane1,dot,3913514.0,3822153.5,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-truck1,bottle5-airplane1,dot,3913514.0,3853202.0,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-truck1,clock4-airplane1,dot,3913514.0,2844293.75,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-truck1,clock9-airplane1,dot,3913514.0,3392570.75,1,0
resnet50_random,bottle4-airplane1,bottle4,airplane1,bottle4-truck1,clock10-airplane1,dot,3913514.0,3847153.5,1,0
