Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bottle6-boat3,bottle6,boat3,bottle6-oven3,cat7-boat3,dot,3154204.0,2726659.0,1,0
resnet50_random,bottle6-boat3,bottle6,boat3,bottle6-oven3,car8-boat3,dot,3154204.0,3103572.5,1,0
resnet50_random,bottle6-boat3,bottle6,boat3,bottle6-oven3,car7-boat3,dot,3154204.0,3192614.5,0,1
resnet50_random,bottle6-boat3,bottle6,boat3,bottle6-oven3,dog8-boat3,dot,3154204.0,3335665.0,0,1
resnet50_random,bottle6-boat3,bottle6,boat3,bottle6-oven3,dog5-boat3,dot,3154204.0,2824493.5,1,0
resnet50_random,bottle6-boat3,bottle6,boat3,bottle6-oven3,dog1-boat3,dot,3154204.0,2726198.75,1,0
resnet50_random,bottle6-boat3,bottle6,boat3,bottle6-oven3,bear6-boat3,dot,3154204.0,2750193.5,1,0
resnet50_random,bottle6-boat3,bottle6,boat3,bottle6-oven3,oven1-boat3,dot,3154204.0,2408229.5,1,0
resnet50_random,bottle6-boat3,bottle6,boat3,bottle6-oven3,oven3-boat3,dot,3154204.0,2871261.5,1,0
resnet50_random,bottle6-boat3,bottle6,boat3,bottle6-oven3,oven2-boat3,dot,3154204.0,2408663.5,1,0
resnet50_random,bottle6-boat3,bottle6,boat3,bottle6-oven3,chair5-boat3,dot,3154204.0,3317222.75,0,1
resnet50_random,bottle6-boat3,bottle6,boat3,bottle6-oven3,chair7-boat3,dot,3154204.0,3067905.5,1,0
resnet50_random,bottle6-boat3,bottle6,boat3,bottle6-oven3,truck4-boat3,dot,3154204.0,2944547.5,1,0
resnet50_random,bottle6-boat3,bottle6,boat3,bottle6-oven3,truck9-boat3,dot,3154204.0,2741637.75,1,0
resnet50_random,bottle6-boat3,bottle6,boat3,bottle6-oven3,truck2-boat3,dot,3154204.0,2852044.0,1,0
resnet50_random,bottle6-boat3,bottle6,boat3,bottle6-oven3,bird3-boat3,dot,3154204.0,3175884.5,0,1
resnet50_random,bottle6-boat3,bottle6,boat3,bottle6-oven3,bird8-boat3,dot,3154204.0,3293793.0,0,1
resnet50_random,bottle6-boat3,bottle6,boat3,bottle6-oven3,airplane10-boat3,dot,3154204.0,3418190.5,0,1
resnet50_random,bottle6-boat3,bottle6,boat3,bottle6-oven3,airplane5-boat3,dot,3154204.0,3220777.0,0,1
resnet50_random,bottle6-boat3,bottle6,boat3,bottle6-oven3,airplane4-boat3,dot,3154204.0,3385661.75,0,1
