Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bottle7-cat2,bottle7,cat2,bottle7-elephant2,bear2-cat2,dot,2692261.0,2477368.5,1,0
resnet50_random,bottle7-cat2,bottle7,cat2,bottle7-elephant2,bear10-cat2,dot,2692261.0,2629356.0,1,0
resnet50_random,bottle7-cat2,bottle7,cat2,bottle7-elephant2,oven3-cat2,dot,2692261.0,2188473.0,1,0
resnet50_random,bottle7-cat2,bottle7,cat2,bottle7-elephant2,oven10-cat2,dot,2692261.0,2029095.625,1,0
resnet50_random,bottle7-cat2,bottle7,cat2,bottle7-elephant2,chair4-cat2,dot,2692261.0,3108472.5,0,1
resnet50_random,bottle7-cat2,bottle7,cat2,bottle7-elephant2,truck6-cat2,dot,2692261.0,2745777.25,0,1
resnet50_random,bottle7-cat2,bottle7,cat2,bottle7-elephant2,truck8-cat2,dot,2692261.0,2555476.5,1,0
resnet50_random,bottle7-cat2,bottle7,cat2,bottle7-elephant2,bird5-cat2,dot,2692261.0,2852498.5,0,1
resnet50_random,bottle7-cat2,bottle7,cat2,bottle7-elephant2,airplane10-cat2,dot,2692261.0,3012468.75,0,1
resnet50_random,bottle7-cat2,bottle7,cat2,bottle7-elephant2,bottle9-cat2,dot,2692261.0,2912613.5,0,1
resnet50_random,bottle7-cat2,bottle7,cat2,bottle7-elephant2,keyboard4-cat2,dot,2692261.0,2322813.75,1,0
resnet50_random,bottle7-cat2,bottle7,cat2,bottle7-elephant2,clock7-cat2,dot,2692261.0,1831829.5,1,0
resnet50_random,bottle7-cat2,bottle7,cat2,bottle7-elephant2,knife8-cat2,dot,2692261.0,2906488.0,0,1
resnet50_random,bottle7-cat2,bottle7,cat2,bottle7-elephant2,knife5-cat2,dot,2692261.0,3037427.75,0,1
resnet50_random,bottle7-cat2,bottle7,cat2,bottle7-elephant2,knife4-cat2,dot,2692261.0,3022762.5,0,1
resnet50_random,bottle7-cat2,bottle7,cat2,bottle7-elephant2,elephant6-cat2,dot,2692261.0,2183218.0,1,0
