Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,car7-boat3,car7,boat3,car7-oven2,cat7-boat3,dot,2826284.0,2660879.5,1,0
resnet50_random,car7-boat3,car7,boat3,car7-oven2,car8-boat3,dot,2826284.0,3028672.0,0,1
resnet50_random,car7-boat3,car7,boat3,car7-oven2,dog8-boat3,dot,2826284.0,3254407.0,0,1
resnet50_random,car7-boat3,car7,boat3,car7-oven2,dog5-boat3,dot,2826284.0,2755964.75,1,0
resnet50_random,car7-boat3,car7,boat3,car7-oven2,dog1-boat3,dot,2826284.0,2660080.0,1,0
resnet50_random,car7-boat3,car7,boat3,car7-oven2,bear6-boat3,dot,2826284.0,2683467.0,1,0
resnet50_random,car7-boat3,car7,boat3,car7-oven2,oven1-boat3,dot,2826284.0,2350427.75,1,0
resnet50_random,car7-boat3,car7,boat3,car7-oven2,oven3-boat3,dot,2826284.0,2802520.5,1,0
resnet50_random,car7-boat3,car7,boat3,car7-oven2,oven2-boat3,dot,2826284.0,2350532.0,1,0
resnet50_random,car7-boat3,car7,boat3,car7-oven2,chair5-boat3,dot,2826284.0,3236297.0,0,1
resnet50_random,car7-boat3,car7,boat3,car7-oven2,chair7-boat3,dot,2826284.0,2993724.0,0,1
resnet50_random,car7-boat3,car7,boat3,car7-oven2,truck4-boat3,dot,2826284.0,2873570.5,0,1
resnet50_random,car7-boat3,car7,boat3,car7-oven2,truck9-boat3,dot,2826284.0,2675723.5,1,0
resnet50_random,car7-boat3,car7,boat3,car7-oven2,truck2-boat3,dot,2826284.0,2783086.5,1,0
resnet50_random,car7-boat3,car7,boat3,car7-oven2,bird3-boat3,dot,2826284.0,3098178.0,0,1
resnet50_random,car7-boat3,car7,boat3,car7-oven2,bird8-boat3,dot,2826284.0,3213767.5,0,1
resnet50_random,car7-boat3,car7,boat3,car7-oven2,airplane10-boat3,dot,2826284.0,3335272.0,0,1
resnet50_random,car7-boat3,car7,boat3,car7-oven2,airplane5-boat3,dot,2826284.0,3142504.0,0,1
resnet50_random,car7-boat3,car7,boat3,car7-oven2,airplane4-boat3,dot,2826284.0,3303429.0,0,1
resnet50_random,car7-boat3,car7,boat3,car7-oven2,bicycle10-boat3,dot,2826284.0,3417518.75,0,1
resnet50_random,car7-boat3,car7,boat3,car7-oven2,bicycle1-boat3,dot,2826284.0,3519516.75,0,1
resnet50_random,car7-boat3,car7,boat3,car7-oven2,bottle3-boat3,dot,2826284.0,3185464.25,0,1
resnet50_random,car7-boat3,car7,boat3,car7-oven2,bottle7-boat3,dot,2826284.0,3155132.0,0,1
resnet50_random,car7-boat3,car7,boat3,car7-oven2,bottle10-boat3,dot,2826284.0,3188661.25,0,1
resnet50_random,car7-boat3,car7,boat3,car7-oven2,bottle6-boat3,dot,2826284.0,3192614.5,0,1
resnet50_random,car7-boat3,car7,boat3,car7-oven2,clock7-boat3,dot,2826284.0,2247186.0,1,0
resnet50_random,car7-boat3,car7,boat3,car7-oven2,clock1-boat3,dot,2826284.0,2456288.5,1,0
resnet50_random,car7-boat3,car7,boat3,car7-oven2,clock4-boat3,dot,2826284.0,2460067.0,1,0
resnet50_random,car7-boat3,car7,boat3,car7-oven2,knife6-boat3,dot,2826284.0,3190714.0,0,1
resnet50_random,car7-boat3,car7,boat3,car7-oven2,knife7-boat3,dot,2826284.0,3179452.25,0,1
resnet50_random,car7-boat3,car7,boat3,car7-oven2,elephant9-boat3,dot,2826284.0,2692368.5,1,0
resnet50_random,car7-boat3,car7,boat3,car7-oven2,elephant4-boat3,dot,2826284.0,2826869.75,0,1
resnet50_random,car7-boat3,car7,boat3,car7-airplane2,cat7-boat3,dot,3247313.5,2660879.5,1,0
resnet50_random,car7-boat3,car7,boat3,car7-airplane2,car8-boat3,dot,3247313.5,3028672.0,1,0
resnet50_random,car7-boat3,car7,boat3,car7-airplane2,dog8-boat3,dot,3247313.5,3254407.0,0,1
resnet50_random,car7-boat3,car7,boat3,car7-airplane2,dog5-boat3,dot,3247313.5,2755964.75,1,0
resnet50_random,car7-boat3,car7,boat3,car7-airplane2,dog1-boat3,dot,3247313.5,2660080.0,1,0
resnet50_random,car7-boat3,car7,boat3,car7-airplane2,bear6-boat3,dot,3247313.5,2683467.0,1,0
resnet50_random,car7-boat3,car7,boat3,car7-airplane2,oven1-boat3,dot,3247313.5,2350427.75,1,0
