Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,car9-truck3,car9,truck3,car9-bird1,cat4-truck3,dot,1967605.75,2957261.25,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,cat3-truck3,dot,1967605.75,2666485.0,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,cat2-truck3,dot,1967605.75,2551177.0,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,car6-truck3,dot,1967605.75,2249577.25,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,car5-truck3,dot,1967605.75,2631716.25,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,car8-truck3,dot,1967605.75,2769629.5,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,bear8-truck3,dot,1967605.75,2688459.0,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,bear4-truck3,dot,1967605.75,2896232.5,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,bear3-truck3,dot,1967605.75,2655415.0,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,boat1-truck3,dot,1967605.75,2571867.75,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,boat6-truck3,dot,1967605.75,2973175.5,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,oven2-truck3,dot,1967605.75,2155777.0,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,oven4-truck3,dot,1967605.75,2365792.0,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,chair5-truck3,dot,1967605.75,2901248.5,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,chair7-truck3,dot,1967605.75,2807144.0,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,chair1-truck3,dot,1967605.75,2839761.0,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,bird3-truck3,dot,1967605.75,2834714.25,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,airplane8-truck3,dot,1967605.75,2971615.5,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,bicycle3-truck3,dot,1967605.75,3042219.5,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,bicycle4-truck3,dot,1967605.75,3155310.25,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,bicycle7-truck3,dot,1967605.75,3128034.0,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,bottle10-truck3,dot,1967605.75,2934017.5,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,keyboard9-truck3,dot,1967605.75,2486421.25,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,keyboard4-truck3,dot,1967605.75,2420026.0,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,keyboard8-truck3,dot,1967605.75,2439412.0,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,clock7-truck3,dot,1967605.75,2076553.375,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,clock1-truck3,dot,1967605.75,2240899.5,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,clock6-truck3,dot,1967605.75,2780323.25,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,knife5-truck3,dot,1967605.75,2970886.75,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,knife8-truck3,dot,1967605.75,2812238.0,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,elephant8-truck3,dot,1967605.75,2731907.0,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bird1,elephant6-truck3,dot,1967605.75,2482519.75,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bicycle2,cat4-truck3,dot,2757664.0,2957261.25,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bicycle2,cat3-truck3,dot,2757664.0,2666485.0,1,0
resnet50_random,car9-truck3,car9,truck3,car9-bicycle2,cat2-truck3,dot,2757664.0,2551177.0,1,0
resnet50_random,car9-truck3,car9,truck3,car9-bicycle2,car6-truck3,dot,2757664.0,2249577.25,1,0
resnet50_random,car9-truck3,car9,truck3,car9-bicycle2,car5-truck3,dot,2757664.0,2631716.25,1,0
resnet50_random,car9-truck3,car9,truck3,car9-bicycle2,car8-truck3,dot,2757664.0,2769629.5,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bicycle2,bear8-truck3,dot,2757664.0,2688459.0,1,0
resnet50_random,car9-truck3,car9,truck3,car9-bicycle2,bear4-truck3,dot,2757664.0,2896232.5,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bicycle2,bear3-truck3,dot,2757664.0,2655415.0,1,0
resnet50_random,car9-truck3,car9,truck3,car9-bicycle2,boat1-truck3,dot,2757664.0,2571867.75,1,0
resnet50_random,car9-truck3,car9,truck3,car9-bicycle2,boat6-truck3,dot,2757664.0,2973175.5,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bicycle2,oven2-truck3,dot,2757664.0,2155777.0,1,0
resnet50_random,car9-truck3,car9,truck3,car9-bicycle2,oven4-truck3,dot,2757664.0,2365792.0,1,0
resnet50_random,car9-truck3,car9,truck3,car9-bicycle2,chair5-truck3,dot,2757664.0,2901248.5,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bicycle2,chair7-truck3,dot,2757664.0,2807144.0,0,1
resnet50_random,car9-truck3,car9,truck3,car9-bicycle2,chair1-truck3,dot,2757664.0,2839761.0,0,1
