Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,cat1-dog1,cat1,dog1,cat10-elephant3,car8-dog1,dot,2513452.5,2633863.5,0,1
resnet50_random,cat1-dog1,cat1,dog1,cat10-elephant3,car10-dog1,dot,2513452.5,2841760.5,0,1
resnet50_random,cat1-dog1,cat1,dog1,cat10-elephant3,bear2-dog1,dot,2513452.5,2595014.0,0,1
resnet50_random,cat1-dog1,cat1,dog1,cat10-elephant3,bear8-dog1,dot,2513452.5,2417612.0,1,0
resnet50_random,cat1-dog1,cat1,dog1,cat10-elephant3,bear9-dog1,dot,2513452.5,2062418.25,1,0
resnet50_random,cat1-dog1,cat1,dog1,cat10-elephant3,boat6-dog1,dot,2513452.5,3008466.0,0,1
resnet50_random,cat1-dog1,cat1,dog1,cat10-elephant3,oven4-dog1,dot,2513452.5,2230938.75,1,0
resnet50_random,cat1-dog1,cat1,dog1,cat10-elephant3,chair10-dog1,dot,2513452.5,2895512.5,0,1
resnet50_random,cat1-dog1,cat1,dog1,cat10-elephant3,chair1-dog1,dot,2513452.5,2843899.5,0,1
resnet50_random,cat1-dog1,cat1,dog1,cat10-elephant3,chair6-dog1,dot,2513452.5,2903316.5,0,1
resnet50_random,cat1-dog1,cat1,dog1,cat10-elephant3,truck1-dog1,dot,2513452.5,2137976.5,1,0
resnet50_random,cat1-dog1,cat1,dog1,cat10-elephant3,bird3-dog1,dot,2513452.5,2886721.75,0,1
resnet50_random,cat1-dog1,cat1,dog1,cat10-elephant3,airplane2-dog1,dot,2513452.5,2878552.75,0,1
resnet50_random,cat1-dog1,cat1,dog1,cat10-elephant3,airplane3-dog1,dot,2513452.5,3147409.0,0,1
resnet50_random,cat1-dog1,cat1,dog1,cat10-elephant3,bicycle2-dog1,dot,2513452.5,3130749.5,0,1
resnet50_random,cat1-dog1,cat1,dog1,cat10-elephant3,bottle10-dog1,dot,2513452.5,2857823.5,0,1
resnet50_random,cat1-dog1,cat1,dog1,cat10-elephant3,keyboard7-dog1,dot,2513452.5,2406007.5,1,0
