Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,cat7-truck2,cat7,truck2,cat7-knife2,dog5-truck2,dot,2189326.5,2486045.5,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-knife2,dog4-truck2,dot,2189326.5,2828807.5,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-knife2,dog3-truck2,dot,2189326.5,2812835.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-knife2,dog10-truck2,dot,2189326.5,2798948.25,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-knife2,dog6-truck2,dot,2189326.5,2586151.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-knife2,boat8-truck2,dot,2189326.5,2714450.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-knife2,boat7-truck2,dot,2189326.5,2788885.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-knife2,oven10-truck2,dot,2189326.5,2317247.5,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-knife2,chair4-truck2,dot,2189326.5,3035466.75,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-knife2,chair6-truck2,dot,2189326.5,2730448.75,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-knife2,bird6-truck2,dot,2189326.5,2868695.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-knife2,bird7-truck2,dot,2189326.5,2867669.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-knife2,bird5-truck2,dot,2189326.5,2749545.5,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-knife2,airplane4-truck2,dot,2189326.5,2861223.25,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-knife2,bottle7-truck2,dot,2189326.5,2721230.75,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-knife2,keyboard7-truck2,dot,2189326.5,2515553.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-knife2,clock8-truck2,dot,2189326.5,2333927.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-knife2,clock10-truck2,dot,2189326.5,2846003.25,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-knife2,knife1-truck2,dot,2189326.5,2890125.25,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-knife2,knife2-truck2,dot,2189326.5,2723764.75,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-knife2,elephant2-truck2,dot,2189326.5,2721018.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-airplane2,dog5-truck2,dot,2443116.25,2486045.5,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-airplane2,dog4-truck2,dot,2443116.25,2828807.5,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-airplane2,dog3-truck2,dot,2443116.25,2812835.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-airplane2,dog10-truck2,dot,2443116.25,2798948.25,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-airplane2,dog6-truck2,dot,2443116.25,2586151.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-airplane2,boat8-truck2,dot,2443116.25,2714450.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-airplane2,boat7-truck2,dot,2443116.25,2788885.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-airplane2,oven10-truck2,dot,2443116.25,2317247.5,1,0
resnet50_random,cat7-truck2,cat7,truck2,cat7-airplane2,chair4-truck2,dot,2443116.25,3035466.75,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-airplane2,chair6-truck2,dot,2443116.25,2730448.75,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-airplane2,bird6-truck2,dot,2443116.25,2868695.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-airplane2,bird7-truck2,dot,2443116.25,2867669.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-airplane2,bird5-truck2,dot,2443116.25,2749545.5,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-airplane2,airplane4-truck2,dot,2443116.25,2861223.25,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-airplane2,bottle7-truck2,dot,2443116.25,2721230.75,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-airplane2,keyboard7-truck2,dot,2443116.25,2515553.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-airplane2,clock8-truck2,dot,2443116.25,2333927.0,1,0
resnet50_random,cat7-truck2,cat7,truck2,cat7-airplane2,clock10-truck2,dot,2443116.25,2846003.25,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-airplane2,knife1-truck2,dot,2443116.25,2890125.25,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-airplane2,knife2-truck2,dot,2443116.25,2723764.75,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-airplane2,elephant2-truck2,dot,2443116.25,2721018.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-clock3,dog5-truck2,dot,2352917.5,2486045.5,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-clock3,dog4-truck2,dot,2352917.5,2828807.5,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-clock3,dog3-truck2,dot,2352917.5,2812835.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-clock3,dog10-truck2,dot,2352917.5,2798948.25,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-clock3,dog6-truck2,dot,2352917.5,2586151.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-clock3,boat8-truck2,dot,2352917.5,2714450.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-clock3,boat7-truck2,dot,2352917.5,2788885.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-clock3,oven10-truck2,dot,2352917.5,2317247.5,1,0
resnet50_random,cat7-truck2,cat7,truck2,cat7-clock3,chair4-truck2,dot,2352917.5,3035466.75,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-clock3,chair6-truck2,dot,2352917.5,2730448.75,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-clock3,bird6-truck2,dot,2352917.5,2868695.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-clock3,bird7-truck2,dot,2352917.5,2867669.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-clock3,bird5-truck2,dot,2352917.5,2749545.5,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-clock3,airplane4-truck2,dot,2352917.5,2861223.25,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-clock3,bottle7-truck2,dot,2352917.5,2721230.75,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-clock3,keyboard7-truck2,dot,2352917.5,2515553.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-clock3,clock8-truck2,dot,2352917.5,2333927.0,1,0
resnet50_random,cat7-truck2,cat7,truck2,cat7-clock3,clock10-truck2,dot,2352917.5,2846003.25,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-clock3,knife1-truck2,dot,2352917.5,2890125.25,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-clock3,knife2-truck2,dot,2352917.5,2723764.75,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-clock3,elephant2-truck2,dot,2352917.5,2721018.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-boat3,dog5-truck2,dot,2372396.5,2486045.5,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-boat3,dog4-truck2,dot,2372396.5,2828807.5,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-boat3,dog3-truck2,dot,2372396.5,2812835.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-boat3,dog10-truck2,dot,2372396.5,2798948.25,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-boat3,dog6-truck2,dot,2372396.5,2586151.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-boat3,boat8-truck2,dot,2372396.5,2714450.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-boat3,boat7-truck2,dot,2372396.5,2788885.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-boat3,oven10-truck2,dot,2372396.5,2317247.5,1,0
resnet50_random,cat7-truck2,cat7,truck2,cat7-boat3,chair4-truck2,dot,2372396.5,3035466.75,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-boat3,chair6-truck2,dot,2372396.5,2730448.75,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-boat3,bird6-truck2,dot,2372396.5,2868695.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-boat3,bird7-truck2,dot,2372396.5,2867669.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-boat3,bird5-truck2,dot,2372396.5,2749545.5,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-boat3,airplane4-truck2,dot,2372396.5,2861223.25,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-boat3,bottle7-truck2,dot,2372396.5,2721230.75,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-boat3,keyboard7-truck2,dot,2372396.5,2515553.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-boat3,clock8-truck2,dot,2372396.5,2333927.0,1,0
resnet50_random,cat7-truck2,cat7,truck2,cat7-boat3,clock10-truck2,dot,2372396.5,2846003.25,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-boat3,knife1-truck2,dot,2372396.5,2890125.25,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-boat3,knife2-truck2,dot,2372396.5,2723764.75,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-boat3,elephant2-truck2,dot,2372396.5,2721018.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-elephant1,dog5-truck2,dot,2066217.0,2486045.5,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-elephant1,dog4-truck2,dot,2066217.0,2828807.5,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-elephant1,dog3-truck2,dot,2066217.0,2812835.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-elephant1,dog10-truck2,dot,2066217.0,2798948.25,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-elephant1,dog6-truck2,dot,2066217.0,2586151.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-elephant1,boat8-truck2,dot,2066217.0,2714450.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-elephant1,boat7-truck2,dot,2066217.0,2788885.0,0,1
resnet50_random,cat7-truck2,cat7,truck2,cat7-elephant1,oven10-truck2,dot,2066217.0,2317247.5,0,1
