Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,chair7-knife2,chair7,knife2,chair7-airplane1,cat7-knife2,dot,2608829.75,2166880.5,1,0
resnet50_random,chair7-knife2,chair7,knife2,chair7-airplane1,cat5-knife2,dot,2608829.75,1993106.0,1,0
resnet50_random,chair7-knife2,chair7,knife2,chair7-airplane1,cat9-knife2,dot,2608829.75,2676047.75,0,1
resnet50_random,chair7-knife2,chair7,knife2,chair7-airplane1,car8-knife2,dot,2608829.75,2443380.25,1,0
resnet50_random,chair7-knife2,chair7,knife2,chair7-airplane1,car5-knife2,dot,2608829.75,2357839.75,1,0
resnet50_random,chair7-knife2,chair7,knife2,chair7-airplane1,dog5-knife2,dot,2608829.75,2251787.0,1,0
resnet50_random,chair7-knife2,chair7,knife2,chair7-airplane1,bear9-knife2,dot,2608829.75,2019131.375,1,0
resnet50_random,chair7-knife2,chair7,knife2,chair7-airplane1,bear2-knife2,dot,2608829.75,2447688.5,1,0
resnet50_random,chair7-knife2,chair7,knife2,chair7-airplane1,bear10-knife2,dot,2608829.75,2589061.0,1,0
resnet50_random,chair7-knife2,chair7,knife2,chair7-airplane1,boat6-knife2,dot,2608829.75,2711626.5,0,1
resnet50_random,chair7-knife2,chair7,knife2,chair7-airplane1,boat9-knife2,dot,2608829.75,2431488.25,1,0
resnet50_random,chair7-knife2,chair7,knife2,chair7-airplane1,boat4-knife2,dot,2608829.75,2450653.0,1,0
resnet50_random,chair7-knife2,chair7,knife2,chair7-airplane1,boat5-knife2,dot,2608829.75,2523613.5,1,0
resnet50_random,chair7-knife2,chair7,knife2,chair7-airplane1,oven4-knife2,dot,2608829.75,2018995.25,1,0
resnet50_random,chair7-knife2,chair7,knife2,chair7-airplane1,oven8-knife2,dot,2608829.75,2044276.25,1,0
