Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,cat7-elephant1,dot,2602821.75,2110616.5,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,cat2-elephant1,dot,2602821.75,2170016.0,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,dog10-elephant1,dot,2602821.75,2494864.0,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,dog5-elephant1,dot,2602821.75,2196556.25,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,bear10-elephant1,dot,2602821.75,2374198.0,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,bear2-elephant1,dot,2602821.75,2219038.75,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,bear1-elephant1,dot,2602821.75,1959940.75,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,boat8-elephant1,dot,2602821.75,2394634.5,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,oven7-elephant1,dot,2602821.75,1827585.25,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,oven5-elephant1,dot,2602821.75,2120417.5,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,chair7-elephant1,dot,2602821.75,2183036.5,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,chair1-elephant1,dot,2602821.75,2536952.5,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,chair8-elephant1,dot,2602821.75,2881264.5,0,1
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,truck9-elephant1,dot,2602821.75,1797486.0,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,truck8-elephant1,dot,2602821.75,2308753.75,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,truck2-elephant1,dot,2602821.75,2034219.75,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,bird8-elephant1,dot,2602821.75,2619780.0,0,1
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,airplane1-elephant1,dot,2602821.75,2852631.0,0,1
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,airplane4-elephant1,dot,2602821.75,2784483.0,0,1
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,airplane10-elephant1,dot,2602821.75,2706149.0,0,1
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,airplane3-elephant1,dot,2602821.75,2892554.0,0,1
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,bicycle5-elephant1,dot,2602821.75,2877676.5,0,1
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,bottle5-elephant1,dot,2602821.75,2682589.25,0,1
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,bottle2-elephant1,dot,2602821.75,2647439.75,0,1
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,keyboard2-elephant1,dot,2602821.75,2287530.0,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,keyboard6-elephant1,dot,2602821.75,2553632.5,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-dog2,knife1-elephant1,dot,2602821.75,2842592.75,0,1
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-bird3,cat7-elephant1,dot,3194627.75,2110616.5,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-bird3,cat2-elephant1,dot,3194627.75,2170016.0,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-bird3,dog10-elephant1,dot,3194627.75,2494864.0,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-bird3,dog5-elephant1,dot,3194627.75,2196556.25,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-bird3,bear10-elephant1,dot,3194627.75,2374198.0,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-bird3,bear2-elephant1,dot,3194627.75,2219038.75,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-bird3,bear1-elephant1,dot,3194627.75,1959940.75,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-bird3,boat8-elephant1,dot,3194627.75,2394634.5,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-bird3,oven7-elephant1,dot,3194627.75,1827585.25,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-bird3,oven5-elephant1,dot,3194627.75,2120417.5,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-bird3,chair7-elephant1,dot,3194627.75,2183036.5,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-bird3,chair1-elephant1,dot,3194627.75,2536952.5,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-bird3,chair8-elephant1,dot,3194627.75,2881264.5,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-bird3,truck9-elephant1,dot,3194627.75,1797486.0,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-bird3,truck8-elephant1,dot,3194627.75,2308753.75,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-bird3,truck2-elephant1,dot,3194627.75,2034219.75,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-bird3,bird8-elephant1,dot,3194627.75,2619780.0,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-bird3,airplane1-elephant1,dot,3194627.75,2852631.0,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-bird3,airplane4-elephant1,dot,3194627.75,2784483.0,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-bird3,airplane10-elephant1,dot,3194627.75,2706149.0,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-bird3,airplane3-elephant1,dot,3194627.75,2892554.0,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-bird3,bicycle5-elephant1,dot,3194627.75,2877676.5,1,0
resnet50_random,chair9-elephant1,chair9,elephant1,chair9-bird3,bottle5-elephant1,dot,3194627.75,2682589.25,1,0
