Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-oven1,cat4-airplane1,dot,1770372.25,2891348.5,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-oven1,cat1-airplane1,dot,1770372.25,2599783.75,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-oven1,car1-airplane1,dot,1770372.25,1914635.375,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-oven1,dog10-airplane1,dot,1770372.25,2784397.5,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-oven1,bear3-airplane1,dot,1770372.25,2236535.0,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-oven1,bear8-airplane1,dot,1770372.25,2304707.5,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-oven1,bear2-airplane1,dot,1770372.25,2480292.0,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-oven1,boat2-airplane1,dot,1770372.25,2904378.75,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-oven1,boat5-airplane1,dot,1770372.25,2872865.0,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-oven1,oven3-airplane1,dot,1770372.25,2348101.5,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-oven1,oven5-airplane1,dot,1770372.25,2516153.75,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-oven1,chair7-airplane1,dot,1770372.25,2465233.75,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-oven1,chair8-airplane1,dot,1770372.25,3087101.0,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-oven1,truck10-airplane1,dot,1770372.25,2272629.5,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-oven1,bird4-airplane1,dot,1770372.25,2695661.25,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-oven1,bicycle4-airplane1,dot,1770372.25,3051174.75,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-oven1,bottle4-airplane1,dot,1770372.25,2844293.75,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-oven1,bottle6-airplane1,dot,1770372.25,2899424.5,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-oven1,bottle5-airplane1,dot,1770372.25,2923063.5,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-oven1,clock9-airplane1,dot,1770372.25,2576674.0,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-oven1,clock10-airplane1,dot,1770372.25,2919933.5,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-oven1,clock5-airplane1,dot,1770372.25,2378293.5,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-oven1,knife6-airplane1,dot,1770372.25,3000443.25,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-oven1,knife1-airplane1,dot,1770372.25,2989479.25,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-car2,cat4-airplane1,dot,2183931.75,2891348.5,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-car2,cat1-airplane1,dot,2183931.75,2599783.75,0,1
resnet50_random,clock4-airplane1,clock4,airplane1,clock4-car2,car1-airplane1,dot,2183931.75,1914635.375,1,0
