Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,dog9-bear3,dog9,bear3,dog9-airplane3,car5-bear3,dot,3507046.75,2863589.25,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-airplane3,car4-bear3,dot,3507046.75,3023946.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-airplane3,dog3-bear3,dot,3507046.75,3247876.0,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-airplane3,dog8-bear3,dot,3507046.75,3242012.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-airplane3,dog5-bear3,dot,3507046.75,2831970.25,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-airplane3,boat9-bear3,dot,3507046.75,2995788.0,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-airplane3,boat2-bear3,dot,3507046.75,3104265.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-airplane3,boat10-bear3,dot,3507046.75,3124754.75,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-airplane3,oven2-bear3,dot,3507046.75,2263306.25,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-airplane3,truck3-bear3,dot,3507046.75,2572364.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-airplane3,bird3-bear3,dot,3507046.75,3051767.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-airplane3,bird5-bear3,dot,3507046.75,3111038.75,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-airplane3,bird9-bear3,dot,3507046.75,3296901.0,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-airplane3,airplane10-bear3,dot,3507046.75,3277000.0,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-airplane3,airplane4-bear3,dot,3507046.75,3262118.0,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-airplane3,airplane6-bear3,dot,3507046.75,3259945.25,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-airplane3,keyboard5-bear3,dot,3507046.75,2735993.75,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-airplane3,clock3-bear3,dot,3507046.75,2295809.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-airplane3,knife10-bear3,dot,3507046.75,3087144.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-airplane3,knife9-bear3,dot,3507046.75,3041918.75,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-airplane3,elephant7-bear3,dot,3507046.75,3229350.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-airplane3,elephant2-bear3,dot,3507046.75,3112857.0,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-bottle1,car5-bear3,dot,3518505.25,2863589.25,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-bottle1,car4-bear3,dot,3518505.25,3023946.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-bottle1,dog3-bear3,dot,3518505.25,3247876.0,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-bottle1,dog8-bear3,dot,3518505.25,3242012.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-bottle1,dog5-bear3,dot,3518505.25,2831970.25,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-bottle1,boat9-bear3,dot,3518505.25,2995788.0,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-bottle1,boat2-bear3,dot,3518505.25,3104265.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-bottle1,boat10-bear3,dot,3518505.25,3124754.75,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-bottle1,oven2-bear3,dot,3518505.25,2263306.25,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-bottle1,truck3-bear3,dot,3518505.25,2572364.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-bottle1,bird3-bear3,dot,3518505.25,3051767.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-bottle1,bird5-bear3,dot,3518505.25,3111038.75,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-bottle1,bird9-bear3,dot,3518505.25,3296901.0,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-bottle1,airplane10-bear3,dot,3518505.25,3277000.0,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-bottle1,airplane4-bear3,dot,3518505.25,3262118.0,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-bottle1,airplane6-bear3,dot,3518505.25,3259945.25,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-bottle1,keyboard5-bear3,dot,3518505.25,2735993.75,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-bottle1,clock3-bear3,dot,3518505.25,2295809.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-bottle1,knife10-bear3,dot,3518505.25,3087144.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-bottle1,knife9-bear3,dot,3518505.25,3041918.75,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-bottle1,elephant7-bear3,dot,3518505.25,3229350.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-bottle1,elephant2-bear3,dot,3518505.25,3112857.0,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-car1,car5-bear3,dot,3662227.0,2863589.25,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-car1,car4-bear3,dot,3662227.0,3023946.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-car1,dog3-bear3,dot,3662227.0,3247876.0,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-car1,dog8-bear3,dot,3662227.0,3242012.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-car1,dog5-bear3,dot,3662227.0,2831970.25,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-car1,boat9-bear3,dot,3662227.0,2995788.0,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-car1,boat2-bear3,dot,3662227.0,3104265.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-car1,boat10-bear3,dot,3662227.0,3124754.75,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-car1,oven2-bear3,dot,3662227.0,2263306.25,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-car1,truck3-bear3,dot,3662227.0,2572364.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-car1,bird3-bear3,dot,3662227.0,3051767.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-car1,bird5-bear3,dot,3662227.0,3111038.75,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-car1,bird9-bear3,dot,3662227.0,3296901.0,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-car1,airplane10-bear3,dot,3662227.0,3277000.0,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-car1,airplane4-bear3,dot,3662227.0,3262118.0,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-car1,airplane6-bear3,dot,3662227.0,3259945.25,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-car1,keyboard5-bear3,dot,3662227.0,2735993.75,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-car1,clock3-bear3,dot,3662227.0,2295809.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-car1,knife10-bear3,dot,3662227.0,3087144.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-car1,knife9-bear3,dot,3662227.0,3041918.75,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-car1,elephant7-bear3,dot,3662227.0,3229350.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-car1,elephant2-bear3,dot,3662227.0,3112857.0,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-chair2,car5-bear3,dot,3363057.5,2863589.25,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-chair2,car4-bear3,dot,3363057.5,3023946.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-chair2,dog3-bear3,dot,3363057.5,3247876.0,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-chair2,dog8-bear3,dot,3363057.5,3242012.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-chair2,dog5-bear3,dot,3363057.5,2831970.25,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-chair2,boat9-bear3,dot,3363057.5,2995788.0,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-chair2,boat2-bear3,dot,3363057.5,3104265.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-chair2,boat10-bear3,dot,3363057.5,3124754.75,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-chair2,oven2-bear3,dot,3363057.5,2263306.25,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-chair2,truck3-bear3,dot,3363057.5,2572364.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-chair2,bird3-bear3,dot,3363057.5,3051767.5,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-chair2,bird5-bear3,dot,3363057.5,3111038.75,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-chair2,bird9-bear3,dot,3363057.5,3296901.0,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-chair2,airplane10-bear3,dot,3363057.5,3277000.0,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-chair2,airplane4-bear3,dot,3363057.5,3262118.0,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-chair2,airplane6-bear3,dot,3363057.5,3259945.25,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-chair2,keyboard5-bear3,dot,3363057.5,2735993.75,1,0
resnet50_random,dog9-bear3,dog9,bear3,dog9-chair2,clock3-bear3,dot,3363057.5,2295809.5,1,0
