Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,elephant6-cat2,elephant6,cat2,elephant6-car3,bear2-cat2,dot,2068853.0,1859163.75,1,0
resnet50_random,elephant6-cat2,elephant6,cat2,elephant6-car3,bear10-cat2,dot,2068853.0,1972567.875,1,0
resnet50_random,elephant6-cat2,elephant6,cat2,elephant6-car3,oven3-cat2,dot,2068853.0,1644824.625,1,0
resnet50_random,elephant6-cat2,elephant6,cat2,elephant6-car3,oven10-cat2,dot,2068853.0,1525372.0,1,0
resnet50_random,elephant6-cat2,elephant6,cat2,elephant6-car3,chair4-cat2,dot,2068853.0,2328552.0,0,1
resnet50_random,elephant6-cat2,elephant6,cat2,elephant6-car3,truck6-cat2,dot,2068853.0,2058635.875,1,0
resnet50_random,elephant6-cat2,elephant6,cat2,elephant6-car3,truck8-cat2,dot,2068853.0,1918702.75,1,0
resnet50_random,elephant6-cat2,elephant6,cat2,elephant6-car3,bird5-cat2,dot,2068853.0,2138929.75,0,1
resnet50_random,elephant6-cat2,elephant6,cat2,elephant6-car3,airplane10-cat2,dot,2068853.0,2257400.0,0,1
resnet50_random,elephant6-cat2,elephant6,cat2,elephant6-car3,bottle7-cat2,dot,2068853.0,2183218.0,0,1
resnet50_random,elephant6-cat2,elephant6,cat2,elephant6-car3,bottle9-cat2,dot,2068853.0,2181776.75,0,1
resnet50_random,elephant6-cat2,elephant6,cat2,elephant6-car3,keyboard4-cat2,dot,2068853.0,1743910.75,1,0
resnet50_random,elephant6-cat2,elephant6,cat2,elephant6-car3,clock7-cat2,dot,2068853.0,1373601.25,1,0
resnet50_random,elephant6-cat2,elephant6,cat2,elephant6-car3,knife8-cat2,dot,2068853.0,2179210.5,0,1
resnet50_random,elephant6-cat2,elephant6,cat2,elephant6-car3,knife5-cat2,dot,2068853.0,2276108.5,0,1
resnet50_random,elephant6-cat2,elephant6,cat2,elephant6-car3,knife4-cat2,dot,2068853.0,2265104.0,0,1
resnet50_random,elephant6-cat2,elephant6,cat2,elephant6-car3,elephant3-cat2,dot,2068853.0,1858422.625,1,0
