Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,truck1-clock3,truck1,clock3,truck1-cat1,cat7-clock3,dot,1409442.625,1993815.25,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck1-cat1,cat6-clock3,dot,1409442.625,2215611.25,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck1-cat1,bear4-clock3,dot,1409442.625,2386163.0,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck1-cat1,boat3-clock3,dot,1409442.625,2197687.25,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck1-cat1,boat7-clock3,dot,1409442.625,2445683.75,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck1-cat1,boat5-clock3,dot,1409442.625,2440928.75,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck1-cat1,oven3-clock3,dot,1409442.625,1998758.5,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck1-cat1,oven1-clock3,dot,1409442.625,1609201.125,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck1-cat1,chair7-clock3,dot,1409442.625,2157517.0,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck1-cat1,chair8-clock3,dot,1409442.625,2676402.0,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck1-cat1,truck3-clock3,dot,1409442.625,1991919.875,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck1-cat1,bird2-clock3,dot,1409442.625,2228634.0,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck1-cat1,bird1-clock3,dot,1409442.625,2338558.75,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck1-cat1,airplane7-clock3,dot,1409442.625,2465384.25,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck1-cat1,bicycle8-clock3,dot,1409442.625,2697978.25,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck1-cat1,bicycle7-clock3,dot,1409442.625,2726554.0,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck1-cat1,bicycle1-clock3,dot,1409442.625,2774859.75,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck1-cat1,bicycle4-clock3,dot,1409442.625,2678027.5,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck1-cat1,bottle5-clock3,dot,1409442.625,2527836.0,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck1-cat1,keyboard7-clock3,dot,1409442.625,2047533.0,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck1-cat1,keyboard3-clock3,dot,1409442.625,2455670.5,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck1-cat1,knife4-clock3,dot,1409442.625,2427111.5,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck1-cat1,elephant4-clock3,dot,1409442.625,2051818.375,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck1-cat1,elephant9-clock3,dot,1409442.625,1988190.125,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck10-car3,cat7-clock3,dot,2134136.25,1993815.25,1,0
resnet50_random,truck1-clock3,truck1,clock3,truck10-car3,cat6-clock3,dot,2134136.25,2215611.25,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck10-car3,bear4-clock3,dot,2134136.25,2386163.0,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck10-car3,boat3-clock3,dot,2134136.25,2197687.25,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck10-car3,boat7-clock3,dot,2134136.25,2445683.75,0,1
resnet50_random,truck1-clock3,truck1,clock3,truck10-car3,boat5-clock3,dot,2134136.25,2440928.75,0,1
