Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-bottle3,car8-bicycle2,dot,3043239.5,2761241.0,1,0
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-bottle3,car9-bicycle2,dot,3043239.5,2699249.75,1,0
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-bottle3,car10-bicycle2,dot,3043239.5,2865992.5,1,0
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-bottle3,dog2-bicycle2,dot,3043239.5,2268875.5,1,0
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-bottle3,bear3-bicycle2,dot,3043239.5,2503275.0,1,0
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-bottle3,bear7-bicycle2,dot,3043239.5,2200077.25,1,0
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-bottle3,boat3-bicycle2,dot,3043239.5,2749106.5,1,0
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-bottle3,boat6-bicycle2,dot,3043239.5,2983409.5,1,0
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-bottle3,boat1-bicycle2,dot,3043239.5,2686657.75,1,0
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-bottle3,oven4-bicycle2,dot,3043239.5,2416404.0,1,0
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-bottle3,bird4-bicycle2,dot,3043239.5,2810925.75,1,0
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-bottle3,bird1-bicycle2,dot,3043239.5,2849796.5,1,0
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-bottle3,airplane4-bicycle2,dot,3043239.5,3049653.25,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-bottle3,airplane1-bicycle2,dot,3043239.5,3073379.5,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-bottle3,keyboard3-bicycle2,dot,3043239.5,3001485.75,1,0
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-bottle3,keyboard9-bicycle2,dot,3043239.5,2556639.5,1,0
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-bottle3,clock3-bicycle2,dot,3043239.5,2331719.5,1,0
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-bottle3,knife5-bicycle2,dot,3043239.5,2984967.5,1,0
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-bottle3,elephant9-bicycle2,dot,3043239.5,2422814.0,1,0
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-bottle3,elephant4-bicycle2,dot,3043239.5,2494554.0,1,0
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-keyboard1,car8-bicycle2,dot,2231330.5,2761241.0,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-keyboard1,car9-bicycle2,dot,2231330.5,2699249.75,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-keyboard1,car10-bicycle2,dot,2231330.5,2865992.5,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-keyboard1,dog2-bicycle2,dot,2231330.5,2268875.5,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-keyboard1,bear3-bicycle2,dot,2231330.5,2503275.0,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-keyboard1,bear7-bicycle2,dot,2231330.5,2200077.25,1,0
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-keyboard1,boat3-bicycle2,dot,2231330.5,2749106.5,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-keyboard1,boat6-bicycle2,dot,2231330.5,2983409.5,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-keyboard1,boat1-bicycle2,dot,2231330.5,2686657.75,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-keyboard1,oven4-bicycle2,dot,2231330.5,2416404.0,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-keyboard1,bird4-bicycle2,dot,2231330.5,2810925.75,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-keyboard1,bird1-bicycle2,dot,2231330.5,2849796.5,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-keyboard1,airplane4-bicycle2,dot,2231330.5,3049653.25,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-keyboard1,airplane1-bicycle2,dot,2231330.5,3073379.5,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-keyboard1,keyboard3-bicycle2,dot,2231330.5,3001485.75,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-keyboard1,keyboard9-bicycle2,dot,2231330.5,2556639.5,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-keyboard1,clock3-bicycle2,dot,2231330.5,2331719.5,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-keyboard1,knife5-bicycle2,dot,2231330.5,2984967.5,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-keyboard1,elephant9-bicycle2,dot,2231330.5,2422814.0,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-keyboard1,elephant4-bicycle2,dot,2231330.5,2494554.0,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-clock1,car8-bicycle2,dot,2544514.0,2761241.0,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-clock1,car9-bicycle2,dot,2544514.0,2699249.75,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-clock1,car10-bicycle2,dot,2544514.0,2865992.5,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-clock1,dog2-bicycle2,dot,2544514.0,2268875.5,1,0
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-clock1,bear3-bicycle2,dot,2544514.0,2503275.0,1,0
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-clock1,bear7-bicycle2,dot,2544514.0,2200077.25,1,0
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-clock1,boat3-bicycle2,dot,2544514.0,2749106.5,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-clock1,boat6-bicycle2,dot,2544514.0,2983409.5,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-clock1,boat1-bicycle2,dot,2544514.0,2686657.75,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-clock1,oven4-bicycle2,dot,2544514.0,2416404.0,1,0
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-clock1,bird4-bicycle2,dot,2544514.0,2810925.75,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-clock1,bird1-bicycle2,dot,2544514.0,2849796.5,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-clock1,airplane4-bicycle2,dot,2544514.0,3049653.25,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-clock1,airplane1-bicycle2,dot,2544514.0,3073379.5,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-clock1,keyboard3-bicycle2,dot,2544514.0,3001485.75,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-clock1,keyboard9-bicycle2,dot,2544514.0,2556639.5,0,1
resnet50_random,truck2-bicycle2,truck2,bicycle2,truck2-clock1,clock3-bicycle2,dot,2544514.0,2331719.5,1,0
