Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-car1,cat2-bottle3,dot,4801891.5,4502580.0,1,0
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-car1,car10-bottle3,dot,4801891.5,4845165.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-car1,car3-bottle3,dot,4801891.5,4696988.0,1,0
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-car1,bear6-bottle3,dot,4801891.5,4397878.0,1,0
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-car1,oven3-bottle3,dot,4801891.5,4329610.5,1,0
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-car1,oven5-bottle3,dot,4801891.5,4534423.0,1,0
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-car1,chair10-bottle3,dot,4801891.5,4986609.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-car1,chair5-bottle3,dot,4801891.5,4926374.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-car1,chair9-bottle3,dot,4801891.5,5012663.5,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-car1,chair3-bottle3,dot,4801891.5,4890334.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-car1,truck2-bottle3,dot,4801891.5,4386992.0,1,0
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-car1,truck6-bottle3,dot,4801891.5,4754133.0,1,0
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-car1,bird9-bottle3,dot,4801891.5,5100793.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-car1,bird6-bottle3,dot,4801891.5,4975964.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-car1,airplane5-bottle3,dot,4801891.5,4846955.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-car1,bicycle5-bottle3,dot,4801891.5,5482437.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-car1,bicycle1-bottle3,dot,4801891.5,5704649.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-car1,clock2-bottle3,dot,4801891.5,4197332.5,1,0
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-car1,clock4-bottle3,dot,4801891.5,3940841.25,1,0
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-car1,knife6-bottle3,dot,4801891.5,5041701.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-car1,knife8-bottle3,dot,4801891.5,4871168.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-car1,knife7-bottle3,dot,4801891.5,4997155.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-car1,elephant7-bottle3,dot,4801891.5,4889700.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-car1,elephant2-bottle3,dot,4801891.5,4792744.0,1,0
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-clock3,cat2-bottle3,dot,4623190.0,4502580.0,1,0
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-clock3,car10-bottle3,dot,4623190.0,4845165.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-clock3,car3-bottle3,dot,4623190.0,4696988.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-clock3,bear6-bottle3,dot,4623190.0,4397878.0,1,0
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-clock3,oven3-bottle3,dot,4623190.0,4329610.5,1,0
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-clock3,oven5-bottle3,dot,4623190.0,4534423.0,1,0
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-clock3,chair10-bottle3,dot,4623190.0,4986609.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-clock3,chair5-bottle3,dot,4623190.0,4926374.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-clock3,chair9-bottle3,dot,4623190.0,5012663.5,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-clock3,chair3-bottle3,dot,4623190.0,4890334.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-clock3,truck2-bottle3,dot,4623190.0,4386992.0,1,0
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-clock3,truck6-bottle3,dot,4623190.0,4754133.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-clock3,bird9-bottle3,dot,4623190.0,5100793.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-clock3,bird6-bottle3,dot,4623190.0,4975964.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-clock3,airplane5-bottle3,dot,4623190.0,4846955.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-clock3,bicycle5-bottle3,dot,4623190.0,5482437.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-clock3,bicycle1-bottle3,dot,4623190.0,5704649.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-clock3,clock2-bottle3,dot,4623190.0,4197332.5,1,0
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-clock3,clock4-bottle3,dot,4623190.0,3940841.25,1,0
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-clock3,knife6-bottle3,dot,4623190.0,5041701.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-clock3,knife8-bottle3,dot,4623190.0,4871168.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-clock3,knife7-bottle3,dot,4623190.0,4997155.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-clock3,elephant7-bottle3,dot,4623190.0,4889700.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-clock3,elephant2-bottle3,dot,4623190.0,4792744.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-keyboard1,cat2-bottle3,dot,4500012.0,4502580.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-keyboard1,car10-bottle3,dot,4500012.0,4845165.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-keyboard1,car3-bottle3,dot,4500012.0,4696988.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-keyboard1,bear6-bottle3,dot,4500012.0,4397878.0,1,0
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-keyboard1,oven3-bottle3,dot,4500012.0,4329610.5,1,0
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-keyboard1,oven5-bottle3,dot,4500012.0,4534423.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-keyboard1,chair10-bottle3,dot,4500012.0,4986609.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-keyboard1,chair5-bottle3,dot,4500012.0,4926374.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-keyboard1,chair9-bottle3,dot,4500012.0,5012663.5,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-keyboard1,chair3-bottle3,dot,4500012.0,4890334.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-keyboard1,truck2-bottle3,dot,4500012.0,4386992.0,1,0
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-keyboard1,truck6-bottle3,dot,4500012.0,4754133.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-keyboard1,bird9-bottle3,dot,4500012.0,5100793.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-keyboard1,bird6-bottle3,dot,4500012.0,4975964.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-keyboard1,airplane5-bottle3,dot,4500012.0,4846955.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-keyboard1,bicycle5-bottle3,dot,4500012.0,5482437.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-keyboard1,bicycle1-bottle3,dot,4500012.0,5704649.0,0,1
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-keyboard1,clock2-bottle3,dot,4500012.0,4197332.5,1,0
resnet50_random,airplane7-bottle3,airplane7,bottle3,airplane7-keyboard1,clock4-bottle3,dot,4500012.0,3940841.25,1,0
