Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,car8-bicycle2,dot,2631517.0,3176688.75,0,1
resnet50_random,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,car9-bicycle2,dot,2631517.0,3082490.5,0,1
resnet50_random,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,car10-bicycle2,dot,2631517.0,3369405.0,0,1
resnet50_random,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,dog2-bicycle2,dot,2631517.0,2486129.0,1,0
resnet50_random,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,bear7-bicycle2,dot,2631517.0,2398048.5,1,0
resnet50_random,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,boat3-bicycle2,dot,2631517.0,3164129.25,0,1
resnet50_random,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,boat6-bicycle2,dot,2631517.0,3547315.75,0,1
resnet50_random,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,boat1-bicycle2,dot,2631517.0,3089986.0,0,1
resnet50_random,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,oven4-bicycle2,dot,2631517.0,2661502.75,0,1
resnet50_random,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,truck2-bicycle2,dot,2631517.0,2856743.5,0,1
resnet50_random,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,bird4-bicycle2,dot,2631517.0,3261994.75,0,1
resnet50_random,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,bird1-bicycle2,dot,2631517.0,3346048.5,0,1
resnet50_random,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,airplane4-bicycle2,dot,2631517.0,3645980.75,0,1
resnet50_random,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,airplane1-bicycle2,dot,2631517.0,3687575.75,0,1
resnet50_random,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,keyboard3-bicycle2,dot,2631517.0,3559181.5,0,1
resnet50_random,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,keyboard9-bicycle2,dot,2631517.0,2846819.0,0,1
resnet50_random,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,clock3-bicycle2,dot,2631517.0,2552452.5,1,0
resnet50_random,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,knife5-bicycle2,dot,2631517.0,3543696.75,0,1
