Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bicycle1-airplane2,bicycle1,airplane2,bicycle10-clock2,cat7-airplane2,dot,5550874.5,3964277.0,1,0
resnet50_random,bicycle1-airplane2,bicycle1,airplane2,bicycle10-clock2,cat5-airplane2,dot,5550874.5,3811995.75,1,0
resnet50_random,bicycle1-airplane2,bicycle1,airplane2,bicycle10-clock2,car7-airplane2,dot,5550874.5,4735006.0,1,0
resnet50_random,bicycle1-airplane2,bicycle1,airplane2,bicycle10-clock2,dog2-airplane2,dot,5550874.5,3583740.25,1,0
resnet50_random,bicycle1-airplane2,bicycle1,airplane2,bicycle10-clock2,boat9-airplane2,dot,5550874.5,4597660.0,1,0
resnet50_random,bicycle1-airplane2,bicycle1,airplane2,bicycle10-clock2,boat3-airplane2,dot,5550874.5,4502508.0,1,0
resnet50_random,bicycle1-airplane2,bicycle1,airplane2,bicycle10-clock2,boat6-airplane2,dot,5550874.5,5055215.0,1,0
resnet50_random,bicycle1-airplane2,bicycle1,airplane2,bicycle10-clock2,oven9-airplane2,dot,5550874.5,3777042.25,1,0
resnet50_random,bicycle1-airplane2,bicycle1,airplane2,bicycle10-clock2,oven10-airplane2,dot,5550874.5,3864571.0,1,0
resnet50_random,bicycle1-airplane2,bicycle1,airplane2,bicycle10-clock2,chair3-airplane2,dot,5550874.5,4814954.0,1,0
resnet50_random,bicycle1-airplane2,bicycle1,airplane2,bicycle10-clock2,chair10-airplane2,dot,5550874.5,4862905.0,1,0
resnet50_random,bicycle1-airplane2,bicycle1,airplane2,bicycle10-clock2,chair1-airplane2,dot,5550874.5,4677790.0,1,0
resnet50_random,bicycle1-airplane2,bicycle1,airplane2,bicycle10-clock2,truck9-airplane2,dot,5550874.5,4007938.25,1,0
resnet50_random,bicycle1-airplane2,bicycle1,airplane2,bicycle10-clock2,truck5-airplane2,dot,5550874.5,4187851.0,1,0
resnet50_random,bicycle1-airplane2,bicycle1,airplane2,bicycle10-clock2,bird6-airplane2,dot,5550874.5,4975355.0,1,0
resnet50_random,bicycle1-airplane2,bicycle1,airplane2,bicycle10-clock2,bird1-airplane2,dot,5550874.5,4655119.5,1,0
resnet50_random,bicycle1-airplane2,bicycle1,airplane2,bicycle10-clock2,bicycle9-airplane2,dot,5550874.5,5718697.0,0,1
resnet50_random,bicycle1-airplane2,bicycle1,airplane2,bicycle10-clock2,bicycle6-airplane2,dot,5550874.5,5487514.0,1,0
resnet50_random,bicycle1-airplane2,bicycle1,airplane2,bicycle10-clock2,bicycle10-airplane2,dot,5550874.5,5410648.0,1,0
resnet50_random,bicycle1-airplane2,bicycle1,airplane2,bicycle10-clock2,bottle3-airplane2,dot,5550874.5,4789196.0,1,0
