Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-clock2,cat7-clock3,dot,5576080.0,3862756.0,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-clock2,cat6-clock3,dot,5576080.0,4323791.0,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-clock2,bear4-clock3,dot,5576080.0,4760641.0,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-clock2,boat3-clock3,dot,5576080.0,4298526.0,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-clock2,boat7-clock3,dot,5576080.0,4961925.5,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-clock2,boat5-clock3,dot,5576080.0,5007708.0,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-clock2,oven3-clock3,dot,5576080.0,3811154.5,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-clock2,oven1-clock3,dot,5576080.0,2937383.5,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-clock2,chair7-clock3,dot,5576080.0,4194590.0,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-clock2,chair8-clock3,dot,5576080.0,5526994.0,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-clock2,truck1-clock3,dot,5576080.0,3244732.0,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-clock2,truck3-clock3,dot,5576080.0,3801664.5,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-clock2,bird2-clock3,dot,5576080.0,4355256.0,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-clock2,bird1-clock3,dot,5576080.0,4666810.5,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-clock2,airplane7-clock3,dot,5576080.0,4922466.5,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-clock2,bicycle8-clock3,dot,5576080.0,5497093.5,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-clock2,bicycle7-clock3,dot,5576080.0,5598763.0,0,1
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-clock2,bicycle4-clock3,dot,5576080.0,5400304.0,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-clock2,bottle5-clock3,dot,5576080.0,5066170.0,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-clock2,keyboard7-clock3,dot,5576080.0,3928734.0,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-clock2,keyboard3-clock3,dot,5576080.0,4955186.0,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-clock2,knife4-clock3,dot,5576080.0,4920137.0,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-clock2,elephant4-clock3,dot,5576080.0,3918246.0,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-clock2,elephant9-clock3,dot,5576080.0,3817940.0,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-boat3,cat7-clock3,dot,5398698.0,3862756.0,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-boat3,cat6-clock3,dot,5398698.0,4323791.0,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-boat3,bear4-clock3,dot,5398698.0,4760641.0,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-boat3,boat3-clock3,dot,5398698.0,4298526.0,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-boat3,boat7-clock3,dot,5398698.0,4961925.5,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-boat3,boat5-clock3,dot,5398698.0,5007708.0,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-boat3,oven3-clock3,dot,5398698.0,3811154.5,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-boat3,oven1-clock3,dot,5398698.0,2937383.5,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-boat3,chair7-clock3,dot,5398698.0,4194590.0,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-boat3,chair8-clock3,dot,5398698.0,5526994.0,0,1
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-boat3,truck1-clock3,dot,5398698.0,3244732.0,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-boat3,truck3-clock3,dot,5398698.0,3801664.5,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-boat3,bird2-clock3,dot,5398698.0,4355256.0,1,0
resnet50_random,bicycle1-clock3,bicycle1,clock3,bicycle10-boat3,bird1-clock3,dot,5398698.0,4666810.5,1,0
