Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bird3,cat6-bear1,dot,5744268.0,4090569.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bird3,cat10-bear1,dot,5744268.0,3996778.75,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bird3,cat8-bear1,dot,5744268.0,4085665.75,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bird3,car8-bear1,dot,5744268.0,4130483.25,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bird3,car7-bear1,dot,5744268.0,4387038.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bird3,car6-bear1,dot,5744268.0,3003230.5,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bird3,dog1-bear1,dot,5744268.0,3565364.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bird3,boat6-bear1,dot,5744268.0,4782806.5,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bird3,boat1-bear1,dot,5744268.0,3988172.5,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bird3,oven10-bear1,dot,5744268.0,3331010.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bird3,chair9-bear1,dot,5744268.0,4711723.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bird3,chair8-bear1,dot,5744268.0,5283345.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bird3,chair1-bear1,dot,5744268.0,4531476.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bird3,truck4-bear1,dot,5744268.0,3721472.5,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bird3,truck1-bear1,dot,5744268.0,2608171.25,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bird3,bird1-bear1,dot,5744268.0,4498363.5,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bird3,airplane2-bear1,dot,5744268.0,4621406.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bird3,bicycle5-bear1,dot,5744268.0,5257336.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bird3,bicycle1-bear1,dot,5744268.0,5345944.5,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bird3,bottle7-bear1,dot,5744268.0,4507177.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bird3,bottle1-bear1,dot,5744268.0,4602928.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bird3,clock1-bear1,dot,5744268.0,2728270.25,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bird3,knife4-bear1,dot,5744268.0,4670658.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bird3,elephant10-bear1,dot,5744268.0,3186145.75,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-car1,cat6-bear1,dot,5786535.0,4090569.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-car1,cat10-bear1,dot,5786535.0,3996778.75,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-car1,cat8-bear1,dot,5786535.0,4085665.75,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-car1,car8-bear1,dot,5786535.0,4130483.25,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-car1,car7-bear1,dot,5786535.0,4387038.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-car1,car6-bear1,dot,5786535.0,3003230.5,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-car1,dog1-bear1,dot,5786535.0,3565364.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-car1,boat6-bear1,dot,5786535.0,4782806.5,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-car1,boat1-bear1,dot,5786535.0,3988172.5,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-car1,oven10-bear1,dot,5786535.0,3331010.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-car1,chair9-bear1,dot,5786535.0,4711723.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-car1,chair8-bear1,dot,5786535.0,5283345.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-car1,chair1-bear1,dot,5786535.0,4531476.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-car1,truck4-bear1,dot,5786535.0,3721472.5,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-car1,truck1-bear1,dot,5786535.0,2608171.25,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-car1,bird1-bear1,dot,5786535.0,4498363.5,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-car1,airplane2-bear1,dot,5786535.0,4621406.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-car1,bicycle5-bear1,dot,5786535.0,5257336.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-car1,bicycle1-bear1,dot,5786535.0,5345944.5,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-car1,bottle7-bear1,dot,5786535.0,4507177.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-car1,bottle1-bear1,dot,5786535.0,4602928.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-car1,clock1-bear1,dot,5786535.0,2728270.25,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-car1,knife4-bear1,dot,5786535.0,4670658.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-car1,elephant10-bear1,dot,5786535.0,3186145.75,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bottle1,cat6-bear1,dot,5893445.0,4090569.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bottle1,cat10-bear1,dot,5893445.0,3996778.75,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bottle1,cat8-bear1,dot,5893445.0,4085665.75,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bottle1,car8-bear1,dot,5893445.0,4130483.25,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bottle1,car7-bear1,dot,5893445.0,4387038.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bottle1,car6-bear1,dot,5893445.0,3003230.5,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bottle1,dog1-bear1,dot,5893445.0,3565364.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bottle1,boat6-bear1,dot,5893445.0,4782806.5,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bottle1,boat1-bear1,dot,5893445.0,3988172.5,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bottle1,oven10-bear1,dot,5893445.0,3331010.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bottle1,chair9-bear1,dot,5893445.0,4711723.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bottle1,chair8-bear1,dot,5893445.0,5283345.0,1,0
resnet50_random,bicycle9-bear1,bicycle9,bear1,bicycle9-bottle1,chair1-bear1,dot,5893445.0,4531476.0,1,0
