Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bird3-knife3,bird3,knife3,bird3-bear3,cat2-knife3,dot,3777147.75,3239784.0,1,0
resnet50_random,bird3-knife3,bird3,knife3,bird3-bear3,car2-knife3,dot,3777147.75,3052241.5,1,0
resnet50_random,bird3-knife3,bird3,knife3,bird3-bear3,dog3-knife3,dot,3777147.75,3999277.5,0,1
resnet50_random,bird3-knife3,bird3,knife3,bird3-bear3,dog1-knife3,dot,3777147.75,3103921.75,1,0
resnet50_random,bird3-knife3,bird3,knife3,bird3-bear3,dog2-knife3,dot,3777147.75,2516694.25,1,0
resnet50_random,bird3-knife3,bird3,knife3,bird3-bear3,dog7-knife3,dot,3777147.75,3654926.5,1,0
resnet50_random,bird3-knife3,bird3,knife3,bird3-bear3,bear8-knife3,dot,3777147.75,3300514.5,1,0
resnet50_random,bird3-knife3,bird3,knife3,bird3-bear3,oven6-knife3,dot,3777147.75,3284703.25,1,0
resnet50_random,bird3-knife3,bird3,knife3,bird3-bear3,oven9-knife3,dot,3777147.75,2755900.25,1,0
resnet50_random,bird3-knife3,bird3,knife3,bird3-bear3,chair5-knife3,dot,3777147.75,3907395.0,0,1
resnet50_random,bird3-knife3,bird3,knife3,bird3-bear3,truck5-knife3,dot,3777147.75,3220536.25,1,0
resnet50_random,bird3-knife3,bird3,knife3,bird3-bear3,bird1-knife3,dot,3777147.75,3716844.75,1,0
resnet50_random,bird3-knife3,bird3,knife3,bird3-bear3,airplane10-knife3,dot,3777147.75,4070770.75,0,1
resnet50_random,bird3-knife3,bird3,knife3,bird3-bear3,airplane9-knife3,dot,3777147.75,4246610.0,0,1
resnet50_random,bird3-knife3,bird3,knife3,bird3-bear3,bicycle4-knife3,dot,3777147.75,4325017.0,0,1
resnet50_random,bird3-knife3,bird3,knife3,bird3-bear3,bicycle9-knife3,dot,3777147.75,4612710.0,0,1
resnet50_random,bird3-knife3,bird3,knife3,bird3-bear3,bicycle1-knife3,dot,3777147.75,4541114.0,0,1
resnet50_random,bird3-knife3,bird3,knife3,bird3-bear3,bottle6-knife3,dot,3777147.75,4019719.5,0,1
resnet50_random,bird3-knife3,bird3,knife3,bird3-bear3,bottle3-knife3,dot,3777147.75,4028892.0,0,1
resnet50_random,bird3-knife3,bird3,knife3,bird3-bear3,bottle2-knife3,dot,3777147.75,3999116.25,0,1
resnet50_random,bird3-knife3,bird3,knife3,bird3-bear3,clock10-knife3,dot,3777147.75,4014176.25,0,1
resnet50_random,bird3-knife3,bird3,knife3,bird3-bear3,elephant10-knife3,dot,3777147.75,2703658.75,1,0
resnet50_random,bird3-knife3,bird3,knife3,bird3-boat3,cat2-knife3,dot,3856638.5,3239784.0,1,0
resnet50_random,bird3-knife3,bird3,knife3,bird3-boat3,car2-knife3,dot,3856638.5,3052241.5,1,0
resnet50_random,bird3-knife3,bird3,knife3,bird3-boat3,dog3-knife3,dot,3856638.5,3999277.5,0,1
resnet50_random,bird3-knife3,bird3,knife3,bird3-boat3,dog1-knife3,dot,3856638.5,3103921.75,1,0
