Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,boat8-knife1,boat8,knife1,boat8-dog3,cat4-knife1,dot,3380964.0,3846188.5,0,1
resnet50_random,boat8-knife1,boat8,knife1,boat8-dog3,car9-knife1,dot,3380964.0,3332914.25,1,0
resnet50_random,boat8-knife1,boat8,knife1,boat8-dog3,car6-knife1,dot,3380964.0,2712239.5,1,0
resnet50_random,boat8-knife1,boat8,knife1,boat8-dog3,bear4-knife1,dot,3380964.0,3752604.75,0,1
resnet50_random,boat8-knife1,boat8,knife1,boat8-dog3,oven3-knife1,dot,3380964.0,3109664.5,1,0
resnet50_random,boat8-knife1,boat8,knife1,boat8-dog3,chair3-knife1,dot,3380964.0,3764381.5,0,1
resnet50_random,boat8-knife1,boat8,knife1,boat8-dog3,chair2-knife1,dot,3380964.0,4130066.25,0,1
resnet50_random,boat8-knife1,boat8,knife1,boat8-dog3,truck1-knife1,dot,3380964.0,2416948.5,1,0
resnet50_random,boat8-knife1,boat8,knife1,boat8-dog3,truck4-knife1,dot,3380964.0,3203196.25,1,0
resnet50_random,boat8-knife1,boat8,knife1,boat8-dog3,bird2-knife1,dot,3380964.0,3487045.0,0,1
resnet50_random,boat8-knife1,boat8,knife1,boat8-dog3,airplane5-knife1,dot,3380964.0,3702634.5,0,1
resnet50_random,boat8-knife1,boat8,knife1,boat8-dog3,airplane6-knife1,dot,3380964.0,4029373.0,0,1
resnet50_random,boat8-knife1,boat8,knife1,boat8-dog3,airplane4-knife1,dot,3380964.0,4005752.5,0,1
resnet50_random,boat8-knife1,boat8,knife1,boat8-dog3,bottle8-knife1,dot,3380964.0,3825239.0,0,1
resnet50_random,boat8-knife1,boat8,knife1,boat8-dog3,bottle5-knife1,dot,3380964.0,3973674.75,0,1
resnet50_random,boat8-knife1,boat8,knife1,boat8-dog3,keyboard7-knife1,dot,3380964.0,3269135.5,1,0
resnet50_random,boat8-knife1,boat8,knife1,boat8-dog3,keyboard2-knife1,dot,3380964.0,3224362.5,1,0
resnet50_random,boat8-knife1,boat8,knife1,boat8-dog3,clock4-knife1,dot,3380964.0,2717842.5,1,0
resnet50_random,boat8-knife1,boat8,knife1,boat8-dog3,clock2-knife1,dot,3380964.0,2629174.0,1,0
resnet50_random,boat8-knife1,boat8,knife1,boat8-dog3,clock8-knife1,dot,3380964.0,3024742.75,1,0
resnet50_random,boat8-knife1,boat8,knife1,boat8-dog3,elephant3-knife1,dot,3380964.0,3427122.25,0,1
resnet50_random,boat8-knife1,boat8,knife1,boat8-truck2,cat4-knife1,dot,3563939.0,3846188.5,0,1
resnet50_random,boat8-knife1,boat8,knife1,boat8-truck2,car9-knife1,dot,3563939.0,3332914.25,1,0
resnet50_random,boat8-knife1,boat8,knife1,boat8-truck2,car6-knife1,dot,3563939.0,2712239.5,1,0
resnet50_random,boat8-knife1,boat8,knife1,boat8-truck2,bear4-knife1,dot,3563939.0,3752604.75,0,1
resnet50_random,boat8-knife1,boat8,knife1,boat8-truck2,oven3-knife1,dot,3563939.0,3109664.5,1,0
resnet50_random,boat8-knife1,boat8,knife1,boat8-truck2,chair3-knife1,dot,3563939.0,3764381.5,0,1
resnet50_random,boat8-knife1,boat8,knife1,boat8-truck2,chair2-knife1,dot,3563939.0,4130066.25,0,1
resnet50_random,boat8-knife1,boat8,knife1,boat8-truck2,truck1-knife1,dot,3563939.0,2416948.5,1,0
resnet50_random,boat8-knife1,boat8,knife1,boat8-truck2,truck4-knife1,dot,3563939.0,3203196.25,1,0
resnet50_random,boat8-knife1,boat8,knife1,boat8-truck2,bird2-knife1,dot,3563939.0,3487045.0,1,0
resnet50_random,boat8-knife1,boat8,knife1,boat8-truck2,airplane5-knife1,dot,3563939.0,3702634.5,0,1
resnet50_random,boat8-knife1,boat8,knife1,boat8-truck2,airplane6-knife1,dot,3563939.0,4029373.0,0,1
resnet50_random,boat8-knife1,boat8,knife1,boat8-truck2,airplane4-knife1,dot,3563939.0,4005752.5,0,1
resnet50_random,boat8-knife1,boat8,knife1,boat8-truck2,bottle8-knife1,dot,3563939.0,3825239.0,0,1
resnet50_random,boat8-knife1,boat8,knife1,boat8-truck2,bottle5-knife1,dot,3563939.0,3973674.75,0,1
resnet50_random,boat8-knife1,boat8,knife1,boat8-truck2,keyboard7-knife1,dot,3563939.0,3269135.5,1,0
resnet50_random,boat8-knife1,boat8,knife1,boat8-truck2,keyboard2-knife1,dot,3563939.0,3224362.5,1,0
resnet50_random,boat8-knife1,boat8,knife1,boat8-truck2,clock4-knife1,dot,3563939.0,2717842.5,1,0
resnet50_random,boat8-knife1,boat8,knife1,boat8-truck2,clock2-knife1,dot,3563939.0,2629174.0,1,0
