Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,car10-bottle3,car10,bottle3,car10-dog1,cat2-bottle3,dot,4242101.0,4355562.5,0,1
resnet50_random,car10-bottle3,car10,bottle3,car10-dog1,car3-bottle3,dot,4242101.0,4543352.0,0,1
resnet50_random,car10-bottle3,car10,bottle3,car10-dog1,bear6-bottle3,dot,4242101.0,4254082.0,0,1
resnet50_random,car10-bottle3,car10,bottle3,car10-dog1,oven3-bottle3,dot,4242101.0,4188335.5,1,0
resnet50_random,car10-bottle3,car10,bottle3,car10-dog1,oven5-bottle3,dot,4242101.0,4386299.5,0,1
resnet50_random,car10-bottle3,car10,bottle3,car10-dog1,chair10-bottle3,dot,4242101.0,4823393.5,0,1
resnet50_random,car10-bottle3,car10,bottle3,car10-dog1,chair5-bottle3,dot,4242101.0,4764866.0,0,1
resnet50_random,car10-bottle3,car10,bottle3,car10-dog1,chair9-bottle3,dot,4242101.0,4848589.0,0,1
resnet50_random,car10-bottle3,car10,bottle3,car10-dog1,chair3-bottle3,dot,4242101.0,4730674.0,0,1
resnet50_random,car10-bottle3,car10,bottle3,car10-dog1,truck2-bottle3,dot,4242101.0,4243520.5,0,1
resnet50_random,car10-bottle3,car10,bottle3,car10-dog1,truck6-bottle3,dot,4242101.0,4598890.5,0,1
resnet50_random,car10-bottle3,car10,bottle3,car10-dog1,bird9-bottle3,dot,4242101.0,4933717.0,0,1
resnet50_random,car10-bottle3,car10,bottle3,car10-dog1,bird6-bottle3,dot,4242101.0,4812780.0,0,1
resnet50_random,car10-bottle3,car10,bottle3,car10-dog1,airplane7-bottle3,dot,4242101.0,4845165.0,0,1
resnet50_random,car10-bottle3,car10,bottle3,car10-dog1,airplane5-bottle3,dot,4242101.0,4688178.0,0,1
resnet50_random,car10-bottle3,car10,bottle3,car10-dog1,bicycle5-bottle3,dot,4242101.0,5303205.0,0,1
resnet50_random,car10-bottle3,car10,bottle3,car10-dog1,bicycle1-bottle3,dot,4242101.0,5517648.0,0,1
resnet50_random,car10-bottle3,car10,bottle3,car10-dog1,clock2-bottle3,dot,4242101.0,4060244.5,1,0
resnet50_random,car10-bottle3,car10,bottle3,car10-dog1,clock4-bottle3,dot,4242101.0,3812060.5,1,0
resnet50_random,car10-bottle3,car10,bottle3,car10-dog1,knife6-bottle3,dot,4242101.0,4876457.0,0,1
resnet50_random,car10-bottle3,car10,bottle3,car10-dog1,knife8-bottle3,dot,4242101.0,4711639.0,0,1
resnet50_random,car10-bottle3,car10,bottle3,car10-dog1,knife7-bottle3,dot,4242101.0,4833312.0,0,1
