Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,car2-cat3,car2,cat3,car2-bird3,car4-cat3,dot,2607447.25,2607133.0,1,0
resnet50_random,car2-cat3,car2,cat3,car2-bird3,dog4-cat3,dot,2607447.25,2865613.5,0,1
resnet50_random,car2-cat3,car2,cat3,car2-bird3,dog1-cat3,dot,2607447.25,2187426.0,1,0
resnet50_random,car2-cat3,car2,cat3,car2-bird3,bear4-cat3,dot,2607447.25,2855598.25,0,1
resnet50_random,car2-cat3,car2,cat3,car2-bird3,bear6-cat3,dot,2607447.25,2283173.25,1,0
resnet50_random,car2-cat3,car2,cat3,car2-bird3,boat3-cat3,dot,2607447.25,2516849.75,1,0
resnet50_random,car2-cat3,car2,cat3,car2-bird3,boat9-cat3,dot,2607447.25,2639545.0,0,1
resnet50_random,car2-cat3,car2,cat3,car2-bird3,boat7-cat3,dot,2607447.25,2977166.0,0,1
resnet50_random,car2-cat3,car2,cat3,car2-bird3,oven8-cat3,dot,2607447.25,1833323.75,1,0
resnet50_random,car2-cat3,car2,cat3,car2-bird3,chair5-cat3,dot,2607447.25,2859141.0,0,1
resnet50_random,car2-cat3,car2,cat3,car2-bird3,chair1-cat3,dot,2607447.25,2831181.0,0,1
resnet50_random,car2-cat3,car2,cat3,car2-bird3,truck5-cat3,dot,2607447.25,2311841.0,1,0
resnet50_random,car2-cat3,car2,cat3,car2-bird3,bird7-cat3,dot,2607447.25,3105998.25,0,1
resnet50_random,car2-cat3,car2,cat3,car2-bird3,bird4-cat3,dot,2607447.25,2700202.0,0,1
resnet50_random,car2-cat3,car2,cat3,car2-bird3,airplane7-cat3,dot,2607447.25,2972040.25,0,1
resnet50_random,car2-cat3,car2,cat3,car2-bird3,airplane4-cat3,dot,2607447.25,3104021.25,0,1
resnet50_random,car2-cat3,car2,cat3,car2-bird3,bicycle9-cat3,dot,2607447.25,3407277.25,0,1
resnet50_random,car2-cat3,car2,cat3,car2-bird3,bottle1-cat3,dot,2607447.25,2914758.0,0,1
