Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,car6-elephant3,car6,elephant3,car6-truck3,cat10-elephant3,dot,1992801.625,2338446.25,0,1
resnet50_random,car6-elephant3,car6,elephant3,car6-truck3,car3-elephant3,dot,1992801.625,2450528.0,0,1
resnet50_random,car6-elephant3,car6,elephant3,car6-truck3,car7-elephant3,dot,1992801.625,2557877.0,0,1
resnet50_random,car6-elephant3,car6,elephant3,car6-truck3,car4-elephant3,dot,1992801.625,2393457.25,0,1
resnet50_random,car6-elephant3,car6,elephant3,car6-truck3,boat7-elephant3,dot,1992801.625,2891970.25,0,1
resnet50_random,car6-elephant3,car6,elephant3,car6-truck3,boat1-elephant3,dot,1992801.625,2457441.75,0,1
resnet50_random,car6-elephant3,car6,elephant3,car6-truck3,oven4-elephant3,dot,1992801.625,1942989.625,1,0
resnet50_random,car6-elephant3,car6,elephant3,car6-truck3,oven3-elephant3,dot,1992801.625,2082244.5,0,1
resnet50_random,car6-elephant3,car6,elephant3,car6-truck3,truck10-elephant3,dot,1992801.625,1891421.25,1,0
resnet50_random,car6-elephant3,car6,elephant3,car6-truck3,airplane8-elephant3,dot,1992801.625,2877152.0,0,1
resnet50_random,car6-elephant3,car6,elephant3,car6-truck3,bottle8-elephant3,dot,1992801.625,2771102.25,0,1
resnet50_random,car6-elephant3,car6,elephant3,car6-truck3,keyboard1-elephant3,dot,1992801.625,2434457.25,0,1
resnet50_random,car6-elephant3,car6,elephant3,car6-truck3,clock3-elephant3,dot,1992801.625,1776057.5,1,0
resnet50_random,car6-elephant3,car6,elephant3,car6-truck3,knife10-elephant3,dot,1992801.625,2771715.75,0,1
resnet50_random,car6-elephant3,car6,elephant3,car6-bottle1,cat10-elephant3,dot,2271711.0,2338446.25,0,1
resnet50_random,car6-elephant3,car6,elephant3,car6-bottle1,car3-elephant3,dot,2271711.0,2450528.0,0,1
resnet50_random,car6-elephant3,car6,elephant3,car6-bottle1,car7-elephant3,dot,2271711.0,2557877.0,0,1
resnet50_random,car6-elephant3,car6,elephant3,car6-bottle1,car4-elephant3,dot,2271711.0,2393457.25,0,1
resnet50_random,car6-elephant3,car6,elephant3,car6-bottle1,boat7-elephant3,dot,2271711.0,2891970.25,0,1
resnet50_random,car6-elephant3,car6,elephant3,car6-bottle1,boat1-elephant3,dot,2271711.0,2457441.75,0,1
resnet50_random,car6-elephant3,car6,elephant3,car6-bottle1,oven4-elephant3,dot,2271711.0,1942989.625,1,0
