Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,car8-dog1,car8,dog1,car8-chair1,cat1-dog1,dot,3348574.25,3111461.0,1,0
resnet50_random,car8-dog1,car8,dog1,car8-chair1,car10-dog1,dot,3348574.25,3490228.0,0,1
resnet50_random,car8-dog1,car8,dog1,car8-chair1,bear2-dog1,dot,3348574.25,3109632.5,1,0
resnet50_random,car8-dog1,car8,dog1,car8-chair1,bear8-dog1,dot,3348574.25,2863289.75,1,0
resnet50_random,car8-dog1,car8,dog1,car8-chair1,bear9-dog1,dot,3348574.25,2364289.75,1,0
resnet50_random,car8-dog1,car8,dog1,car8-chair1,boat6-dog1,dot,3348574.25,3727556.5,0,1
resnet50_random,car8-dog1,car8,dog1,car8-chair1,oven4-dog1,dot,3348574.25,2590512.0,1,0
resnet50_random,car8-dog1,car8,dog1,car8-chair1,chair10-dog1,dot,3348574.25,3604112.25,0,1
resnet50_random,car8-dog1,car8,dog1,car8-chair1,chair1-dog1,dot,3348574.25,3498879.5,0,1
resnet50_random,car8-dog1,car8,dog1,car8-chair1,chair6-dog1,dot,3348574.25,3583830.5,0,1
resnet50_random,car8-dog1,car8,dog1,car8-chair1,truck1-dog1,dot,3348574.25,2402681.5,1,0
resnet50_random,car8-dog1,car8,dog1,car8-chair1,bird3-dog1,dot,3348574.25,3539188.5,0,1
resnet50_random,car8-dog1,car8,dog1,car8-chair1,airplane2-dog1,dot,3348574.25,3581845.5,0,1
resnet50_random,car8-dog1,car8,dog1,car8-chair1,airplane3-dog1,dot,3348574.25,3962490.0,0,1
resnet50_random,car8-dog1,car8,dog1,car8-chair1,bicycle2-dog1,dot,3348574.25,3974287.5,0,1
resnet50_random,car8-dog1,car8,dog1,car8-chair1,bottle10-dog1,dot,3348574.25,3477355.0,0,1
resnet50_random,car8-dog1,car8,dog1,car8-chair1,keyboard7-dog1,dot,3348574.25,2853796.75,1,0
resnet50_random,car8-dog1,car8,dog1,car8-chair1,clock2-dog1,dot,3348574.25,2565257.75,1,0
resnet50_random,car8-dog1,car8,dog1,car8-chair1,knife1-dog1,dot,3348574.25,3882478.0,0,1
resnet50_random,car8-dog1,car8,dog1,car8-chair1,knife5-dog1,dot,3348574.25,3716541.0,0,1
resnet50_random,car8-dog1,car8,dog1,car8-chair1,knife10-dog1,dot,3348574.25,3576602.25,0,1
resnet50_random,car8-dog1,car8,dog1,car8-chair1,knife2-dog1,dot,3348574.25,3673779.5,0,1
resnet50_random,car8-dog1,car8,dog1,car8-chair1,elephant7-dog1,dot,3348574.25,3531171.5,0,1
resnet50_random,car8-dog1,car8,dog1,car8-chair1,elephant8-dog1,dot,3348574.25,3163060.0,1,0
resnet50_random,car8-dog1,car8,dog1,car8-boat3,cat1-dog1,dot,3326587.5,3111461.0,1,0
