Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,cat5-chair3,dot,3027094.0,2540030.0,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,car1-chair3,dot,3027094.0,2067503.75,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,car6-chair3,dot,3027094.0,2268611.5,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,dog8-chair3,dot,3027094.0,3530667.0,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,boat3-chair3,dot,3027094.0,3046910.0,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,boat1-chair3,dot,3027094.0,2996993.75,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,oven6-chair3,dot,3027094.0,2805824.0,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,truck9-chair3,dot,3027094.0,2377265.5,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,airplane5-chair3,dot,3027094.0,3289459.0,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,airplane6-chair3,dot,3027094.0,3669063.75,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,airplane3-chair3,dot,3027094.0,3767665.0,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,bottle3-chair3,dot,3027094.0,3421879.25,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,bottle2-chair3,dot,3027094.0,3521409.0,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,keyboard7-chair3,dot,3027094.0,2728307.5,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,clock6-chair3,dot,3027094.0,3113668.0,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,clock9-chair3,dot,3027094.0,2838276.0,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,clock5-chair3,dot,3027094.0,2466608.0,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,knife6-chair3,dot,3027094.0,3621316.75,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,elephant4-chair3,dot,3027094.0,2670678.25,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,elephant5-chair3,dot,3027094.0,2836186.25,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-keyboard3,cat5-chair3,dot,2929781.5,2540030.0,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-keyboard3,car1-chair3,dot,2929781.5,2067503.75,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-keyboard3,car6-chair3,dot,2929781.5,2268611.5,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-keyboard3,dog8-chair3,dot,2929781.5,3530667.0,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-keyboard3,boat3-chair3,dot,2929781.5,3046910.0,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-keyboard3,boat1-chair3,dot,2929781.5,2996993.75,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-keyboard3,oven6-chair3,dot,2929781.5,2805824.0,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-keyboard3,truck9-chair3,dot,2929781.5,2377265.5,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-keyboard3,airplane5-chair3,dot,2929781.5,3289459.0,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-keyboard3,airplane6-chair3,dot,2929781.5,3669063.75,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-keyboard3,airplane3-chair3,dot,2929781.5,3767665.0,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-keyboard3,bottle3-chair3,dot,2929781.5,3421879.25,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-keyboard3,bottle2-chair3,dot,2929781.5,3521409.0,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-keyboard3,keyboard7-chair3,dot,2929781.5,2728307.5,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-keyboard3,clock6-chair3,dot,2929781.5,3113668.0,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-keyboard3,clock9-chair3,dot,2929781.5,2838276.0,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-keyboard3,clock5-chair3,dot,2929781.5,2466608.0,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-keyboard3,knife6-chair3,dot,2929781.5,3621316.75,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-keyboard3,elephant4-chair3,dot,2929781.5,2670678.25,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-keyboard3,elephant5-chair3,dot,2929781.5,2836186.25,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-oven1,cat5-chair3,dot,2982828.5,2540030.0,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-oven1,car1-chair3,dot,2982828.5,2067503.75,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-oven1,car6-chair3,dot,2982828.5,2268611.5,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-oven1,dog8-chair3,dot,2982828.5,3530667.0,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-oven1,boat3-chair3,dot,2982828.5,3046910.0,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-oven1,boat1-chair3,dot,2982828.5,2996993.75,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-oven1,oven6-chair3,dot,2982828.5,2805824.0,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-oven1,truck9-chair3,dot,2982828.5,2377265.5,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-oven1,airplane5-chair3,dot,2982828.5,3289459.0,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-oven1,airplane6-chair3,dot,2982828.5,3669063.75,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-oven1,airplane3-chair3,dot,2982828.5,3767665.0,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-oven1,bottle3-chair3,dot,2982828.5,3421879.25,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-oven1,bottle2-chair3,dot,2982828.5,3521409.0,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-oven1,keyboard7-chair3,dot,2982828.5,2728307.5,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-oven1,clock6-chair3,dot,2982828.5,3113668.0,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-oven1,clock9-chair3,dot,2982828.5,2838276.0,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-oven1,clock5-chair3,dot,2982828.5,2466608.0,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-oven1,knife6-chair3,dot,2982828.5,3621316.75,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-oven1,elephant4-chair3,dot,2982828.5,2670678.25,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-oven1,elephant5-chair3,dot,2982828.5,2836186.25,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-clock3,cat5-chair3,dot,3139326.75,2540030.0,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-clock3,car1-chair3,dot,3139326.75,2067503.75,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-clock3,car6-chair3,dot,3139326.75,2268611.5,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-clock3,dog8-chair3,dot,3139326.75,3530667.0,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-clock3,boat3-chair3,dot,3139326.75,3046910.0,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-clock3,boat1-chair3,dot,3139326.75,2996993.75,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-clock3,oven6-chair3,dot,3139326.75,2805824.0,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-clock3,truck9-chair3,dot,3139326.75,2377265.5,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-clock3,airplane5-chair3,dot,3139326.75,3289459.0,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-clock3,airplane6-chair3,dot,3139326.75,3669063.75,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-clock3,airplane3-chair3,dot,3139326.75,3767665.0,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-clock3,bottle3-chair3,dot,3139326.75,3421879.25,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-clock3,bottle2-chair3,dot,3139326.75,3521409.0,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-clock3,keyboard7-chair3,dot,3139326.75,2728307.5,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-clock3,clock6-chair3,dot,3139326.75,3113668.0,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-clock3,clock9-chair3,dot,3139326.75,2838276.0,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-clock3,clock5-chair3,dot,3139326.75,2466608.0,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-clock3,knife6-chair3,dot,3139326.75,3621316.75,0,1
resnet50_random,cat6-chair3,cat6,chair3,cat6-clock3,elephant4-chair3,dot,3139326.75,2670678.25,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-clock3,elephant5-chair3,dot,3139326.75,2836186.25,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,cat5-chair3,cos,0.9996764659881592,0.9988813996315002,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,car1-chair3,cos,0.9996764659881592,0.9987210631370544,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,car6-chair3,cos,0.9996764659881592,0.9990171194076538,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,dog8-chair3,cos,0.9996764659881592,0.9993672370910645,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,boat3-chair3,cos,0.9996764659881592,0.9993205666542053,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,boat1-chair3,cos,0.9996764659881592,0.9993725419044495,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,oven6-chair3,cos,0.9996764659881592,0.9989903569221497,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,truck9-chair3,cos,0.9996764659881592,0.9990110993385315,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,airplane5-chair3,cos,0.9996764659881592,0.999198317527771,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,airplane6-chair3,cos,0.9996764659881592,0.9987131357192993,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,airplane3-chair3,cos,0.9996764659881592,0.9984040856361389,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,bottle3-chair3,cos,0.9996764659881592,0.9991399049758911,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,bottle2-chair3,cos,0.9996764659881592,0.9990594983100891,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,keyboard7-chair3,cos,0.9996764659881592,0.9994124174118042,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,clock6-chair3,cos,0.9996764659881592,0.99952632188797,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,clock9-chair3,cos,0.9996764659881592,0.9992644190788269,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,clock5-chair3,cos,0.9996764659881592,0.9993070363998413,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,knife6-chair3,cos,0.9996764659881592,0.9987630248069763,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,elephant4-chair3,cos,0.9996764659881592,0.9988479018211365,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-bear1,elephant5-chair3,cos,0.9996764659881592,0.9982231259346008,1,0
resnet50_random,cat6-chair3,cat6,chair3,cat6-keyboard3,cat5-chair3,cos,0.9995545148849487,0.9988813996315002,1,0
