Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,cat5-bottle1,dot,2921614.0,3302624.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,cat10-bottle1,dot,2921614.0,3662046.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,car5-bottle1,dot,2921614.0,3672637.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,car6-bottle1,dot,2921614.0,3053749.25,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,car4-bottle1,dot,2921614.0,3793354.5,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,dog9-bottle1,dot,2921614.0,4113427.5,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,dog10-bottle1,dot,2921614.0,3984187.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,bear8-bottle1,dot,2921614.0,3579724.75,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,bear10-bottle1,dot,2921614.0,3860446.5,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,bear5-bottle1,dot,2921614.0,3616349.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,boat7-bottle1,dot,2921614.0,4054937.5,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,boat8-bottle1,dot,2921614.0,3824629.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,oven7-bottle1,dot,2921614.0,3224797.75,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,oven2-bottle1,dot,2921614.0,2913171.5,1,0
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,chair7-bottle1,dot,2921614.0,3713859.75,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,bird8-bottle1,dot,2921614.0,4021433.25,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,bird7-bottle1,dot,2921614.0,4106687.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,airplane4-bottle1,dot,2921614.0,4098949.25,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,airplane2-bottle1,dot,2921614.0,3954949.5,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,bicycle9-bottle1,dot,2921614.0,4701381.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,bicycle2-bottle1,dot,2921614.0,4481561.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,bicycle4-bottle1,dot,2921614.0,4442024.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,keyboard7-bottle1,dot,2921614.0,3622418.5,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,keyboard2-bottle1,dot,2921614.0,3627066.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,keyboard5-bottle1,dot,2921614.0,3513575.75,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,clock6-bottle1,dot,2921614.0,3727080.75,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,clock10-bottle1,dot,2921614.0,4074508.25,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-knife2,elephant1-bottle1,dot,2921614.0,3794350.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,cat5-bottle1,dot,3122195.75,3302624.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,cat10-bottle1,dot,3122195.75,3662046.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,car5-bottle1,dot,3122195.75,3672637.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,car6-bottle1,dot,3122195.75,3053749.25,1,0
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,car4-bottle1,dot,3122195.75,3793354.5,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,dog9-bottle1,dot,3122195.75,4113427.5,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,dog10-bottle1,dot,3122195.75,3984187.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,bear8-bottle1,dot,3122195.75,3579724.75,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,bear10-bottle1,dot,3122195.75,3860446.5,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,bear5-bottle1,dot,3122195.75,3616349.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,boat7-bottle1,dot,3122195.75,4054937.5,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,boat8-bottle1,dot,3122195.75,3824629.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,oven7-bottle1,dot,3122195.75,3224797.75,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,oven2-bottle1,dot,3122195.75,2913171.5,1,0
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,chair7-bottle1,dot,3122195.75,3713859.75,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,bird8-bottle1,dot,3122195.75,4021433.25,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,bird7-bottle1,dot,3122195.75,4106687.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,airplane4-bottle1,dot,3122195.75,4098949.25,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,airplane2-bottle1,dot,3122195.75,3954949.5,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,bicycle9-bottle1,dot,3122195.75,4701381.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,bicycle2-bottle1,dot,3122195.75,4481561.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,bicycle4-bottle1,dot,3122195.75,4442024.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,keyboard7-bottle1,dot,3122195.75,3622418.5,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,keyboard2-bottle1,dot,3122195.75,3627066.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,keyboard5-bottle1,dot,3122195.75,3513575.75,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,clock6-bottle1,dot,3122195.75,3727080.75,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,clock10-bottle1,dot,3122195.75,4074508.25,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-airplane2,elephant1-bottle1,dot,3122195.75,3794350.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-clock3,cat5-bottle1,dot,3028705.5,3302624.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-clock3,cat10-bottle1,dot,3028705.5,3662046.0,0,1
resnet50_random,cat7-bottle1,cat7,bottle1,cat7-clock3,car5-bottle1,dot,3028705.5,3672637.0,0,1
