Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,chair7-clock3,chair7,clock3,chair7-airplane1,cat7-clock3,dot,3113704.5,2858766.25,1,0
resnet50_random,chair7-clock3,chair7,clock3,chair7-airplane1,cat6-clock3,dot,3113704.5,3197084.5,0,1
resnet50_random,chair7-clock3,chair7,clock3,chair7-airplane1,bear4-clock3,dot,3113704.5,3517976.0,0,1
resnet50_random,chair7-clock3,chair7,clock3,chair7-airplane1,boat3-clock3,dot,3113704.5,3178378.5,0,1
resnet50_random,chair7-clock3,chair7,clock3,chair7-airplane1,boat7-clock3,dot,3113704.5,3664377.25,0,1
resnet50_random,chair7-clock3,chair7,clock3,chair7-airplane1,boat5-clock3,dot,3113704.5,3700041.0,0,1
resnet50_random,chair7-clock3,chair7,clock3,chair7-airplane1,oven3-clock3,dot,3113704.5,2821107.25,1,0
resnet50_random,chair7-clock3,chair7,clock3,chair7-airplane1,oven1-clock3,dot,3113704.5,2173192.25,1,0
resnet50_random,chair7-clock3,chair7,clock3,chair7-airplane1,chair8-clock3,dot,3113704.5,4079690.0,0,1
resnet50_random,chair7-clock3,chair7,clock3,chair7-airplane1,truck1-clock3,dot,3113704.5,2397168.5,1,0
resnet50_random,chair7-clock3,chair7,clock3,chair7-airplane1,truck3-clock3,dot,3113704.5,2811055.5,1,0
resnet50_random,chair7-clock3,chair7,clock3,chair7-airplane1,bird2-clock3,dot,3113704.5,3220197.0,0,1
resnet50_random,chair7-clock3,chair7,clock3,chair7-airplane1,bird1-clock3,dot,3113704.5,3448096.5,0,1
resnet50_random,chair7-clock3,chair7,clock3,chair7-airplane1,airplane7-clock3,dot,3113704.5,3635524.25,0,1
resnet50_random,chair7-clock3,chair7,clock3,chair7-airplane1,bicycle8-clock3,dot,3113704.5,4058897.25,0,1
resnet50_random,chair7-clock3,chair7,clock3,chair7-airplane1,bicycle7-clock3,dot,3113704.5,4134059.75,0,1
resnet50_random,chair7-clock3,chair7,clock3,chair7-airplane1,bicycle1-clock3,dot,3113704.5,4194590.0,0,1
resnet50_random,chair7-clock3,chair7,clock3,chair7-airplane1,bicycle4-clock3,dot,3113704.5,3987999.5,0,1
resnet50_random,chair7-clock3,chair7,clock3,chair7-airplane1,bottle5-clock3,dot,3113704.5,3742106.0,0,1
resnet50_random,chair7-clock3,chair7,clock3,chair7-airplane1,keyboard7-clock3,dot,3113704.5,2905849.25,1,0
resnet50_random,chair7-clock3,chair7,clock3,chair7-airplane1,keyboard3-clock3,dot,3113704.5,3658894.75,0,1
resnet50_random,chair7-clock3,chair7,clock3,chair7-airplane1,knife4-clock3,dot,3113704.5,3633592.25,0,1
resnet50_random,chair7-clock3,chair7,clock3,chair7-airplane1,elephant4-clock3,dot,3113704.5,2896843.75,1,0
resnet50_random,chair7-clock3,chair7,clock3,chair7-airplane1,elephant9-clock3,dot,3113704.5,2823428.25,1,0
resnet50_random,chair7-clock3,chair7,clock3,chair7-bottle1,cat7-clock3,dot,3503991.0,2858766.25,1,0
resnet50_random,chair7-clock3,chair7,clock3,chair7-bottle1,cat6-clock3,dot,3503991.0,3197084.5,1,0
resnet50_random,chair7-clock3,chair7,clock3,chair7-bottle1,bear4-clock3,dot,3503991.0,3517976.0,0,1
resnet50_random,chair7-clock3,chair7,clock3,chair7-bottle1,boat3-clock3,dot,3503991.0,3178378.5,1,0
resnet50_random,chair7-clock3,chair7,clock3,chair7-bottle1,boat7-clock3,dot,3503991.0,3664377.25,0,1
resnet50_random,chair7-clock3,chair7,clock3,chair7-bottle1,boat5-clock3,dot,3503991.0,3700041.0,0,1
resnet50_random,chair7-clock3,chair7,clock3,chair7-bottle1,oven3-clock3,dot,3503991.0,2821107.25,1,0
resnet50_random,chair7-clock3,chair7,clock3,chair7-bottle1,oven1-clock3,dot,3503991.0,2173192.25,1,0
resnet50_random,chair7-clock3,chair7,clock3,chair7-bottle1,chair8-clock3,dot,3503991.0,4079690.0,0,1
resnet50_random,chair7-clock3,chair7,clock3,chair7-bottle1,truck1-clock3,dot,3503991.0,2397168.5,1,0
resnet50_random,chair7-clock3,chair7,clock3,chair7-bottle1,truck3-clock3,dot,3503991.0,2811055.5,1,0
resnet50_random,chair7-clock3,chair7,clock3,chair7-bottle1,bird2-clock3,dot,3503991.0,3220197.0,1,0
resnet50_random,chair7-clock3,chair7,clock3,chair7-bottle1,bird1-clock3,dot,3503991.0,3448096.5,1,0
resnet50_random,chair7-clock3,chair7,clock3,chair7-bottle1,airplane7-clock3,dot,3503991.0,3635524.25,0,1
resnet50_random,chair7-clock3,chair7,clock3,chair7-bottle1,bicycle8-clock3,dot,3503991.0,4058897.25,0,1
resnet50_random,chair7-clock3,chair7,clock3,chair7-bottle1,bicycle7-clock3,dot,3503991.0,4134059.75,0,1
