Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,clock3-bear3,clock3,bear3,clock3-dog2,car5-bear3,dot,1492053.25,2337795.5,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-dog2,car4-bear3,dot,1492053.25,2510091.25,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-dog2,dog3-bear3,dot,1492053.25,2752622.0,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-dog2,dog8-bear3,dot,1492053.25,2805905.25,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-dog2,dog5-bear3,dot,1492053.25,2311099.5,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-dog2,dog9-bear3,dot,1492053.25,2842838.0,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-dog2,boat9-bear3,dot,1492053.25,2522661.5,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-dog2,boat2-bear3,dot,1492053.25,2661199.5,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-dog2,boat10-bear3,dot,1492053.25,2625428.25,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-dog2,oven2-bear3,dot,1492053.25,1699043.5,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-dog2,truck3-bear3,dot,1492053.25,2087951.625,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-dog2,bird3-bear3,dot,1492053.25,2601561.25,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-dog2,bird5-bear3,dot,1492053.25,2656359.0,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-dog2,bird9-bear3,dot,1492053.25,2830984.25,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-dog2,airplane10-bear3,dot,1492053.25,2808624.5,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-dog2,airplane4-bear3,dot,1492053.25,2842644.0,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-dog2,airplane6-bear3,dot,1492053.25,2854552.0,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-dog2,keyboard5-bear3,dot,1492053.25,2194463.5,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-dog2,knife10-bear3,dot,1492053.25,2647820.5,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-dog2,knife9-bear3,dot,1492053.25,2702048.0,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-dog2,elephant7-bear3,dot,1492053.25,2735659.0,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-dog2,elephant2-bear3,dot,1492053.25,2609266.0,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-car2,car5-bear3,dot,2005233.0,2337795.5,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-car2,car4-bear3,dot,2005233.0,2510091.25,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-car2,dog3-bear3,dot,2005233.0,2752622.0,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-car2,dog8-bear3,dot,2005233.0,2805905.25,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-car2,dog5-bear3,dot,2005233.0,2311099.5,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-car2,dog9-bear3,dot,2005233.0,2842838.0,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-car2,boat9-bear3,dot,2005233.0,2522661.5,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-car2,boat2-bear3,dot,2005233.0,2661199.5,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-car2,boat10-bear3,dot,2005233.0,2625428.25,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-car2,oven2-bear3,dot,2005233.0,1699043.5,1,0
resnet50_random,clock3-bear3,clock3,bear3,clock3-car2,truck3-bear3,dot,2005233.0,2087951.625,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-car2,bird3-bear3,dot,2005233.0,2601561.25,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-car2,bird5-bear3,dot,2005233.0,2656359.0,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-car2,bird9-bear3,dot,2005233.0,2830984.25,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-car2,airplane10-bear3,dot,2005233.0,2808624.5,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-car2,airplane4-bear3,dot,2005233.0,2842644.0,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-car2,airplane6-bear3,dot,2005233.0,2854552.0,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-car2,keyboard5-bear3,dot,2005233.0,2194463.5,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-car2,knife10-bear3,dot,2005233.0,2647820.5,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-car2,knife9-bear3,dot,2005233.0,2702048.0,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-car2,elephant7-bear3,dot,2005233.0,2735659.0,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-car2,elephant2-bear3,dot,2005233.0,2609266.0,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-cat1,car5-bear3,dot,1600451.375,2337795.5,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-cat1,car4-bear3,dot,1600451.375,2510091.25,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-cat1,dog3-bear3,dot,1600451.375,2752622.0,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-cat1,dog8-bear3,dot,1600451.375,2805905.25,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-cat1,dog5-bear3,dot,1600451.375,2311099.5,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-cat1,dog9-bear3,dot,1600451.375,2842838.0,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-cat1,boat9-bear3,dot,1600451.375,2522661.5,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-cat1,boat2-bear3,dot,1600451.375,2661199.5,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-cat1,boat10-bear3,dot,1600451.375,2625428.25,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-cat1,oven2-bear3,dot,1600451.375,1699043.5,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-cat1,truck3-bear3,dot,1600451.375,2087951.625,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-cat1,bird3-bear3,dot,1600451.375,2601561.25,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-cat1,bird5-bear3,dot,1600451.375,2656359.0,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-cat1,bird9-bear3,dot,1600451.375,2830984.25,0,1
resnet50_random,clock3-bear3,clock3,bear3,clock3-cat1,airplane10-bear3,dot,1600451.375,2808624.5,0,1
