Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,car5-cat1,dot,1321994.0,1894915.375,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,car9-cat1,dot,1321994.0,1939802.625,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,car8-cat1,dot,1321994.0,2026076.75,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,dog2-cat1,dot,1321994.0,1424135.25,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,dog9-cat1,dot,1321994.0,2433990.75,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,dog6-cat1,dot,1321994.0,1997706.625,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,bear3-cat1,dot,1321994.0,1761690.5,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,boat6-cat1,dot,1321994.0,2394257.5,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,boat10-cat1,dot,1321994.0,2197231.5,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,oven7-cat1,dot,1321994.0,1561960.5,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,oven1-cat1,dot,1321994.0,1244948.375,1,0
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,chair10-cat1,dot,1321994.0,2287745.0,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,chair7-cat1,dot,1321994.0,1952244.25,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,truck1-cat1,dot,1321994.0,1299550.0,1,0
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,truck3-cat1,dot,1321994.0,1688968.375,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,bird10-cat1,dot,1321994.0,2317747.25,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,bird3-cat1,dot,1321994.0,2236125.75,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,airplane3-cat1,dot,1321994.0,2560921.0,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,airplane2-cat1,dot,1321994.0,2285198.75,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,bicycle4-cat1,dot,1321994.0,2556659.0,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,bicycle5-cat1,dot,1321994.0,2577968.5,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,bicycle7-cat1,dot,1321994.0,2635174.5,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,bicycle6-cat1,dot,1321994.0,2588190.25,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,bottle5-cat1,dot,1321994.0,2399123.0,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,keyboard5-cat1,dot,1321994.0,1714736.75,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,keyboard3-cat1,dot,1321994.0,2389278.5,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,keyboard9-cat1,dot,1321994.0,1693131.5,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,clock9-cat1,dot,1321994.0,1852199.5,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,clock8-cat1,dot,1321994.0,1696940.0,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,clock10-cat1,dot,1321994.0,2352221.0,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,knife3-cat1,dot,1321994.0,2493283.5,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,elephant7-cat1,dot,1321994.0,2259990.5,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,elephant8-cat1,dot,1321994.0,2016780.625,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-dog2,elephant2-cat1,dot,1321994.0,2158274.25,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-car2,car5-cat1,dot,1775962.625,1894915.375,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-car2,car9-cat1,dot,1775962.625,1939802.625,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-car2,car8-cat1,dot,1775962.625,2026076.75,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-car2,dog2-cat1,dot,1775962.625,1424135.25,1,0
resnet50_random,clock3-cat1,clock3,cat1,clock3-car2,dog9-cat1,dot,1775962.625,2433990.75,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-car2,dog6-cat1,dot,1775962.625,1997706.625,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-car2,bear3-cat1,dot,1775962.625,1761690.5,1,0
resnet50_random,clock3-cat1,clock3,cat1,clock3-car2,boat6-cat1,dot,1775962.625,2394257.5,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-car2,boat10-cat1,dot,1775962.625,2197231.5,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-car2,oven7-cat1,dot,1775962.625,1561960.5,1,0
resnet50_random,clock3-cat1,clock3,cat1,clock3-car2,oven1-cat1,dot,1775962.625,1244948.375,1,0
resnet50_random,clock3-cat1,clock3,cat1,clock3-car2,chair10-cat1,dot,1775962.625,2287745.0,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-car2,chair7-cat1,dot,1775962.625,1952244.25,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-car2,truck1-cat1,dot,1775962.625,1299550.0,1,0
resnet50_random,clock3-cat1,clock3,cat1,clock3-car2,truck3-cat1,dot,1775962.625,1688968.375,1,0
resnet50_random,clock3-cat1,clock3,cat1,clock3-car2,bird10-cat1,dot,1775962.625,2317747.25,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-car2,bird3-cat1,dot,1775962.625,2236125.75,0,1
resnet50_random,clock3-cat1,clock3,cat1,clock3-car2,airplane3-cat1,dot,1775962.625,2560921.0,0,1
