Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,cat10-clock1,dot,3128610.0,3311336.75,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,car7-clock1,dot,3128610.0,3643296.0,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,car4-clock1,dot,3128610.0,3480204.5,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,dog3-clock1,dot,3128610.0,3835197.5,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,dog10-clock1,dot,3128610.0,3744203.5,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,dog4-clock1,dot,3128610.0,3799559.25,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,bear6-clock1,dot,3128610.0,3162455.0,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,bear10-clock1,dot,3128610.0,3567969.0,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,bear7-clock1,dot,3128610.0,2565817.0,1,0
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,boat9-clock1,dot,3128610.0,3541572.0,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,chair10-clock1,dot,3128610.0,3844427.0,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,truck2-clock1,dot,3128610.0,3161325.0,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,truck10-clock1,dot,3128610.0,2918417.0,1,0
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,bird8-clock1,dot,3128610.0,3850732.25,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,bird4-clock1,dot,3128610.0,3586829.0,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,bird10-clock1,dot,3128610.0,3850935.25,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,airplane3-clock1,dot,3128610.0,4146011.75,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,airplane1-clock1,dot,3128610.0,4089651.5,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,airplane9-clock1,dot,3128610.0,4117670.75,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,bottle1-clock1,dot,3128610.0,3814469.0,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,bottle7-clock1,dot,3128610.0,3794963.75,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,bottle2-clock1,dot,3128610.0,3886017.0,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,keyboard2-clock1,dot,3128610.0,3307052.5,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,keyboard1-clock1,dot,3128610.0,3487876.5,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,knife5-clock1,dot,3128610.0,3904650.5,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-cat1,elephant2-clock1,dot,3128610.0,3623429.75,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-bird1,cat10-clock1,dot,2805042.0,3311336.75,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-bird1,car7-clock1,dot,2805042.0,3643296.0,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-bird1,car4-clock1,dot,2805042.0,3480204.5,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-bird1,dog3-clock1,dot,2805042.0,3835197.5,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-bird1,dog10-clock1,dot,2805042.0,3744203.5,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-bird1,dog4-clock1,dot,2805042.0,3799559.25,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-bird1,bear6-clock1,dot,2805042.0,3162455.0,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-bird1,bear10-clock1,dot,2805042.0,3567969.0,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-bird1,bear7-clock1,dot,2805042.0,2565817.0,1,0
resnet50_random,dog6-clock1,dog6,clock1,dog6-bird1,boat9-clock1,dot,2805042.0,3541572.0,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-bird1,chair10-clock1,dot,2805042.0,3844427.0,0,1
resnet50_random,dog6-clock1,dog6,clock1,dog6-bird1,truck2-clock1,dot,2805042.0,3161325.0,0,1
