Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,dog7-bird3,dog7,bird3,dog7-oven2,cat9-bird3,dot,3657096.0,4132478.25,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-oven2,car2-bird3,dot,3657096.0,3398827.0,1,0
resnet50_random,dog7-bird3,dog7,bird3,dog7-oven2,car7-bird3,dot,3657096.0,3957599.0,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-oven2,bear2-bird3,dot,3657096.0,3710621.25,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-oven2,bear3-bird3,dot,3657096.0,3464211.5,1,0
resnet50_random,dog7-bird3,dog7,bird3,dog7-oven2,boat1-bird3,dot,3657096.0,3643975.0,1,0
resnet50_random,dog7-bird3,dog7,bird3,dog7-oven2,oven1-bird3,dot,3657096.0,2620368.0,1,0
resnet50_random,dog7-bird3,dog7,bird3,dog7-oven2,oven9-bird3,dot,3657096.0,3115134.5,1,0
resnet50_random,dog7-bird3,dog7,bird3,dog7-oven2,chair9-bird3,dot,3657096.0,4251636.0,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-oven2,chair10-bird3,dot,3657096.0,4176556.5,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-oven2,airplane4-bird3,dot,3657096.0,4369211.5,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-oven2,airplane2-bird3,dot,3657096.0,4077972.0,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-oven2,airplane7-bird3,dot,3657096.0,4233236.0,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-oven2,bicycle9-bird3,dot,3657096.0,4841522.0,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-oven2,bicycle2-bird3,dot,3657096.0,4577985.5,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-oven2,bottle5-bird3,dot,3657096.0,4317533.0,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-oven2,bottle1-bird3,dot,3657096.0,4113711.0,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-oven2,keyboard5-bird3,dot,3657096.0,3189134.0,1,0
resnet50_random,dog7-bird3,dog7,bird3,dog7-oven2,keyboard3-bird3,dot,3657096.0,4223413.0,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-oven2,clock6-bird3,dot,3657096.0,3867161.0,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-oven2,clock10-bird3,dot,3657096.0,4205141.0,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-oven2,clock4-bird3,dot,3657096.0,3023728.0,1,0
resnet50_random,dog7-bird3,dog7,bird3,dog7-oven2,knife7-bird3,dot,3657096.0,4219178.5,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-chair2,cat9-bird3,dot,3711209.0,4132478.25,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-chair2,car2-bird3,dot,3711209.0,3398827.0,1,0
resnet50_random,dog7-bird3,dog7,bird3,dog7-chair2,car7-bird3,dot,3711209.0,3957599.0,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-chair2,bear2-bird3,dot,3711209.0,3710621.25,1,0
resnet50_random,dog7-bird3,dog7,bird3,dog7-chair2,bear3-bird3,dot,3711209.0,3464211.5,1,0
resnet50_random,dog7-bird3,dog7,bird3,dog7-chair2,boat1-bird3,dot,3711209.0,3643975.0,1,0
resnet50_random,dog7-bird3,dog7,bird3,dog7-chair2,oven1-bird3,dot,3711209.0,2620368.0,1,0
resnet50_random,dog7-bird3,dog7,bird3,dog7-chair2,oven9-bird3,dot,3711209.0,3115134.5,1,0
resnet50_random,dog7-bird3,dog7,bird3,dog7-chair2,chair9-bird3,dot,3711209.0,4251636.0,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-chair2,chair10-bird3,dot,3711209.0,4176556.5,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-chair2,airplane4-bird3,dot,3711209.0,4369211.5,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-chair2,airplane2-bird3,dot,3711209.0,4077972.0,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-chair2,airplane7-bird3,dot,3711209.0,4233236.0,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-chair2,bicycle9-bird3,dot,3711209.0,4841522.0,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-chair2,bicycle2-bird3,dot,3711209.0,4577985.5,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-chair2,bottle5-bird3,dot,3711209.0,4317533.0,0,1
resnet50_random,dog7-bird3,dog7,bird3,dog7-chair2,bottle1-bird3,dot,3711209.0,4113711.0,0,1
