Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,dog7-chair2,dog7,chair2,dog7-oven2,cat1-chair2,dot,3489573.0,3371423.75,1,0
resnet50_random,dog7-chair2,dog7,chair2,dog7-oven2,cat4-chair2,dot,3489573.0,3872003.0,0,1
resnet50_random,dog7-chair2,dog7,chair2,dog7-oven2,cat9-chair2,dot,3489573.0,3807508.25,0,1
resnet50_random,dog7-chair2,dog7,chair2,dog7-oven2,dog9-chair2,dot,3489573.0,4014265.25,0,1
resnet50_random,dog7-chair2,dog7,chair2,dog7-oven2,bear3-chair2,dot,3489573.0,3098774.25,1,0
resnet50_random,dog7-chair2,dog7,chair2,dog7-oven2,bear1-chair2,dot,3489573.0,2946051.0,1,0
resnet50_random,dog7-chair2,dog7,chair2,dog7-oven2,bear10-chair2,dot,3489573.0,3583458.0,0,1
resnet50_random,dog7-chair2,dog7,chair2,dog7-oven2,boat4-chair2,dot,3489573.0,3580239.5,0,1
resnet50_random,dog7-chair2,dog7,chair2,dog7-oven2,boat9-chair2,dot,3489573.0,3553453.5,0,1
resnet50_random,dog7-chair2,dog7,chair2,dog7-oven2,truck7-chair2,dot,3489573.0,2537431.0,1,0
resnet50_random,dog7-chair2,dog7,chair2,dog7-oven2,truck1-chair2,dot,3489573.0,2305975.5,1,0
resnet50_random,dog7-chair2,dog7,chair2,dog7-oven2,truck3-chair2,dot,3489573.0,2944222.5,1,0
resnet50_random,dog7-chair2,dog7,chair2,dog7-oven2,bird1-chair2,dot,3489573.0,3652807.5,0,1
resnet50_random,dog7-chair2,dog7,chair2,dog7-oven2,airplane1-chair2,dot,3489573.0,4036422.0,0,1
resnet50_random,dog7-chair2,dog7,chair2,dog7-oven2,bicycle8-chair2,dot,3489573.0,4296381.0,0,1
resnet50_random,dog7-chair2,dog7,chair2,dog7-oven2,bicycle5-chair2,dot,3489573.0,4276817.0,0,1
resnet50_random,dog7-chair2,dog7,chair2,dog7-oven2,bicycle4-chair2,dot,3489573.0,4254124.0,0,1
resnet50_random,dog7-chair2,dog7,chair2,dog7-oven2,bottle1-chair2,dot,3489573.0,3797120.5,0,1
resnet50_random,dog7-chair2,dog7,chair2,dog7-oven2,bottle6-chair2,dot,3489573.0,3887748.0,0,1
resnet50_random,dog7-chair2,dog7,chair2,dog7-oven2,keyboard8-chair2,dot,3489573.0,3106835.5,1,0
resnet50_random,dog7-chair2,dog7,chair2,dog7-oven2,keyboard1-chair2,dot,3489573.0,3544763.5,0,1
resnet50_random,dog7-chair2,dog7,chair2,dog7-oven2,keyboard9-chair2,dot,3489573.0,3016357.25,1,0
resnet50_random,dog7-chair2,dog7,chair2,dog7-oven2,clock8-chair2,dot,3489573.0,2965709.5,1,0
resnet50_random,dog7-chair2,dog7,chair2,dog7-oven2,knife7-chair2,dot,3489573.0,3881162.75,0,1
resnet50_random,dog7-chair2,dog7,chair2,dog7-oven2,elephant9-chair2,dot,3489573.0,3023054.5,1,0
resnet50_random,dog7-chair2,dog7,chair2,dog7-bird3,cat1-chair2,dot,3711209.0,3371423.75,1,0
resnet50_random,dog7-chair2,dog7,chair2,dog7-bird3,cat4-chair2,dot,3711209.0,3872003.0,0,1
resnet50_random,dog7-chair2,dog7,chair2,dog7-bird3,cat9-chair2,dot,3711209.0,3807508.25,0,1
resnet50_random,dog7-chair2,dog7,chair2,dog7-bird3,dog9-chair2,dot,3711209.0,4014265.25,0,1
resnet50_random,dog7-chair2,dog7,chair2,dog7-bird3,bear3-chair2,dot,3711209.0,3098774.25,1,0
resnet50_random,dog7-chair2,dog7,chair2,dog7-bird3,bear1-chair2,dot,3711209.0,2946051.0,1,0
resnet50_random,dog7-chair2,dog7,chair2,dog7-bird3,bear10-chair2,dot,3711209.0,3583458.0,1,0
resnet50_random,dog7-chair2,dog7,chair2,dog7-bird3,boat4-chair2,dot,3711209.0,3580239.5,1,0
resnet50_random,dog7-chair2,dog7,chair2,dog7-bird3,boat9-chair2,dot,3711209.0,3553453.5,1,0
resnet50_random,dog7-chair2,dog7,chair2,dog7-bird3,truck7-chair2,dot,3711209.0,2537431.0,1,0
resnet50_random,dog7-chair2,dog7,chair2,dog7-bird3,truck1-chair2,dot,3711209.0,2305975.5,1,0
resnet50_random,dog7-chair2,dog7,chair2,dog7-bird3,truck3-chair2,dot,3711209.0,2944222.5,1,0
resnet50_random,dog7-chair2,dog7,chair2,dog7-bird3,bird1-chair2,dot,3711209.0,3652807.5,1,0
resnet50_random,dog7-chair2,dog7,chair2,dog7-bird3,airplane1-chair2,dot,3711209.0,4036422.0,0,1
resnet50_random,dog7-chair2,dog7,chair2,dog7-bird3,bicycle8-chair2,dot,3711209.0,4296381.0,0,1
resnet50_random,dog7-chair2,dog7,chair2,dog7-bird3,bicycle5-chair2,dot,3711209.0,4276817.0,0,1
resnet50_random,dog7-chair2,dog7,chair2,dog7-bird3,bicycle4-chair2,dot,3711209.0,4254124.0,0,1
resnet50_random,dog7-chair2,dog7,chair2,dog7-bird3,bottle1-chair2,dot,3711209.0,3797120.5,0,1
resnet50_random,dog7-chair2,dog7,chair2,dog7-bird3,bottle6-chair2,dot,3711209.0,3887748.0,0,1
resnet50_random,dog7-chair2,dog7,chair2,dog7-bird3,keyboard8-chair2,dot,3711209.0,3106835.5,1,0
resnet50_random,dog7-chair2,dog7,chair2,dog7-bird3,keyboard1-chair2,dot,3711209.0,3544763.5,1,0
resnet50_random,dog7-chair2,dog7,chair2,dog7-bird3,keyboard9-chair2,dot,3711209.0,3016357.25,1,0
resnet50_random,dog7-chair2,dog7,chair2,dog7-bird3,clock8-chair2,dot,3711209.0,2965709.5,1,0
resnet50_random,dog7-chair2,dog7,chair2,dog7-bird3,knife7-chair2,dot,3711209.0,3881162.75,0,1
resnet50_random,dog7-chair2,dog7,chair2,dog7-bird3,elephant9-chair2,dot,3711209.0,3023054.5,1,0
resnet50_random,dog7-chair2,dog7,chair2,dog7-knife3,cat1-chair2,dot,3540667.5,3371423.75,1,0
