Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,elephant1-chair1,elephant1,chair1,elephant10-knife3,car8-chair1,dot,2579472.5,3476649.0,0,1
resnet50_random,elephant1-chair1,elephant1,chair1,elephant10-knife3,car10-chair1,dot,2579472.5,3622040.25,0,1
resnet50_random,elephant1-chair1,elephant1,chair1,elephant10-knife3,car2-chair1,dot,2579472.5,3072618.0,0,1
resnet50_random,elephant1-chair1,elephant1,chair1,elephant10-knife3,dog4-chair1,dot,2579472.5,3758105.0,0,1
resnet50_random,elephant1-chair1,elephant1,chair1,elephant10-knife3,dog1-chair1,dot,2579472.5,2879471.5,0,1
resnet50_random,elephant1-chair1,elephant1,chair1,elephant10-knife3,bear6-chair1,dot,2579472.5,2949580.75,0,1
resnet50_random,elephant1-chair1,elephant1,chair1,elephant10-knife3,bear5-chair1,dot,2579472.5,3139502.25,0,1
resnet50_random,elephant1-chair1,elephant1,chair1,elephant10-knife3,boat7-chair1,dot,2579472.5,3760202.25,0,1
resnet50_random,elephant1-chair1,elephant1,chair1,elephant10-knife3,oven9-chair1,dot,2579472.5,2849485.0,0,1
resnet50_random,elephant1-chair1,elephant1,chair1,elephant10-knife3,oven4-chair1,dot,2579472.5,2810032.0,0,1
resnet50_random,elephant1-chair1,elephant1,chair1,elephant10-knife3,oven2-chair1,dot,2579472.5,2483884.5,1,0
resnet50_random,elephant1-chair1,elephant1,chair1,elephant10-knife3,oven8-chair1,dot,2579472.5,2727963.75,0,1
resnet50_random,elephant1-chair1,elephant1,chair1,elephant10-knife3,truck2-chair1,dot,2579472.5,3034792.0,0,1
resnet50_random,elephant1-chair1,elephant1,chair1,elephant10-knife3,bird8-chair1,dot,2579472.5,3783925.25,0,1
resnet50_random,elephant1-chair1,elephant1,chair1,elephant10-knife3,bird5-chair1,dot,2579472.5,3673559.25,0,1
