Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,cat2-car3,dot,4123545.25,3826162.0,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,dog10-car3,dot,4123545.25,4296595.0,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,dog5-car3,dot,4123545.25,3810684.0,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,bear4-car3,dot,4123545.25,4292060.0,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,boat3-car3,dot,4123545.25,4023092.0,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,boat4-car3,dot,4123545.25,4125642.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,boat5-car3,dot,4123545.25,4499236.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,oven7-car3,dot,4123545.25,3374267.5,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,chair3-car3,dot,4123545.25,4291912.0,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,truck10-car3,dot,4123545.25,3439868.75,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,truck1-car3,dot,4123545.25,3283359.5,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,truck3-car3,dot,4123545.25,3583258.5,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,truck2-car3,dot,4123545.25,3766785.5,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,bird6-car3,dot,4123545.25,4378704.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,bird2-car3,dot,4123545.25,3992846.75,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,airplane10-car3,dot,4123545.25,4508914.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,bicycle5-car3,dot,4123545.25,4851007.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,bottle9-car3,dot,4123545.25,4337387.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,bottle4-car3,dot,4123545.25,4453097.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,keyboard1-car3,dot,4123545.25,4064695.75,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,keyboard7-car3,dot,4123545.25,3695555.0,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,knife1-car3,dot,4123545.25,4588948.0,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,knife2-car3,dot,4123545.25,4417349.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,elephant6-car3,dot,4123545.25,3534366.5,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,elephant1-car3,dot,4123545.25,3974898.25,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-dog1,elephant4-car3,dot,4123545.25,3641120.5,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,cat2-car3,dot,3956379.0,3826162.0,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,dog10-car3,dot,3956379.0,4296595.0,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,dog5-car3,dot,3956379.0,3810684.0,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,bear4-car3,dot,3956379.0,4292060.0,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,boat3-car3,dot,3956379.0,4023092.0,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,boat4-car3,dot,3956379.0,4125642.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,boat5-car3,dot,3956379.0,4499236.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,oven7-car3,dot,3956379.0,3374267.5,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,chair3-car3,dot,3956379.0,4291912.0,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,truck10-car3,dot,3956379.0,3439868.75,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,truck1-car3,dot,3956379.0,3283359.5,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,truck3-car3,dot,3956379.0,3583258.5,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,truck2-car3,dot,3956379.0,3766785.5,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,bird6-car3,dot,3956379.0,4378704.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,bird2-car3,dot,3956379.0,3992846.75,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,airplane10-car3,dot,3956379.0,4508914.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,bicycle5-car3,dot,3956379.0,4851007.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,bottle9-car3,dot,3956379.0,4337387.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,bottle4-car3,dot,3956379.0,4453097.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,keyboard1-car3,dot,3956379.0,4064695.75,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,keyboard7-car3,dot,3956379.0,3695555.0,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,knife1-car3,dot,3956379.0,4588948.0,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,knife2-car3,dot,3956379.0,4417349.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,elephant6-car3,dot,3956379.0,3534366.5,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,elephant1-car3,dot,3956379.0,3974898.25,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-cat1,elephant4-car3,dot,3956379.0,3641120.5,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,cat2-car3,dot,4225830.5,3826162.0,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,dog10-car3,dot,4225830.5,4296595.0,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,dog5-car3,dot,4225830.5,3810684.0,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,bear4-car3,dot,4225830.5,4292060.0,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,boat3-car3,dot,4225830.5,4023092.0,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,boat4-car3,dot,4225830.5,4125642.5,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,boat5-car3,dot,4225830.5,4499236.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,oven7-car3,dot,4225830.5,3374267.5,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,chair3-car3,dot,4225830.5,4291912.0,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,truck10-car3,dot,4225830.5,3439868.75,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,truck1-car3,dot,4225830.5,3283359.5,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,truck3-car3,dot,4225830.5,3583258.5,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,truck2-car3,dot,4225830.5,3766785.5,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,bird6-car3,dot,4225830.5,4378704.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,bird2-car3,dot,4225830.5,3992846.75,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,airplane10-car3,dot,4225830.5,4508914.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,bicycle5-car3,dot,4225830.5,4851007.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,bottle9-car3,dot,4225830.5,4337387.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,bottle4-car3,dot,4225830.5,4453097.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,keyboard1-car3,dot,4225830.5,4064695.75,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,keyboard7-car3,dot,4225830.5,3695555.0,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,knife1-car3,dot,4225830.5,4588948.0,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,knife2-car3,dot,4225830.5,4417349.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,elephant6-car3,dot,4225830.5,3534366.5,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,elephant1-car3,dot,4225830.5,3974898.25,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-airplane3,elephant4-car3,dot,4225830.5,3641120.5,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,cat2-car3,dot,3693309.5,3826162.0,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,dog10-car3,dot,3693309.5,4296595.0,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,dog5-car3,dot,3693309.5,3810684.0,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,bear4-car3,dot,3693309.5,4292060.0,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,boat3-car3,dot,3693309.5,4023092.0,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,boat4-car3,dot,3693309.5,4125642.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,boat5-car3,dot,3693309.5,4499236.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,oven7-car3,dot,3693309.5,3374267.5,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,chair3-car3,dot,3693309.5,4291912.0,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,truck10-car3,dot,3693309.5,3439868.75,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,truck1-car3,dot,3693309.5,3283359.5,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,truck3-car3,dot,3693309.5,3583258.5,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,truck2-car3,dot,3693309.5,3766785.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,bird6-car3,dot,3693309.5,4378704.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,bird2-car3,dot,3693309.5,3992846.75,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,airplane10-car3,dot,3693309.5,4508914.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,bicycle5-car3,dot,3693309.5,4851007.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,bottle9-car3,dot,3693309.5,4337387.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,bottle4-car3,dot,3693309.5,4453097.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,keyboard1-car3,dot,3693309.5,4064695.75,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,keyboard7-car3,dot,3693309.5,3695555.0,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,knife1-car3,dot,3693309.5,4588948.0,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,knife2-car3,dot,3693309.5,4417349.5,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,elephant6-car3,dot,3693309.5,3534366.5,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,elephant1-car3,dot,3693309.5,3974898.25,0,1
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bird1,elephant4-car3,dot,3693309.5,3641120.5,1,0
resnet50_random,elephant7-car3,elephant7,car3,elephant7-bear3,cat2-car3,dot,4241480.0,3826162.0,1,0
