Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-airplane3,cat9-truck1,dot,3284633.0,4152358.25,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-airplane3,car3-truck1,dot,3284633.0,3998087.5,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-airplane3,bear10-truck1,dot,3284633.0,4024251.0,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-airplane3,bear7-truck1,dot,3284633.0,3205822.5,1,0
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-airplane3,boat10-truck1,dot,3284633.0,4054497.0,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-airplane3,oven3-truck1,dot,3284633.0,3723620.5,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-airplane3,oven6-truck1,dot,3284633.0,3850878.5,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-airplane3,bird1-truck1,dot,3284633.0,3945823.25,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-airplane3,airplane9-truck1,dot,3284633.0,4426952.0,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-airplane3,airplane10-truck1,dot,3284633.0,4243798.0,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-airplane3,airplane7-truck1,dot,3284633.0,4181061.25,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-airplane3,bicycle1-truck1,dot,3284633.0,4690870.5,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-airplane3,bicycle8-truck1,dot,3284633.0,4579283.0,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-airplane3,bottle5-truck1,dot,3284633.0,4284074.5,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-airplane3,bottle4-truck1,dot,3284633.0,4182721.75,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-airplane3,bottle9-truck1,dot,3284633.0,4089620.75,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-airplane3,knife6-truck1,dot,3284633.0,4188506.5,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-airplane3,elephant5-truck1,dot,3284633.0,3713771.25,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-airplane3,elephant3-truck1,dot,3284633.0,3956228.5,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-boat2,cat9-truck1,dot,3587199.0,4152358.25,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-boat2,car3-truck1,dot,3587199.0,3998087.5,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-boat2,bear10-truck1,dot,3587199.0,4024251.0,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-boat2,bear7-truck1,dot,3587199.0,3205822.5,1,0
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-boat2,boat10-truck1,dot,3587199.0,4054497.0,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-boat2,oven3-truck1,dot,3587199.0,3723620.5,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-boat2,oven6-truck1,dot,3587199.0,3850878.5,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-boat2,bird1-truck1,dot,3587199.0,3945823.25,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-boat2,airplane9-truck1,dot,3587199.0,4426952.0,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-boat2,airplane10-truck1,dot,3587199.0,4243798.0,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-boat2,airplane7-truck1,dot,3587199.0,4181061.25,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-boat2,bicycle1-truck1,dot,3587199.0,4690870.5,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-boat2,bicycle8-truck1,dot,3587199.0,4579283.0,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-boat2,bottle5-truck1,dot,3587199.0,4284074.5,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-boat2,bottle4-truck1,dot,3587199.0,4182721.75,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-boat2,bottle9-truck1,dot,3587199.0,4089620.75,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-boat2,knife6-truck1,dot,3587199.0,4188506.5,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-boat2,elephant5-truck1,dot,3587199.0,3713771.25,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-boat2,elephant3-truck1,dot,3587199.0,3956228.5,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-car1,cat9-truck1,dot,3617993.25,4152358.25,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-car1,car3-truck1,dot,3617993.25,3998087.5,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-car1,bear10-truck1,dot,3617993.25,4024251.0,0,1
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-car1,bear7-truck1,dot,3617993.25,3205822.5,1,0
resnet50_random,keyboard10-truck1,keyboard10,truck1,keyboard10-car1,boat10-truck1,dot,3617993.25,4054497.0,0,1
