Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,cat5-bear2,dot,3997495.0,2947516.0,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,cat3-bear2,dot,3997495.0,3161573.0,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,oven6-bear2,dot,3997495.0,3077010.0,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,oven3-bear2,dot,3997495.0,2841697.25,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,oven9-bear2,dot,3997495.0,2469171.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,chair2-bear2,dot,3997495.0,4120137.0,0,1
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,chair4-bear2,dot,3997495.0,4314607.0,0,1
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,truck7-bear2,dot,3997495.0,2612124.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,truck6-bear2,dot,3997495.0,3678394.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,bird10-bear2,dot,3997495.0,3951733.0,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,airplane5-bear2,dot,3997495.0,3700735.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,bicycle8-bear2,dot,3997495.0,4348116.5,0,1
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,bicycle7-bear2,dot,3997495.0,4441272.0,0,1
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,bottle3-bear2,dot,3997495.0,4013751.5,0,1
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,bottle10-bear2,dot,3997495.0,3758767.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,bottle6-bear2,dot,3997495.0,4103822.25,0,1
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,keyboard6-bear2,dot,3997495.0,3828030.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,keyboard1-bear2,dot,3997495.0,3476633.75,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,keyboard7-bear2,dot,3997495.0,2950475.0,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,keyboard9-bear2,dot,3997495.0,2828988.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,clock7-bear2,dot,3997495.0,2383780.75,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,clock2-bear2,dot,3997495.0,2748307.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,clock8-bear2,dot,3997495.0,2838646.25,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,knife3-bear2,dot,3997495.0,4338234.0,0,1
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,elephant1-bear2,dot,3997495.0,3262996.0,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-cat3,elephant5-bear2,dot,3997495.0,3261034.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,cat5-bear2,dot,3773600.0,2947516.0,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,cat3-bear2,dot,3773600.0,3161573.0,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,oven6-bear2,dot,3773600.0,3077010.0,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,oven3-bear2,dot,3773600.0,2841697.25,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,oven9-bear2,dot,3773600.0,2469171.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,chair2-bear2,dot,3773600.0,4120137.0,0,1
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,chair4-bear2,dot,3773600.0,4314607.0,0,1
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,truck7-bear2,dot,3773600.0,2612124.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,truck6-bear2,dot,3773600.0,3678394.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,bird10-bear2,dot,3773600.0,3951733.0,0,1
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,airplane5-bear2,dot,3773600.0,3700735.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,bicycle8-bear2,dot,3773600.0,4348116.5,0,1
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,bicycle7-bear2,dot,3773600.0,4441272.0,0,1
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,bottle3-bear2,dot,3773600.0,4013751.5,0,1
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,bottle10-bear2,dot,3773600.0,3758767.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,bottle6-bear2,dot,3773600.0,4103822.25,0,1
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,keyboard6-bear2,dot,3773600.0,3828030.5,0,1
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,keyboard1-bear2,dot,3773600.0,3476633.75,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,keyboard7-bear2,dot,3773600.0,2950475.0,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,keyboard9-bear2,dot,3773600.0,2828988.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,clock7-bear2,dot,3773600.0,2383780.75,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,clock2-bear2,dot,3773600.0,2748307.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,clock8-bear2,dot,3773600.0,2838646.25,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,knife3-bear2,dot,3773600.0,4338234.0,0,1
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,elephant1-bear2,dot,3773600.0,3262996.0,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-bird1,elephant5-bear2,dot,3773600.0,3261034.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,cat5-bear2,dot,4297487.0,2947516.0,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,cat3-bear2,dot,4297487.0,3161573.0,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,oven6-bear2,dot,4297487.0,3077010.0,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,oven3-bear2,dot,4297487.0,2841697.25,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,oven9-bear2,dot,4297487.0,2469171.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,chair2-bear2,dot,4297487.0,4120137.0,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,chair4-bear2,dot,4297487.0,4314607.0,0,1
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,truck7-bear2,dot,4297487.0,2612124.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,truck6-bear2,dot,4297487.0,3678394.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,bird10-bear2,dot,4297487.0,3951733.0,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,airplane5-bear2,dot,4297487.0,3700735.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,bicycle8-bear2,dot,4297487.0,4348116.5,0,1
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,bicycle7-bear2,dot,4297487.0,4441272.0,0,1
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,bottle3-bear2,dot,4297487.0,4013751.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,bottle10-bear2,dot,4297487.0,3758767.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,bottle6-bear2,dot,4297487.0,4103822.25,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,keyboard6-bear2,dot,4297487.0,3828030.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,keyboard1-bear2,dot,4297487.0,3476633.75,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,keyboard7-bear2,dot,4297487.0,2950475.0,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,keyboard9-bear2,dot,4297487.0,2828988.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,clock7-bear2,dot,4297487.0,2383780.75,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,clock2-bear2,dot,4297487.0,2748307.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,clock8-bear2,dot,4297487.0,2838646.25,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,knife3-bear2,dot,4297487.0,4338234.0,0,1
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,elephant1-bear2,dot,4297487.0,3262996.0,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-car3,elephant5-bear2,dot,4297487.0,3261034.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-truck2,cat5-bear2,dot,4119824.75,2947516.0,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-truck2,cat3-bear2,dot,4119824.75,3161573.0,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-truck2,oven6-bear2,dot,4119824.75,3077010.0,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-truck2,oven3-bear2,dot,4119824.75,2841697.25,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-truck2,oven9-bear2,dot,4119824.75,2469171.5,1,0
resnet50_random,knife2-bear2,knife2,bear2,knife2-truck2,chair2-bear2,dot,4119824.75,4120137.0,0,1
resnet50_random,knife2-bear2,knife2,bear2,knife2-truck2,chair4-bear2,dot,4119824.75,4314607.0,0,1
