Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,knife2-cat3,knife2,cat3,knife2-bear2,car4-cat3,dot,3997495.0,3407514.5,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bear2,car2-cat3,dot,3997495.0,2981585.5,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bear2,dog4-cat3,dot,3997495.0,3752241.5,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bear2,dog1-cat3,dot,3997495.0,2862356.0,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bear2,bear4-cat3,dot,3997495.0,3736309.5,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bear2,bear6-cat3,dot,3997495.0,2984868.5,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bear2,boat3-cat3,dot,3997495.0,3289942.0,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bear2,boat9-cat3,dot,3997495.0,3454277.5,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bear2,boat7-cat3,dot,3997495.0,3898532.25,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bear2,oven8-cat3,dot,3997495.0,2395143.0,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bear2,chair5-cat3,dot,3997495.0,3741442.5,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bear2,chair1-cat3,dot,3997495.0,3706234.5,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bear2,truck5-cat3,dot,3997495.0,3017628.5,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bear2,bird7-cat3,dot,3997495.0,4068906.0,0,1
resnet50_random,knife2-cat3,knife2,cat3,knife2-bear2,bird4-cat3,dot,3997495.0,3533633.5,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bear2,airplane7-cat3,dot,3997495.0,3891440.75,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bear2,airplane4-cat3,dot,3997495.0,4065564.75,0,1
resnet50_random,knife2-cat3,knife2,cat3,knife2-bear2,bicycle9-cat3,dot,3997495.0,4464185.0,0,1
resnet50_random,knife2-cat3,knife2,cat3,knife2-bear2,bottle1-cat3,dot,3997495.0,3815501.0,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bear2,bottle3-cat3,dot,3997495.0,3890548.5,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bear2,keyboard8-cat3,dot,3997495.0,2863375.25,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bird1,car4-cat3,dot,3686081.0,3407514.5,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bird1,car2-cat3,dot,3686081.0,2981585.5,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bird1,dog4-cat3,dot,3686081.0,3752241.5,0,1
resnet50_random,knife2-cat3,knife2,cat3,knife2-bird1,dog1-cat3,dot,3686081.0,2862356.0,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bird1,bear4-cat3,dot,3686081.0,3736309.5,0,1
resnet50_random,knife2-cat3,knife2,cat3,knife2-bird1,bear6-cat3,dot,3686081.0,2984868.5,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bird1,boat3-cat3,dot,3686081.0,3289942.0,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bird1,boat9-cat3,dot,3686081.0,3454277.5,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bird1,boat7-cat3,dot,3686081.0,3898532.25,0,1
resnet50_random,knife2-cat3,knife2,cat3,knife2-bird1,oven8-cat3,dot,3686081.0,2395143.0,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bird1,chair5-cat3,dot,3686081.0,3741442.5,0,1
resnet50_random,knife2-cat3,knife2,cat3,knife2-bird1,chair1-cat3,dot,3686081.0,3706234.5,0,1
resnet50_random,knife2-cat3,knife2,cat3,knife2-bird1,truck5-cat3,dot,3686081.0,3017628.5,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bird1,bird7-cat3,dot,3686081.0,4068906.0,0,1
resnet50_random,knife2-cat3,knife2,cat3,knife2-bird1,bird4-cat3,dot,3686081.0,3533633.5,1,0
resnet50_random,knife2-cat3,knife2,cat3,knife2-bird1,airplane7-cat3,dot,3686081.0,3891440.75,0,1
resnet50_random,knife2-cat3,knife2,cat3,knife2-bird1,airplane4-cat3,dot,3686081.0,4065564.75,0,1
resnet50_random,knife2-cat3,knife2,cat3,knife2-bird1,bicycle9-cat3,dot,3686081.0,4464185.0,0,1
resnet50_random,knife2-cat3,knife2,cat3,knife2-bird1,bottle1-cat3,dot,3686081.0,3815501.0,0,1
