Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,knife6-dog2,knife6,dog2,knife6-bird1,cat9-dog2,dot,4094888.75,3897895.0,1,0
resnet50_random,knife6-dog2,knife6,dog2,knife6-bird1,car3-dog2,dot,4094888.75,3486078.25,1,0
resnet50_random,knife6-dog2,knife6,dog2,knife6-bird1,car1-dog2,dot,4094888.75,1925316.25,1,0
resnet50_random,knife6-dog2,knife6,dog2,knife6-bird1,boat9-dog2,dot,4094888.75,3496164.5,1,0
resnet50_random,knife6-dog2,knife6,dog2,knife6-bird1,boat4-dog2,dot,4094888.75,3706950.0,1,0
resnet50_random,knife6-dog2,knife6,dog2,knife6-bird1,oven7-dog2,dot,4094888.75,2542307.5,1,0
resnet50_random,knife6-dog2,knife6,dog2,knife6-bird1,chair9-dog2,dot,4094888.75,3928072.0,1,0
resnet50_random,knife6-dog2,knife6,dog2,knife6-bird1,chair3-dog2,dot,4094888.75,3733124.5,1,0
resnet50_random,knife6-dog2,knife6,dog2,knife6-bird1,truck6-dog2,dot,4094888.75,3684363.75,1,0
resnet50_random,knife6-dog2,knife6,dog2,knife6-bird1,bird2-dog2,dot,4094888.75,3386877.0,1,0
resnet50_random,knife6-dog2,knife6,dog2,knife6-bird1,bird9-dog2,dot,4094888.75,4095748.0,0,1
resnet50_random,knife6-dog2,knife6,dog2,knife6-bird1,bird5-dog2,dot,4094888.75,3829774.5,1,0
resnet50_random,knife6-dog2,knife6,dog2,knife6-bird1,airplane4-dog2,dot,4094888.75,4202602.0,0,1
resnet50_random,knife6-dog2,knife6,dog2,knife6-bird1,bicycle5-dog2,dot,4094888.75,4383198.5,0,1
resnet50_random,knife6-dog2,knife6,dog2,knife6-bird1,bicycle6-dog2,dot,4094888.75,4330312.5,0,1
resnet50_random,knife6-dog2,knife6,dog2,knife6-bird1,bottle1-dog2,dot,4094888.75,3923257.0,1,0
resnet50_random,knife6-dog2,knife6,dog2,knife6-bird1,bottle8-dog2,dot,4094888.75,3969111.0,1,0
resnet50_random,knife6-dog2,knife6,dog2,knife6-bird1,bottle4-dog2,dot,4094888.75,4016379.5,1,0
resnet50_random,knife6-dog2,knife6,dog2,knife6-bird1,keyboard6-dog2,dot,4094888.75,3827950.5,1,0
resnet50_random,knife6-dog2,knife6,dog2,knife6-bird1,clock3-dog2,dot,4094888.75,2284534.5,1,0
resnet50_random,knife6-dog2,knife6,dog2,knife6-bird1,clock1-dog2,dot,4094888.75,2166032.5,1,0
resnet50_random,knife6-dog2,knife6,dog2,knife6-bird1,clock7-dog2,dot,4094888.75,2005259.875,1,0
