Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,knife9-boat1,knife9,boat1,knife9-airplane2,cat1-boat1,dot,4468926.0,4159233.0,1,0
resnet50_random,knife9-boat1,knife9,boat1,knife9-airplane2,cat5-boat1,dot,4468926.0,3910749.75,1,0
resnet50_random,knife9-boat1,knife9,boat1,knife9-airplane2,car3-boat1,dot,4468926.0,4424254.0,1,0
resnet50_random,knife9-boat1,knife9,boat1,knife9-airplane2,car4-boat1,dot,4468926.0,4302175.0,1,0
resnet50_random,knife9-boat1,knife9,boat1,knife9-airplane2,car6-boat1,dot,4468926.0,3819331.5,1,0
resnet50_random,knife9-boat1,knife9,boat1,knife9-airplane2,dog3-boat1,dot,4468926.0,4669885.0,0,1
resnet50_random,knife9-boat1,knife9,boat1,knife9-airplane2,dog9-boat1,dot,4468926.0,4839427.0,0,1
resnet50_random,knife9-boat1,knife9,boat1,knife9-airplane2,chair2-boat1,dot,4468926.0,4941681.0,0,1
resnet50_random,knife9-boat1,knife9,boat1,knife9-airplane2,chair8-boat1,dot,4468926.0,5055288.0,0,1
resnet50_random,knife9-boat1,knife9,boat1,knife9-airplane2,truck7-boat1,dot,4468926.0,3714026.0,1,0
resnet50_random,knife9-boat1,knife9,boat1,knife9-airplane2,bird1-boat1,dot,4468926.0,4470089.0,0,1
resnet50_random,knife9-boat1,knife9,boat1,knife9-airplane2,bird7-boat1,dot,4468926.0,4807462.0,0,1
resnet50_random,knife9-boat1,knife9,boat1,knife9-airplane2,airplane9-boat1,dot,4468926.0,4987401.0,0,1
resnet50_random,knife9-boat1,knife9,boat1,knife9-airplane2,bicycle4-boat1,dot,4468926.0,5058414.0,0,1
resnet50_random,knife9-boat1,knife9,boat1,knife9-airplane2,bicycle8-boat1,dot,4468926.0,5110611.0,0,1
resnet50_random,knife9-boat1,knife9,boat1,knife9-airplane2,bottle5-boat1,dot,4468926.0,4768861.5,0,1
resnet50_random,knife9-boat1,knife9,boat1,knife9-airplane2,keyboard3-boat1,dot,4468926.0,4749191.0,0,1
resnet50_random,knife9-boat1,knife9,boat1,knife9-airplane2,clock8-boat1,dot,4468926.0,3674810.0,1,0
resnet50_random,knife9-boat1,knife9,boat1,knife9-airplane2,knife4-boat1,dot,4468926.0,4637092.0,0,1
resnet50_random,knife9-boat1,knife9,boat1,knife9-airplane2,knife8-boat1,dot,4468926.0,4552242.0,0,1
resnet50_random,knife9-boat1,knife9,boat1,knife9-airplane2,elephant2-boat1,dot,4468926.0,4373806.0,1,0
resnet50_random,knife9-boat1,knife9,boat1,knife9-bottle2,cat1-boat1,dot,4507498.5,4159233.0,1,0
resnet50_random,knife9-boat1,knife9,boat1,knife9-bottle2,cat5-boat1,dot,4507498.5,3910749.75,1,0
resnet50_random,knife9-boat1,knife9,boat1,knife9-bottle2,car3-boat1,dot,4507498.5,4424254.0,1,0
resnet50_random,knife9-boat1,knife9,boat1,knife9-bottle2,car4-boat1,dot,4507498.5,4302175.0,1,0
resnet50_random,knife9-boat1,knife9,boat1,knife9-bottle2,car6-boat1,dot,4507498.5,3819331.5,1,0
resnet50_random,knife9-boat1,knife9,boat1,knife9-bottle2,dog3-boat1,dot,4507498.5,4669885.0,0,1
resnet50_random,knife9-boat1,knife9,boat1,knife9-bottle2,dog9-boat1,dot,4507498.5,4839427.0,0,1
resnet50_random,knife9-boat1,knife9,boat1,knife9-bottle2,chair2-boat1,dot,4507498.5,4941681.0,0,1
resnet50_random,knife9-boat1,knife9,boat1,knife9-bottle2,chair8-boat1,dot,4507498.5,5055288.0,0,1
resnet50_random,knife9-boat1,knife9,boat1,knife9-bottle2,truck7-boat1,dot,4507498.5,3714026.0,1,0
resnet50_random,knife9-boat1,knife9,boat1,knife9-bottle2,bird1-boat1,dot,4507498.5,4470089.0,1,0
resnet50_random,knife9-boat1,knife9,boat1,knife9-bottle2,bird7-boat1,dot,4507498.5,4807462.0,0,1
