Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,oven3-knife1,oven3,knife1,oven3-bottle3,cat4-knife1,dot,3216824.5,3408696.25,0,1
resnet50_random,oven3-knife1,oven3,knife1,oven3-bottle3,car9-knife1,dot,3216824.5,2955847.0,1,0
resnet50_random,oven3-knife1,oven3,knife1,oven3-bottle3,car6-knife1,dot,3216824.5,2405861.0,1,0
resnet50_random,oven3-knife1,oven3,knife1,oven3-bottle3,bear4-knife1,dot,3216824.5,3326410.5,0,1
resnet50_random,oven3-knife1,oven3,knife1,oven3-bottle3,boat8-knife1,dot,3216824.5,3109664.5,1,0
resnet50_random,oven3-knife1,oven3,knife1,oven3-bottle3,chair3-knife1,dot,3216824.5,3337846.0,0,1
resnet50_random,oven3-knife1,oven3,knife1,oven3-bottle3,chair2-knife1,dot,3216824.5,3660968.0,0,1
resnet50_random,oven3-knife1,oven3,knife1,oven3-bottle3,truck1-knife1,dot,3216824.5,2143278.0,1,0
resnet50_random,oven3-knife1,oven3,knife1,oven3-bottle3,truck4-knife1,dot,3216824.5,2841706.5,1,0
resnet50_random,oven3-knife1,oven3,knife1,oven3-bottle3,bird2-knife1,dot,3216824.5,3092705.75,1,0
resnet50_random,oven3-knife1,oven3,knife1,oven3-bottle3,airplane5-knife1,dot,3216824.5,3282497.5,0,1
resnet50_random,oven3-knife1,oven3,knife1,oven3-bottle3,airplane6-knife1,dot,3216824.5,3570080.0,0,1
resnet50_random,oven3-knife1,oven3,knife1,oven3-bottle3,airplane4-knife1,dot,3216824.5,3549709.75,0,1
resnet50_random,oven3-knife1,oven3,knife1,oven3-bottle3,bottle8-knife1,dot,3216824.5,3390176.5,0,1
resnet50_random,oven3-knife1,oven3,knife1,oven3-bottle3,bottle5-knife1,dot,3216824.5,3521591.25,0,1
resnet50_random,oven3-knife1,oven3,knife1,oven3-bottle3,keyboard7-knife1,dot,3216824.5,2898958.25,1,0
resnet50_random,oven3-knife1,oven3,knife1,oven3-bottle3,keyboard2-knife1,dot,3216824.5,2858806.0,1,0
resnet50_random,oven3-knife1,oven3,knife1,oven3-bottle3,clock4-knife1,dot,3216824.5,2412634.5,1,0
resnet50_random,oven3-knife1,oven3,knife1,oven3-bottle3,clock2-knife1,dot,3216824.5,2333405.0,1,0
