Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-keyboard3,cat7-truck2,dot,5310006.0,4153885.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-keyboard3,dog5-truck2,dot,5310006.0,4211491.5,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-keyboard3,dog4-truck2,dot,5310006.0,5001950.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-keyboard3,dog3-truck2,dot,5310006.0,5050528.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-keyboard3,dog10-truck2,dot,5310006.0,4931205.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-keyboard3,dog6-truck2,dot,5310006.0,4437726.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-keyboard3,boat8-truck2,dot,5310006.0,4661370.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-keyboard3,boat7-truck2,dot,5310006.0,5180894.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-keyboard3,oven10-truck2,dot,5310006.0,3660994.5,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-keyboard3,chair4-truck2,dot,5310006.0,5781378.5,0,1
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-keyboard3,chair6-truck2,dot,5310006.0,5025088.5,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-keyboard3,bird6-truck2,dot,5310006.0,5122574.5,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-keyboard3,bird7-truck2,dot,5310006.0,5374822.0,0,1
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-keyboard3,bird5-truck2,dot,5310006.0,4960996.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-keyboard3,bottle7-truck2,dot,5310006.0,4951847.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-keyboard3,keyboard7-truck2,dot,5310006.0,4168373.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-keyboard3,clock8-truck2,dot,5310006.0,3870811.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-keyboard3,clock10-truck2,dot,5310006.0,5231554.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-keyboard3,knife1-truck2,dot,5310006.0,5455682.0,0,1
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-keyboard3,knife2-truck2,dot,5310006.0,5169393.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-keyboard3,elephant2-truck2,dot,5310006.0,4769756.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bottle1,cat7-truck2,dot,5509369.0,4153885.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bottle1,dog5-truck2,dot,5509369.0,4211491.5,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bottle1,dog4-truck2,dot,5509369.0,5001950.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bottle1,dog3-truck2,dot,5509369.0,5050528.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bottle1,dog10-truck2,dot,5509369.0,4931205.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bottle1,dog6-truck2,dot,5509369.0,4437726.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bottle1,boat8-truck2,dot,5509369.0,4661370.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bottle1,boat7-truck2,dot,5509369.0,5180894.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bottle1,oven10-truck2,dot,5509369.0,3660994.5,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bottle1,chair4-truck2,dot,5509369.0,5781378.5,0,1
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bottle1,chair6-truck2,dot,5509369.0,5025088.5,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bottle1,bird6-truck2,dot,5509369.0,5122574.5,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bottle1,bird7-truck2,dot,5509369.0,5374822.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bottle1,bird5-truck2,dot,5509369.0,4960996.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bottle1,bottle7-truck2,dot,5509369.0,4951847.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bottle1,keyboard7-truck2,dot,5509369.0,4168373.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bottle1,clock8-truck2,dot,5509369.0,3870811.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bottle1,clock10-truck2,dot,5509369.0,5231554.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bottle1,knife1-truck2,dot,5509369.0,5455682.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bottle1,knife2-truck2,dot,5509369.0,5169393.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bottle1,elephant2-truck2,dot,5509369.0,4769756.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bicycle2,cat7-truck2,dot,5432657.0,4153885.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bicycle2,dog5-truck2,dot,5432657.0,4211491.5,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bicycle2,dog4-truck2,dot,5432657.0,5001950.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bicycle2,dog3-truck2,dot,5432657.0,5050528.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bicycle2,dog10-truck2,dot,5432657.0,4931205.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bicycle2,dog6-truck2,dot,5432657.0,4437726.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bicycle2,boat8-truck2,dot,5432657.0,4661370.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bicycle2,boat7-truck2,dot,5432657.0,5180894.0,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bicycle2,oven10-truck2,dot,5432657.0,3660994.5,1,0
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bicycle2,chair4-truck2,dot,5432657.0,5781378.5,0,1
resnet50_random,airplane4-truck2,airplane4,truck2,airplane4-bicycle2,chair6-truck2,dot,5432657.0,5025088.5,1,0
