Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bear10-elephant1,bear10,elephant1,bear10-cat2,cat7-elephant1,dot,3376065.5,2964273.0,1,0
resnet50_random,bear10-elephant1,bear10,elephant1,bear10-cat2,cat2-elephant1,dot,3376065.5,3056342.75,1,0
resnet50_random,bear10-elephant1,bear10,elephant1,bear10-cat2,dog10-elephant1,dot,3376065.5,3650496.5,0,1
resnet50_random,bear10-elephant1,bear10,elephant1,bear10-cat2,dog5-elephant1,dot,3376065.5,3079251.5,1,0
resnet50_random,bear10-elephant1,bear10,elephant1,bear10-cat2,bear2-elephant1,dot,3376065.5,3169032.5,1,0
resnet50_random,bear10-elephant1,bear10,elephant1,bear10-cat2,bear1-elephant1,dot,3376065.5,2707074.0,1,0
resnet50_random,bear10-elephant1,bear10,elephant1,bear10-cat2,boat8-elephant1,dot,3376065.5,3444387.0,0,1
resnet50_random,bear10-elephant1,bear10,elephant1,bear10-cat2,oven7-elephant1,dot,3376065.5,2447080.0,1,0
resnet50_random,bear10-elephant1,bear10,elephant1,bear10-cat2,oven5-elephant1,dot,3376065.5,2968055.75,1,0
resnet50_random,bear10-elephant1,bear10,elephant1,bear10-cat2,chair9-elephant1,dot,3376065.5,3831172.5,0,1
resnet50_random,bear10-elephant1,bear10,elephant1,bear10-cat2,chair7-elephant1,dot,3376065.5,3137251.25,1,0
resnet50_random,bear10-elephant1,bear10,elephant1,bear10-cat2,chair1-elephant1,dot,3376065.5,3719235.75,0,1
resnet50_random,bear10-elephant1,bear10,elephant1,bear10-cat2,chair8-elephant1,dot,3376065.5,4386238.0,0,1
resnet50_random,bear10-elephant1,bear10,elephant1,bear10-cat2,truck9-elephant1,dot,3376065.5,2349003.0,1,0
resnet50_random,bear10-elephant1,bear10,elephant1,bear10-cat2,truck8-elephant1,dot,3376065.5,3322702.0,1,0
resnet50_random,bear10-elephant1,bear10,elephant1,bear10-cat2,truck2-elephant1,dot,3376065.5,2814905.25,1,0
resnet50_random,bear10-elephant1,bear10,elephant1,bear10-cat2,bird8-elephant1,dot,3376065.5,3855398.5,0,1
resnet50_random,bear10-elephant1,bear10,elephant1,bear10-cat2,airplane1-elephant1,dot,3376065.5,4256435.5,0,1
resnet50_random,bear10-elephant1,bear10,elephant1,bear10-cat2,airplane4-elephant1,dot,3376065.5,4147355.5,0,1
resnet50_random,bear10-elephant1,bear10,elephant1,bear10-cat2,airplane10-elephant1,dot,3376065.5,4004936.75,0,1
resnet50_random,bear10-elephant1,bear10,elephant1,bear10-cat2,airplane3-elephant1,dot,3376065.5,4342142.0,0,1
resnet50_random,bear10-elephant1,bear10,elephant1,bear10-cat2,bicycle5-elephant1,dot,3376065.5,4367739.0,0,1
resnet50_random,bear10-elephant1,bear10,elephant1,bear10-cat2,bottle5-elephant1,dot,3376065.5,3978092.0,0,1
