Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,cat7-boat3,dot,3004633.25,3096252.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,car8-boat3,dot,3004633.25,3475787.75,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,car7-boat3,dot,3004633.25,3678523.5,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,dog8-boat3,dot,3004633.25,4039750.75,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,dog5-boat3,dot,3004633.25,3184767.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,dog1-boat3,dot,3004633.25,3029215.5,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,oven1-boat3,dot,3004633.25,2432703.5,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,oven3-boat3,dot,3004633.25,3119250.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,oven2-boat3,dot,3004633.25,2388659.5,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,chair5-boat3,dot,3004633.25,3874149.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,chair7-boat3,dot,3004633.25,3434336.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,truck4-boat3,dot,3004633.25,3171437.25,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,truck9-boat3,dot,3004633.25,2841867.75,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,truck2-boat3,dot,3004633.25,3110179.25,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,bird3-boat3,dot,3004633.25,3767339.5,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,bird8-boat3,dot,3004633.25,3897012.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,airplane10-boat3,dot,3004633.25,4056450.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,airplane5-boat3,dot,3004633.25,3760903.75,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,airplane4-boat3,dot,3004633.25,4120047.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,bicycle10-boat3,dot,3004633.25,4388225.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,bicycle1-boat3,dot,3004633.25,4559970.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,bottle3-boat3,dot,3004633.25,3946047.5,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,bottle7-boat3,dot,3004633.25,3853052.5,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,bottle10-boat3,dot,3004633.25,3794657.5,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,bottle6-boat3,dot,3004633.25,3985058.25,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,clock7-boat3,dot,3004633.25,2358236.0,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,clock1-boat3,dot,3004633.25,2573632.5,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,clock4-boat3,dot,3004633.25,2656504.5,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,knife6-boat3,dot,3004633.25,4088372.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,knife7-boat3,dot,3004633.25,4020902.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,elephant9-boat3,dot,3004633.25,3050261.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-chair1,elephant4-boat3,dot,3004633.25,3152269.25,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,cat7-boat3,dot,3148667.5,3096252.0,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,car8-boat3,dot,3148667.5,3475787.75,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,car7-boat3,dot,3148667.5,3678523.5,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,dog8-boat3,dot,3148667.5,4039750.75,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,dog5-boat3,dot,3148667.5,3184767.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,dog1-boat3,dot,3148667.5,3029215.5,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,oven1-boat3,dot,3148667.5,2432703.5,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,oven3-boat3,dot,3148667.5,3119250.0,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,oven2-boat3,dot,3148667.5,2388659.5,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,chair5-boat3,dot,3148667.5,3874149.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,chair7-boat3,dot,3148667.5,3434336.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,truck4-boat3,dot,3148667.5,3171437.25,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,truck9-boat3,dot,3148667.5,2841867.75,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,truck2-boat3,dot,3148667.5,3110179.25,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,bird3-boat3,dot,3148667.5,3767339.5,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,bird8-boat3,dot,3148667.5,3897012.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,airplane10-boat3,dot,3148667.5,4056450.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,airplane5-boat3,dot,3148667.5,3760903.75,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,airplane4-boat3,dot,3148667.5,4120047.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,bicycle10-boat3,dot,3148667.5,4388225.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,bicycle1-boat3,dot,3148667.5,4559970.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,bottle3-boat3,dot,3148667.5,3946047.5,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,bottle7-boat3,dot,3148667.5,3853052.5,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,bottle10-boat3,dot,3148667.5,3794657.5,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,bottle6-boat3,dot,3148667.5,3985058.25,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,clock7-boat3,dot,3148667.5,2358236.0,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,clock1-boat3,dot,3148667.5,2573632.5,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,clock4-boat3,dot,3148667.5,2656504.5,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,knife6-boat3,dot,3148667.5,4088372.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,knife7-boat3,dot,3148667.5,4020902.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,elephant9-boat3,dot,3148667.5,3050261.0,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-clock1,elephant4-boat3,dot,3148667.5,3152269.25,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,cat7-boat3,dot,3195084.5,3096252.0,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,car8-boat3,dot,3195084.5,3475787.75,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,car7-boat3,dot,3195084.5,3678523.5,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,dog8-boat3,dot,3195084.5,4039750.75,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,dog5-boat3,dot,3195084.5,3184767.0,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,dog1-boat3,dot,3195084.5,3029215.5,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,oven1-boat3,dot,3195084.5,2432703.5,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,oven3-boat3,dot,3195084.5,3119250.0,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,oven2-boat3,dot,3195084.5,2388659.5,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,chair5-boat3,dot,3195084.5,3874149.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,chair7-boat3,dot,3195084.5,3434336.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,truck4-boat3,dot,3195084.5,3171437.25,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,truck9-boat3,dot,3195084.5,2841867.75,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,truck2-boat3,dot,3195084.5,3110179.25,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,bird3-boat3,dot,3195084.5,3767339.5,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,bird8-boat3,dot,3195084.5,3897012.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,airplane10-boat3,dot,3195084.5,4056450.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,airplane5-boat3,dot,3195084.5,3760903.75,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,airplane4-boat3,dot,3195084.5,4120047.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,bicycle10-boat3,dot,3195084.5,4388225.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,bicycle1-boat3,dot,3195084.5,4559970.0,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,bottle3-boat3,dot,3195084.5,3946047.5,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,bottle7-boat3,dot,3195084.5,3853052.5,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,bottle10-boat3,dot,3195084.5,3794657.5,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,bottle6-boat3,dot,3195084.5,3985058.25,0,1
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,clock7-boat3,dot,3195084.5,2358236.0,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,clock1-boat3,dot,3195084.5,2573632.5,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,clock4-boat3,dot,3195084.5,2656504.5,1,0
resnet50_random,bear6-boat3,bear6,boat3,bear6-car2,knife6-boat3,dot,3195084.5,4088372.0,0,1
