Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,cat6-keyboard3,dot,2260275.5,2773549.25,0,1
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,cat1-keyboard3,dot,2260275.5,2701630.0,0,1
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,cat5-keyboard3,dot,2260275.5,2125518.25,1,0
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,car5-keyboard3,dot,2260275.5,2574077.5,0,1
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,car7-keyboard3,dot,2260275.5,2986010.0,0,1
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,dog8-keyboard3,dot,2260275.5,3269905.75,0,1
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,dog7-keyboard3,dot,2260275.5,2850547.0,0,1
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,bear4-keyboard3,dot,2260275.5,3114457.0,0,1
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,bear10-keyboard3,dot,2260275.5,2943994.0,0,1
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,boat1-keyboard3,dot,2260275.5,2653809.5,0,1
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,boat7-keyboard3,dot,2260275.5,3243793.5,0,1
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,oven8-keyboard3,dot,2260275.5,2018762.625,1,0
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,oven4-keyboard3,dot,2260275.5,2008317.0,1,0
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,chair8-keyboard3,dot,2260275.5,3608673.25,0,1
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,truck3-keyboard3,dot,2260275.5,2270519.5,0,1
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,truck7-keyboard3,dot,2260275.5,1825464.5,1,0
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,bird1-keyboard3,dot,2260275.5,3023329.5,0,1
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,bird7-keyboard3,dot,2260275.5,3385682.5,0,1
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,airplane4-keyboard3,dot,2260275.5,3388258.5,0,1
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,airplane6-keyboard3,dot,2260275.5,3423662.0,0,1
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,bicycle5-keyboard3,dot,2260275.5,3685288.75,0,1
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,bicycle4-keyboard3,dot,2260275.5,3632296.75,0,1
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,bicycle9-keyboard3,dot,2260275.5,3935485.5,0,1
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,bottle1-keyboard3,dot,2260275.5,3134350.25,0,1
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,bottle8-keyboard3,dot,2260275.5,3178265.0,0,1
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,clock3-keyboard3,dot,2260275.5,1806398.25,1,0
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,knife5-keyboard3,dot,2260275.5,3234143.5,0,1
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,knife1-keyboard3,dot,2260275.5,3422386.25,0,1
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,knife10-keyboard3,dot,2260275.5,3093957.0,0,1
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,knife3-keyboard3,dot,2260275.5,3406506.25,0,1
resnet50_random,bear9-keyboard3,bear9,keyboard3,bear9-boat2,elephant2-keyboard3,dot,2260275.5,3022558.75,0,1
