Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,car5-cat1,dot,5868320.0,4017557.5,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,car9-cat1,dot,5868320.0,4139431.25,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,car8-cat1,dot,5868320.0,4322353.5,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,dog2-cat1,dot,5868320.0,2961974.0,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,dog9-cat1,dot,5868320.0,5290406.0,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,dog6-cat1,dot,5868320.0,4260406.5,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,bear3-cat1,dot,5868320.0,3717603.0,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,boat6-cat1,dot,5868320.0,5214924.0,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,boat10-cat1,dot,5868320.0,4728293.0,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,oven7-cat1,dot,5868320.0,3260858.5,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,oven1-cat1,dot,5868320.0,2546063.0,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,chair10-cat1,dot,5868320.0,5001071.0,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,chair7-cat1,dot,5868320.0,4174969.25,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,truck1-cat1,dot,5868320.0,2651004.75,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,truck3-cat1,dot,5868320.0,3563595.0,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,bird10-cat1,dot,5868320.0,5030039.5,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,bird3-cat1,dot,5868320.0,4839062.5,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,airplane3-cat1,dot,5868320.0,5642251.0,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,airplane2-cat1,dot,5868320.0,4991122.0,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,bicycle5-cat1,dot,5868320.0,5692774.5,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,bicycle7-cat1,dot,5868320.0,5863124.0,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,bicycle6-cat1,dot,5868320.0,5729608.0,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,bottle5-cat1,dot,5868320.0,5208018.0,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,keyboard5-cat1,dot,5868320.0,3617207.75,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,keyboard3-cat1,dot,5868320.0,5199654.0,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,keyboard9-cat1,dot,5868320.0,3546388.0,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,clock3-cat1,dot,5868320.0,2937062.0,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,clock9-cat1,dot,5868320.0,3951121.0,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,clock8-cat1,dot,5868320.0,3588617.25,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,clock10-cat1,dot,5868320.0,5131841.5,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,knife3-cat1,dot,5868320.0,5479944.0,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,elephant7-cat1,dot,5868320.0,4886512.0,1,0
resnet50_random,bicycle4-cat1,bicycle4,cat1,bicycle4-boat1,elephant8-cat1,dot,5868320.0,4330603.0,1,0
