Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,car4-oven2,car4,oven2,car4-cat3,cat3-oven2,dot,3648687.25,3614039.5,1,0
resnet50_random,car4-oven2,car4,oven2,car4-cat3,cat10-oven2,dot,3648687.25,3648164.25,1,0
resnet50_random,car4-oven2,car4,oven2,car4-cat3,car7-oven2,dot,3648687.25,4000951.5,0,1
resnet50_random,car4-oven2,car4,oven2,car4-cat3,car5-oven2,dot,3648687.25,3560342.0,1,0
resnet50_random,car4-oven2,car4,oven2,car4-cat3,dog10-oven2,dot,3648687.25,4240461.5,0,1
resnet50_random,car4-oven2,car4,oven2,car4-cat3,dog7-oven2,dot,3648687.25,3932568.5,0,1
resnet50_random,car4-oven2,car4,oven2,car4-cat3,bear4-oven2,dot,3648687.25,4195047.5,0,1
resnet50_random,car4-oven2,car4,oven2,car4-cat3,chair4-oven2,dot,3648687.25,4810788.0,0,1
resnet50_random,car4-oven2,car4,oven2,car4-cat3,chair5-oven2,dot,3648687.25,4292225.0,0,1
resnet50_random,car4-oven2,car4,oven2,car4-cat3,truck7-oven2,dot,3648687.25,2684237.0,1,0
resnet50_random,car4-oven2,car4,oven2,car4-cat3,truck3-oven2,dot,3648687.25,3179188.0,1,0
resnet50_random,car4-oven2,car4,oven2,car4-cat3,truck4-oven2,dot,3648687.25,3564857.0,1,0
resnet50_random,car4-oven2,car4,oven2,car4-cat3,airplane10-oven2,dot,3648687.25,4489387.5,0,1
resnet50_random,car4-oven2,car4,oven2,car4-cat3,airplane8-oven2,dot,3648687.25,4453780.0,0,1
resnet50_random,car4-oven2,car4,oven2,car4-cat3,airplane9-oven2,dot,3648687.25,4722997.5,0,1
resnet50_random,car4-oven2,car4,oven2,car4-cat3,bottle7-oven2,dot,3648687.25,4185037.75,0,1
resnet50_random,car4-oven2,car4,oven2,car4-cat3,bottle5-oven2,dot,3648687.25,4492934.0,0,1
resnet50_random,car4-oven2,car4,oven2,car4-cat3,bottle4-oven2,dot,3648687.25,4386468.0,0,1
resnet50_random,car4-oven2,car4,oven2,car4-cat3,bottle9-oven2,dot,3648687.25,4209332.0,0,1
resnet50_random,car4-oven2,car4,oven2,car4-cat3,keyboard4-oven2,dot,3648687.25,3227763.0,1,0
resnet50_random,car4-oven2,car4,oven2,car4-cat3,keyboard5-oven2,dot,3648687.25,3200297.5,1,0
resnet50_random,car4-oven2,car4,oven2,car4-cat3,keyboard7-oven2,dot,3648687.25,3686938.0,0,1
resnet50_random,car4-oven2,car4,oven2,car4-cat3,clock10-oven2,dot,3648687.25,4320858.0,0,1
resnet50_random,car4-oven2,car4,oven2,car4-cat3,knife4-oven2,dot,3648687.25,4292044.0,0,1
resnet50_random,car4-oven2,car4,oven2,car4-cat3,knife5-oven2,dot,3648687.25,4388893.0,0,1
resnet50_random,car4-oven2,car4,oven2,car4-cat3,elephant1-oven2,dot,3648687.25,3866768.25,0,1
resnet50_random,car4-oven2,car4,oven2,car4-bicycle3,cat3-oven2,dot,3961007.75,3614039.5,1,0
resnet50_random,car4-oven2,car4,oven2,car4-bicycle3,cat10-oven2,dot,3961007.75,3648164.25,1,0
resnet50_random,car4-oven2,car4,oven2,car4-bicycle3,car7-oven2,dot,3961007.75,4000951.5,0,1
resnet50_random,car4-oven2,car4,oven2,car4-bicycle3,car5-oven2,dot,3961007.75,3560342.0,1,0
resnet50_random,car4-oven2,car4,oven2,car4-bicycle3,dog10-oven2,dot,3961007.75,4240461.5,0,1
