Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,car9-bird1,car9,bird1,car9-truck3,cat1-bird1,dot,3118568.5,2776445.0,1,0
resnet50_random,car9-bird1,car9,bird1,car9-truck3,car4-bird1,dot,3118568.5,2950612.25,1,0
resnet50_random,car9-bird1,car9,bird1,car9-truck3,dog4-bird1,dot,3118568.5,3298600.5,0,1
resnet50_random,car9-bird1,car9,bird1,car9-truck3,dog1-bird1,dot,3118568.5,2357147.5,1,0
resnet50_random,car9-bird1,car9,bird1,car9-truck3,dog6-bird1,dot,3118568.5,2792700.0,1,0
resnet50_random,car9-bird1,car9,bird1,car9-truck3,bear5-bird1,dot,3118568.5,2563127.5,1,0
resnet50_random,car9-bird1,car9,bird1,car9-truck3,boat2-bird1,dot,3118568.5,3402404.5,0,1
resnet50_random,car9-bird1,car9,bird1,car9-truck3,boat4-bird1,dot,3118568.5,3166689.0,0,1
resnet50_random,car9-bird1,car9,bird1,car9-truck3,boat9-bird1,dot,3118568.5,3049928.25,1,0
resnet50_random,car9-bird1,car9,bird1,car9-truck3,oven6-bird1,dot,3118568.5,2606609.5,1,0
resnet50_random,car9-bird1,car9,bird1,car9-truck3,oven5-bird1,dot,3118568.5,2545508.5,1,0
resnet50_random,car9-bird1,car9,bird1,car9-truck3,chair5-bird1,dot,3118568.5,3335939.0,0,1
resnet50_random,car9-bird1,car9,bird1,car9-truck3,chair7-bird1,dot,3118568.5,2781245.75,1,0
resnet50_random,car9-bird1,car9,bird1,car9-truck3,truck1-bird1,dot,3118568.5,1265649.0,1,0
resnet50_random,car9-bird1,car9,bird1,car9-truck3,airplane8-bird1,dot,3118568.5,3603517.25,0,1
resnet50_random,car9-bird1,car9,bird1,car9-truck3,bicycle3-bird1,dot,3118568.5,3802353.0,0,1
resnet50_random,car9-bird1,car9,bird1,car9-truck3,bicycle1-bird1,dot,3118568.5,4019645.5,0,1
resnet50_random,car9-bird1,car9,bird1,car9-truck3,bottle3-bird1,dot,3118568.5,3460490.5,0,1
resnet50_random,car9-bird1,car9,bird1,car9-truck3,bottle8-bird1,dot,3118568.5,3410186.25,0,1
resnet50_random,car9-bird1,car9,bird1,car9-truck3,bottle6-bird1,dot,3118568.5,3510441.0,0,1
resnet50_random,car9-bird1,car9,bird1,car9-truck3,keyboard9-bird1,dot,3118568.5,2191992.5,1,0
resnet50_random,car9-bird1,car9,bird1,car9-truck3,keyboard4-bird1,dot,3118568.5,2438971.0,1,0
resnet50_random,car9-bird1,car9,bird1,car9-truck3,clock3-bird1,dot,3118568.5,1773096.125,1,0
resnet50_random,car9-bird1,car9,bird1,car9-truck3,knife6-bird1,dot,3118568.5,3741277.5,0,1
resnet50_random,car9-bird1,car9,bird1,car9-truck3,knife9-bird1,dot,3118568.5,3595965.5,0,1
resnet50_random,car9-bird1,car9,bird1,car9-truck3,knife2-bird1,dot,3118568.5,3526261.5,0,1
resnet50_random,car9-bird1,car9,bird1,car9-truck3,elephant6-bird1,dot,3118568.5,2396142.5,1,0
resnet50_random,car9-bird1,car9,bird1,car9-truck3,elephant7-bird1,dot,3118568.5,3318346.75,0,1
resnet50_random,car9-bird1,car9,bird1,car9-truck3,elephant4-bird1,dot,3118568.5,2498165.5,1,0
resnet50_random,car9-bird1,car9,bird1,car9-truck3,elephant2-bird1,dot,3118568.5,3120653.25,0,1
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,cat1-bird1,dot,3214030.0,2776445.0,1,0
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,car4-bird1,dot,3214030.0,2950612.25,1,0
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,dog4-bird1,dot,3214030.0,3298600.5,0,1
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,dog1-bird1,dot,3214030.0,2357147.5,1,0
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,dog6-bird1,dot,3214030.0,2792700.0,1,0
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,bear5-bird1,dot,3214030.0,2563127.5,1,0
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,boat2-bird1,dot,3214030.0,3402404.5,0,1
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,boat4-bird1,dot,3214030.0,3166689.0,1,0
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,boat9-bird1,dot,3214030.0,3049928.25,1,0
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,oven6-bird1,dot,3214030.0,2606609.5,1,0
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,oven5-bird1,dot,3214030.0,2545508.5,1,0
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,chair5-bird1,dot,3214030.0,3335939.0,0,1
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,chair7-bird1,dot,3214030.0,2781245.75,1,0
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,truck1-bird1,dot,3214030.0,1265649.0,1,0
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,airplane8-bird1,dot,3214030.0,3603517.25,0,1
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,bicycle3-bird1,dot,3214030.0,3802353.0,0,1
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,bicycle1-bird1,dot,3214030.0,4019645.5,0,1
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,bottle3-bird1,dot,3214030.0,3460490.5,0,1
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,bottle8-bird1,dot,3214030.0,3410186.25,0,1
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,bottle6-bird1,dot,3214030.0,3510441.0,0,1
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,keyboard9-bird1,dot,3214030.0,2191992.5,1,0
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,keyboard4-bird1,dot,3214030.0,2438971.0,1,0
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,clock3-bird1,dot,3214030.0,1773096.125,1,0
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,knife6-bird1,dot,3214030.0,3741277.5,0,1
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,knife9-bird1,dot,3214030.0,3595965.5,0,1
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,knife2-bird1,dot,3214030.0,3526261.5,0,1
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,elephant6-bird1,dot,3214030.0,2396142.5,1,0
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,elephant7-bird1,dot,3214030.0,3318346.75,0,1
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,elephant4-bird1,dot,3214030.0,2498165.5,1,0
resnet50_random,car9-bird1,car9,bird1,car9-bicycle2,elephant2-bird1,dot,3214030.0,3120653.25,1,0
resnet50_random,car9-bird1,car9,bird1,car9-cat1,cat1-bird1,dot,2906646.25,2776445.0,1,0
resnet50_random,car9-bird1,car9,bird1,car9-cat1,car4-bird1,dot,2906646.25,2950612.25,0,1
