Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,cat9-boat2,cat9,boat2,cat9-truck1,cat2-boat2,dot,5058323.0,4296676.0,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-truck1,bear4-boat2,dot,5058323.0,4881015.0,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-truck1,bear9-boat2,dot,5058323.0,3385362.5,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-truck1,bear5-boat2,dot,5058323.0,4117247.75,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-truck1,bear8-boat2,dot,5058323.0,4047573.75,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-truck1,oven10-boat2,dot,5058323.0,3726301.0,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-truck1,oven9-boat2,dot,5058323.0,3650468.25,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-truck1,chair9-boat2,dot,5058323.0,5065440.5,0,1
resnet50_random,cat9-boat2,cat9,boat2,cat9-truck1,truck6-boat2,dot,5058323.0,4775232.0,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-truck1,bird6-boat2,dot,5058323.0,4989146.5,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-truck1,airplane7-boat2,dot,5058323.0,5043889.5,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-truck1,bicycle6-boat2,dot,5058323.0,5624300.5,0,1
resnet50_random,cat9-boat2,cat9,boat2,cat9-truck1,keyboard6-boat2,dot,5058323.0,4893214.0,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-truck1,keyboard10-boat2,dot,5058323.0,4356938.5,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-truck1,keyboard7-boat2,dot,5058323.0,4053539.75,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-truck1,keyboard9-boat2,dot,5058323.0,4072166.5,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-truck1,clock10-boat2,dot,5058323.0,5108462.0,0,1
resnet50_random,cat9-boat2,cat9,boat2,cat9-truck1,elephant1-boat2,dot,5058323.0,4418772.0,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-truck1,elephant8-boat2,dot,5058323.0,4442039.0,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-bottle2,cat2-boat2,dot,5005858.0,4296676.0,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-bottle2,bear4-boat2,dot,5005858.0,4881015.0,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-bottle2,bear9-boat2,dot,5005858.0,3385362.5,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-bottle2,bear5-boat2,dot,5005858.0,4117247.75,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-bottle2,bear8-boat2,dot,5005858.0,4047573.75,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-bottle2,oven10-boat2,dot,5005858.0,3726301.0,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-bottle2,oven9-boat2,dot,5005858.0,3650468.25,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-bottle2,chair9-boat2,dot,5005858.0,5065440.5,0,1
resnet50_random,cat9-boat2,cat9,boat2,cat9-bottle2,truck6-boat2,dot,5005858.0,4775232.0,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-bottle2,bird6-boat2,dot,5005858.0,4989146.5,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-bottle2,airplane7-boat2,dot,5005858.0,5043889.5,0,1
resnet50_random,cat9-boat2,cat9,boat2,cat9-bottle2,bicycle6-boat2,dot,5005858.0,5624300.5,0,1
resnet50_random,cat9-boat2,cat9,boat2,cat9-bottle2,keyboard6-boat2,dot,5005858.0,4893214.0,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-bottle2,keyboard10-boat2,dot,5005858.0,4356938.5,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-bottle2,keyboard7-boat2,dot,5005858.0,4053539.75,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-bottle2,keyboard9-boat2,dot,5005858.0,4072166.5,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-bottle2,clock10-boat2,dot,5005858.0,5108462.0,0,1
resnet50_random,cat9-boat2,cat9,boat2,cat9-bottle2,elephant1-boat2,dot,5005858.0,4418772.0,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-bottle2,elephant8-boat2,dot,5005858.0,4442039.0,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-dog2,cat2-boat2,dot,4562045.0,4296676.0,1,0
resnet50_random,cat9-boat2,cat9,boat2,cat9-dog2,bear4-boat2,dot,4562045.0,4881015.0,0,1
resnet50_random,cat9-boat2,cat9,boat2,cat9-dog2,bear9-boat2,dot,4562045.0,3385362.5,1,0
