Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-cat2,cat4-keyboard2,dot,5758170.0,5475935.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-cat2,car1-keyboard2,dot,5758170.0,3413376.5,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-cat2,car10-keyboard2,dot,5758170.0,5228076.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-cat2,car9-keyboard2,dot,5758170.0,4547451.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-cat2,dog10-keyboard2,dot,5758170.0,5343130.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-cat2,dog4-keyboard2,dot,5758170.0,5320973.5,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-cat2,bear2-keyboard2,dot,5758170.0,4804178.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-cat2,bear3-keyboard2,dot,5758170.0,4511760.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-cat2,boat9-keyboard2,dot,5758170.0,4914130.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-cat2,boat3-keyboard2,dot,5758170.0,4764159.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-cat2,oven5-keyboard2,dot,5758170.0,4431174.5,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-cat2,chair5-keyboard2,dot,5758170.0,5409679.5,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-cat2,chair2-keyboard2,dot,5758170.0,5892484.0,0,1
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-cat2,chair9-keyboard2,dot,5758170.0,5640472.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-cat2,truck8-keyboard2,dot,5758170.0,4790500.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-cat2,bird8-keyboard2,dot,5758170.0,5444903.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-cat2,bird5-keyboard2,dot,5758170.0,5413646.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-cat2,airplane3-keyboard2,dot,5758170.0,5939094.0,0,1
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-cat2,airplane9-keyboard2,dot,5758170.0,5948598.0,0,1
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-cat2,bicycle2-keyboard2,dot,5758170.0,6214456.0,0,1
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-cat2,bottle5-keyboard2,dot,5758170.0,5715266.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-cat2,bottle7-keyboard2,dot,5758170.0,5271891.5,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-cat2,clock7-keyboard2,dot,5758170.0,2768605.75,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-cat2,clock9-keyboard2,dot,5758170.0,4551796.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-cat2,elephant3-keyboard2,dot,5758170.0,4772031.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-bear2,cat4-keyboard2,dot,5756255.0,5475935.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-bear2,car1-keyboard2,dot,5756255.0,3413376.5,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-bear2,car10-keyboard2,dot,5756255.0,5228076.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-bear2,car9-keyboard2,dot,5756255.0,4547451.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-bear2,dog10-keyboard2,dot,5756255.0,5343130.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-bear2,dog4-keyboard2,dot,5756255.0,5320973.5,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-bear2,bear2-keyboard2,dot,5756255.0,4804178.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-bear2,bear3-keyboard2,dot,5756255.0,4511760.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-bear2,boat9-keyboard2,dot,5756255.0,4914130.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-bear2,boat3-keyboard2,dot,5756255.0,4764159.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-bear2,oven5-keyboard2,dot,5756255.0,4431174.5,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-bear2,chair5-keyboard2,dot,5756255.0,5409679.5,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-bear2,chair2-keyboard2,dot,5756255.0,5892484.0,0,1
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-bear2,chair9-keyboard2,dot,5756255.0,5640472.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-bear2,truck8-keyboard2,dot,5756255.0,4790500.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-bear2,bird8-keyboard2,dot,5756255.0,5444903.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-bear2,bird5-keyboard2,dot,5756255.0,5413646.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-bear2,airplane3-keyboard2,dot,5756255.0,5939094.0,0,1
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-bear2,airplane9-keyboard2,dot,5756255.0,5948598.0,0,1
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-bear2,bicycle2-keyboard2,dot,5756255.0,6214456.0,0,1
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-bear2,bottle5-keyboard2,dot,5756255.0,5715266.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-bear2,bottle7-keyboard2,dot,5756255.0,5271891.5,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-bear2,clock7-keyboard2,dot,5756255.0,2768605.75,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-bear2,clock9-keyboard2,dot,5756255.0,4551796.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-bear2,elephant3-keyboard2,dot,5756255.0,4772031.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-truck2,cat4-keyboard2,dot,6201353.5,5475935.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-truck2,car1-keyboard2,dot,6201353.5,3413376.5,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-truck2,car10-keyboard2,dot,6201353.5,5228076.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-truck2,car9-keyboard2,dot,6201353.5,4547451.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-truck2,dog10-keyboard2,dot,6201353.5,5343130.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-truck2,dog4-keyboard2,dot,6201353.5,5320973.5,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-truck2,bear2-keyboard2,dot,6201353.5,4804178.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-truck2,bear3-keyboard2,dot,6201353.5,4511760.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-truck2,boat9-keyboard2,dot,6201353.5,4914130.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-truck2,boat3-keyboard2,dot,6201353.5,4764159.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-truck2,oven5-keyboard2,dot,6201353.5,4431174.5,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-truck2,chair5-keyboard2,dot,6201353.5,5409679.5,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-truck2,chair2-keyboard2,dot,6201353.5,5892484.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-truck2,chair9-keyboard2,dot,6201353.5,5640472.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-truck2,truck8-keyboard2,dot,6201353.5,4790500.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-truck2,bird8-keyboard2,dot,6201353.5,5444903.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-truck2,bird5-keyboard2,dot,6201353.5,5413646.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-truck2,airplane3-keyboard2,dot,6201353.5,5939094.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-truck2,airplane9-keyboard2,dot,6201353.5,5948598.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-truck2,bicycle2-keyboard2,dot,6201353.5,6214456.0,0,1
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-truck2,bottle5-keyboard2,dot,6201353.5,5715266.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-truck2,bottle7-keyboard2,dot,6201353.5,5271891.5,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-truck2,clock7-keyboard2,dot,6201353.5,2768605.75,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-truck2,clock9-keyboard2,dot,6201353.5,4551796.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-truck2,elephant3-keyboard2,dot,6201353.5,4772031.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-oven2,cat4-keyboard2,dot,6071618.0,5475935.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-oven2,car1-keyboard2,dot,6071618.0,3413376.5,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-oven2,car10-keyboard2,dot,6071618.0,5228076.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-oven2,car9-keyboard2,dot,6071618.0,4547451.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-oven2,dog10-keyboard2,dot,6071618.0,5343130.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-oven2,dog4-keyboard2,dot,6071618.0,5320973.5,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-oven2,bear2-keyboard2,dot,6071618.0,4804178.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-oven2,bear3-keyboard2,dot,6071618.0,4511760.0,1,0
resnet50_random,chair4-keyboard2,chair4,keyboard2,chair4-oven2,boat9-keyboard2,dot,6071618.0,4914130.0,1,0
