Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,cat8-car2,dot,4302756.0,4030103.5,1,0
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,cat4-car2,dot,4302756.0,4571044.5,0,1
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,cat5-car2,dot,4302756.0,3490387.0,1,0
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,cat1-car2,dot,4302756.0,3980334.5,1,0
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,dog1-car2,dot,4302756.0,3572993.5,1,0
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,dog7-car2,dot,4302756.0,4144884.25,1,0
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,bear3-car2,dot,4302756.0,3608749.5,1,0
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,bear2-car2,dot,4302756.0,3956916.5,1,0
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,bear10-car2,dot,4302756.0,4193852.0,1,0
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,bear6-car2,dot,4302756.0,3667552.5,1,0
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,boat1-car2,dot,4302756.0,3944980.5,1,0
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,oven3-car2,dot,4302756.0,3636703.75,1,0
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,oven9-car2,dot,4302756.0,3348301.0,1,0
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,chair10-car2,dot,4302756.0,4588436.5,0,1
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,chair7-car2,dot,4302756.0,3999035.5,1,0
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,bird7-car2,dot,4302756.0,4762152.5,0,1
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,bird8-car2,dot,4302756.0,4555358.0,0,1
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,bird5-car2,dot,4302756.0,4442541.0,0,1
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,airplane9-car2,dot,4302756.0,4867780.0,0,1
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,bicycle2-car2,dot,4302756.0,5083365.0,0,1
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,bicycle4-car2,dot,4302756.0,5055755.5,0,1
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,bicycle6-car2,dot,4302756.0,5115433.0,0,1
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,bottle2-car2,dot,4302756.0,4548238.0,0,1
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,keyboard6-car2,dot,4302756.0,4419377.0,0,1
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,keyboard3-car2,dot,4302756.0,4592784.0,0,1
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,clock3-car2,dot,4302756.0,3097339.0,1,0
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,clock4-car2,dot,4302756.0,3190153.0,1,0
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,knife7-car2,dot,4302756.0,4588802.5,0,1
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,knife4-car2,dot,4302756.0,4579134.0,0,1
resnet50_random,clock6-car2,clock6,car2,clock6-bottle1,knife8-car2,dot,4302756.0,4396828.0,0,1
resnet50_random,clock6-car2,clock6,car2,clock6-chair3,cat8-car2,dot,3930413.5,4030103.5,0,1
resnet50_random,clock6-car2,clock6,car2,clock6-chair3,cat4-car2,dot,3930413.5,4571044.5,0,1
resnet50_random,clock6-car2,clock6,car2,clock6-chair3,cat5-car2,dot,3930413.5,3490387.0,1,0
