Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,cat4-truck3,dot,4194625.0,4366063.0,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,cat3-truck3,dot,4194625.0,3661817.75,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,cat2-truck3,dot,4194625.0,3575865.75,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,car6-truck3,dot,4194625.0,2913595.75,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,car9-truck3,dot,4194625.0,3722851.5,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,car5-truck3,dot,4194625.0,3625628.0,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,car8-truck3,dot,4194625.0,3865640.5,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,bear8-truck3,dot,4194625.0,3613222.5,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,bear4-truck3,dot,4194625.0,4265496.0,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,bear3-truck3,dot,4194625.0,3540302.5,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,boat1-truck3,dot,4194625.0,3720517.0,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,boat6-truck3,dot,4194625.0,4504515.5,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,oven2-truck3,dot,4194625.0,2670356.0,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,oven4-truck3,dot,4194625.0,3109874.0,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,chair5-truck3,dot,4194625.0,4307041.0,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,chair7-truck3,dot,4194625.0,3920067.5,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,chair1-truck3,dot,4194625.0,4264191.0,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,bird3-truck3,dot,4194625.0,4179063.0,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,airplane8-truck3,dot,4194625.0,4495262.0,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,bicycle3-truck3,dot,4194625.0,4802241.0,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,bicycle4-truck3,dot,4194625.0,4884716.5,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,bicycle7-truck3,dot,4194625.0,5077070.0,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,bottle10-truck3,dot,4194625.0,4234816.5,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,keyboard9-truck3,dot,4194625.0,3324547.75,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,keyboard4-truck3,dot,4194625.0,3355215.0,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,keyboard8-truck3,dot,4194625.0,3344529.0,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,clock7-truck3,dot,4194625.0,2657006.25,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,clock1-truck3,dot,4194625.0,2844231.0,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,knife5-truck3,dot,4194625.0,4430825.0,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,knife8-truck3,dot,4194625.0,4226417.0,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,elephant8-truck3,dot,4194625.0,3894488.5,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-bottle1,elephant6-truck3,dot,4194625.0,3436671.0,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,cat4-truck3,dot,3832183.75,4366063.0,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,cat3-truck3,dot,3832183.75,3661817.75,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,cat2-truck3,dot,3832183.75,3575865.75,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,car6-truck3,dot,3832183.75,2913595.75,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,car9-truck3,dot,3832183.75,3722851.5,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,car5-truck3,dot,3832183.75,3625628.0,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,car8-truck3,dot,3832183.75,3865640.5,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,bear8-truck3,dot,3832183.75,3613222.5,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,bear4-truck3,dot,3832183.75,4265496.0,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,bear3-truck3,dot,3832183.75,3540302.5,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,boat1-truck3,dot,3832183.75,3720517.0,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,boat6-truck3,dot,3832183.75,4504515.5,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,oven2-truck3,dot,3832183.75,2670356.0,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,oven4-truck3,dot,3832183.75,3109874.0,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,chair5-truck3,dot,3832183.75,4307041.0,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,chair7-truck3,dot,3832183.75,3920067.5,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,chair1-truck3,dot,3832183.75,4264191.0,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,bird3-truck3,dot,3832183.75,4179063.0,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,airplane8-truck3,dot,3832183.75,4495262.0,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,bicycle3-truck3,dot,3832183.75,4802241.0,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,bicycle4-truck3,dot,3832183.75,4884716.5,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,bicycle7-truck3,dot,3832183.75,5077070.0,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,bottle10-truck3,dot,3832183.75,4234816.5,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,keyboard9-truck3,dot,3832183.75,3324547.75,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,keyboard4-truck3,dot,3832183.75,3355215.0,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,keyboard8-truck3,dot,3832183.75,3344529.0,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,clock7-truck3,dot,3832183.75,2657006.25,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,clock1-truck3,dot,3832183.75,2844231.0,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,knife5-truck3,dot,3832183.75,4430825.0,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,knife8-truck3,dot,3832183.75,4226417.0,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,elephant8-truck3,dot,3832183.75,3894488.5,0,1
resnet50_random,clock6-truck3,clock6,truck3,clock6-chair3,elephant6-truck3,dot,3832183.75,3436671.0,1,0
resnet50_random,clock6-truck3,clock6,truck3,clock6-bicycle1,cat4-truck3,dot,4298728.0,4366063.0,0,1
