Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-bicycle1,cat10-airplane3,dot,4684547.0,3772559.5,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-bicycle1,car3-airplane3,dot,4684547.0,4064953.25,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-bicycle1,car8-airplane3,dot,4684547.0,3952203.5,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-bicycle1,car5-airplane3,dot,4684547.0,3702356.0,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-bicycle1,dog9-airplane3,dot,4684547.0,4792642.0,0,1
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-bicycle1,dog1-airplane3,dot,4684547.0,3453959.5,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-bicycle1,bear1-airplane3,dot,4684547.0,3189252.25,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-bicycle1,bear5-airplane3,dot,4684547.0,3626080.5,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-bicycle1,oven6-airplane3,dot,4684547.0,3632743.5,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-bicycle1,truck4-airplane3,dot,4684547.0,3537031.0,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-bicycle1,truck2-airplane3,dot,4684547.0,3517632.75,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-bicycle1,bird2-airplane3,dot,4684547.0,3951517.25,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-bicycle1,bird5-airplane3,dot,4684547.0,4437802.0,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-bicycle1,bottle7-airplane3,dot,4684547.0,4456480.0,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-bicycle1,keyboard10-airplane3,dot,4684547.0,3764399.0,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-bicycle1,keyboard9-airplane3,dot,4684547.0,3396032.5,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-bicycle1,keyboard5-airplane3,dot,4684547.0,3334169.5,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-bicycle1,knife4-airplane3,dot,4684547.0,4611430.0,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-bicycle1,knife7-airplane3,dot,4684547.0,4695039.0,0,1
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-bicycle1,elephant7-airplane3,dot,4684547.0,4506337.0,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-bicycle1,elephant2-airplane3,dot,4684547.0,4216799.5,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-bicycle1,elephant8-airplane3,dot,4684547.0,3956696.5,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-cat3,cat10-airplane3,dot,4293075.0,3772559.5,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-cat3,car3-airplane3,dot,4293075.0,4064953.25,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-cat3,car8-airplane3,dot,4293075.0,3952203.5,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-cat3,car5-airplane3,dot,4293075.0,3702356.0,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-cat3,dog9-airplane3,dot,4293075.0,4792642.0,0,1
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-cat3,dog1-airplane3,dot,4293075.0,3453959.5,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-cat3,bear1-airplane3,dot,4293075.0,3189252.25,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-cat3,bear5-airplane3,dot,4293075.0,3626080.5,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-cat3,oven6-airplane3,dot,4293075.0,3632743.5,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-cat3,truck4-airplane3,dot,4293075.0,3537031.0,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-cat3,truck2-airplane3,dot,4293075.0,3517632.75,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-cat3,bird2-airplane3,dot,4293075.0,3951517.25,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-cat3,bird5-airplane3,dot,4293075.0,4437802.0,0,1
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-cat3,bottle7-airplane3,dot,4293075.0,4456480.0,0,1
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-cat3,keyboard10-airplane3,dot,4293075.0,3764399.0,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-cat3,keyboard9-airplane3,dot,4293075.0,3396032.5,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-cat3,keyboard5-airplane3,dot,4293075.0,3334169.5,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-cat3,knife4-airplane3,dot,4293075.0,4611430.0,0,1
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-cat3,knife7-airplane3,dot,4293075.0,4695039.0,0,1
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-cat3,elephant7-airplane3,dot,4293075.0,4506337.0,0,1
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-cat3,elephant2-airplane3,dot,4293075.0,4216799.5,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-cat3,elephant8-airplane3,dot,4293075.0,3956696.5,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-elephant2,cat10-airplane3,dot,4253714.0,3772559.5,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-elephant2,car3-airplane3,dot,4253714.0,4064953.25,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-elephant2,car8-airplane3,dot,4253714.0,3952203.5,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-elephant2,car5-airplane3,dot,4253714.0,3702356.0,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-elephant2,dog9-airplane3,dot,4253714.0,4792642.0,0,1
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-elephant2,dog1-airplane3,dot,4253714.0,3453959.5,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-elephant2,bear1-airplane3,dot,4253714.0,3189252.25,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-elephant2,bear5-airplane3,dot,4253714.0,3626080.5,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-elephant2,oven6-airplane3,dot,4253714.0,3632743.5,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-elephant2,truck4-airplane3,dot,4253714.0,3537031.0,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-elephant2,truck2-airplane3,dot,4253714.0,3517632.75,1,0
resnet50_random,dog4-airplane3,dog4,airplane3,dog4-elephant2,bird2-airplane3,dot,4253714.0,3951517.25,1,0
