Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-car3,cat2-bottle3,dot,4972772.0,4664532.0,1,0
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-car3,car10-bottle3,dot,4972772.0,5098026.0,0,1
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-car3,car3-bottle3,dot,4972772.0,4886870.5,1,0
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-car3,bear6-bottle3,dot,4972772.0,4554121.0,1,0
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-car3,oven3-bottle3,dot,4972772.0,4458416.0,1,0
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-car3,oven5-bottle3,dot,4972772.0,4689373.0,1,0
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-car3,chair10-bottle3,dot,4972772.0,5311990.0,0,1
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-car3,chair5-bottle3,dot,4972772.0,5208949.5,0,1
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-car3,chair9-bottle3,dot,4972772.0,5319233.5,0,1
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-car3,chair3-bottle3,dot,4972772.0,5140669.0,0,1
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-car3,truck2-bottle3,dot,4972772.0,4526334.5,1,0
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-car3,truck6-bottle3,dot,4972772.0,4979795.0,0,1
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-car3,bird9-bottle3,dot,4972772.0,5387752.0,0,1
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-car3,bird6-bottle3,dot,4972772.0,5240527.5,0,1
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-car3,airplane7-bottle3,dot,4972772.0,5270565.0,0,1
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-car3,airplane5-bottle3,dot,4972772.0,5081339.0,0,1
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-car3,bicycle5-bottle3,dot,4972772.0,5880261.5,0,1
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-car3,bicycle1-bottle3,dot,4972772.0,6130727.0,0,1
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-car3,clock2-bottle3,dot,4972772.0,4314486.0,1,0
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-car3,clock4-bottle3,dot,4972772.0,4030742.0,1,0
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-car3,knife6-bottle3,dot,4972772.0,5372453.0,0,1
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-car3,knife8-bottle3,dot,4972772.0,5136282.0,0,1
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-car3,knife7-bottle3,dot,4972772.0,5318556.0,0,1
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-car3,elephant2-bottle3,dot,4972772.0,5012865.0,0,1
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-dog1,cat2-bottle3,dot,4776254.5,4664532.0,1,0
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-dog1,car10-bottle3,dot,4776254.5,5098026.0,0,1
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-dog1,car3-bottle3,dot,4776254.5,4886870.5,0,1
resnet50_random,elephant7-bottle3,elephant7,bottle3,elephant7-dog1,bear6-bottle3,dot,4776254.5,4554121.0,1,0
