Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,elephant7-knife2,elephant7,knife2,elephant7-car3,cat7-knife2,dot,4674996.0,3568646.5,1,0
resnet50_random,elephant7-knife2,elephant7,knife2,elephant7-car3,cat5-knife2,dot,4674996.0,3155628.5,1,0
resnet50_random,elephant7-knife2,elephant7,knife2,elephant7-car3,cat9-knife2,dot,4674996.0,4559036.0,1,0
resnet50_random,elephant7-knife2,elephant7,knife2,elephant7-car3,car8-knife2,dot,4674996.0,4031552.75,1,0
resnet50_random,elephant7-knife2,elephant7,knife2,elephant7-car3,car5-knife2,dot,4674996.0,3811715.0,1,0
resnet50_random,elephant7-knife2,elephant7,knife2,elephant7-car3,dog5-knife2,dot,4674996.0,3696430.0,1,0
resnet50_random,elephant7-knife2,elephant7,knife2,elephant7-car3,bear9-knife2,dot,4674996.0,3033641.0,1,0
resnet50_random,elephant7-knife2,elephant7,knife2,elephant7-car3,bear2-knife2,dot,4674996.0,3982479.75,1,0
resnet50_random,elephant7-knife2,elephant7,knife2,elephant7-car3,bear10-knife2,dot,4674996.0,4248647.0,1,0
resnet50_random,elephant7-knife2,elephant7,knife2,elephant7-car3,boat6-knife2,dot,4674996.0,4778114.0,0,1
resnet50_random,elephant7-knife2,elephant7,knife2,elephant7-car3,boat9-knife2,dot,4674996.0,4137421.5,1,0
resnet50_random,elephant7-knife2,elephant7,knife2,elephant7-car3,boat4-knife2,dot,4674996.0,4278493.0,1,0
resnet50_random,elephant7-knife2,elephant7,knife2,elephant7-car3,boat5-knife2,dot,4674996.0,4655491.0,1,0
resnet50_random,elephant7-knife2,elephant7,knife2,elephant7-car3,oven4-knife2,dot,4674996.0,3090268.25,1,0
resnet50_random,elephant7-knife2,elephant7,knife2,elephant7-car3,oven8-knife2,dot,4674996.0,3055233.5,1,0
resnet50_random,elephant7-knife2,elephant7,knife2,elephant7-car3,chair7-knife2,dot,4674996.0,3959174.5,1,0
resnet50_random,elephant7-knife2,elephant7,knife2,elephant7-car3,chair8-knife2,dot,4674996.0,5192984.0,0,1
resnet50_random,elephant7-knife2,elephant7,knife2,elephant7-car3,truck3-knife2,dot,4674996.0,3394237.0,1,0
resnet50_random,elephant7-knife2,elephant7,knife2,elephant7-car3,truck6-knife2,dot,4674996.0,4317088.0,1,0
resnet50_random,elephant7-knife2,elephant7,knife2,elephant7-car3,bird8-knife2,dot,4674996.0,4589295.0,1,0
resnet50_random,elephant7-knife2,elephant7,knife2,elephant7-car3,bird7-knife2,dot,4674996.0,4913835.5,0,1
resnet50_random,elephant7-knife2,elephant7,knife2,elephant7-car3,bicycle2-knife2,dot,4674996.0,5209414.0,0,1
resnet50_random,elephant7-knife2,elephant7,knife2,elephant7-car3,bicycle7-knife2,dot,4674996.0,5310587.5,0,1
