Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,keyboard1-airplane2,keyboard1,airplane2,keyboard10-airplane3,cat7-airplane2,dot,3682442.75,3591938.0,1,0
resnet50_random,keyboard1-airplane2,keyboard1,airplane2,keyboard10-airplane3,cat5-airplane2,dot,3682442.75,3402122.5,1,0
resnet50_random,keyboard1-airplane2,keyboard1,airplane2,keyboard10-airplane3,car7-airplane2,dot,3682442.75,4291477.0,0,1
resnet50_random,keyboard1-airplane2,keyboard1,airplane2,keyboard10-airplane3,dog2-airplane2,dot,3682442.75,3153180.5,1,0
resnet50_random,keyboard1-airplane2,keyboard1,airplane2,keyboard10-airplane3,boat9-airplane2,dot,3682442.75,4167586.0,0,1
resnet50_random,keyboard1-airplane2,keyboard1,airplane2,keyboard10-airplane3,boat3-airplane2,dot,3682442.75,4069900.5,0,1
resnet50_random,keyboard1-airplane2,keyboard1,airplane2,keyboard10-airplane3,boat6-airplane2,dot,3682442.75,4661918.0,0,1
resnet50_random,keyboard1-airplane2,keyboard1,airplane2,keyboard10-airplane3,oven9-airplane2,dot,3682442.75,3329784.75,1,0
resnet50_random,keyboard1-airplane2,keyboard1,airplane2,keyboard10-airplane3,oven10-airplane2,dot,3682442.75,3395654.5,1,0
resnet50_random,keyboard1-airplane2,keyboard1,airplane2,keyboard10-airplane3,chair3-airplane2,dot,3682442.75,4398409.0,0,1
resnet50_random,keyboard1-airplane2,keyboard1,airplane2,keyboard10-airplane3,chair10-airplane2,dot,3682442.75,4514128.0,0,1
resnet50_random,keyboard1-airplane2,keyboard1,airplane2,keyboard10-airplane3,chair1-airplane2,dot,3682442.75,4323484.0,0,1
resnet50_random,keyboard1-airplane2,keyboard1,airplane2,keyboard10-airplane3,truck9-airplane2,dot,3682442.75,3516619.5,1,0
resnet50_random,keyboard1-airplane2,keyboard1,airplane2,keyboard10-airplane3,truck5-airplane2,dot,3682442.75,3737079.5,0,1
resnet50_random,keyboard1-airplane2,keyboard1,airplane2,keyboard10-airplane3,bird6-airplane2,dot,3682442.75,4549524.0,0,1
resnet50_random,keyboard1-airplane2,keyboard1,airplane2,keyboard10-airplane3,bird1-airplane2,dot,3682442.75,4286541.5,0,1
resnet50_random,keyboard1-airplane2,keyboard1,airplane2,keyboard10-airplane3,bicycle9-airplane2,dot,3682442.75,5368114.0,0,1
resnet50_random,keyboard1-airplane2,keyboard1,airplane2,keyboard10-airplane3,bicycle1-airplane2,dot,3682442.75,5246227.5,0,1
resnet50_random,keyboard1-airplane2,keyboard1,airplane2,keyboard10-airplane3,bicycle6-airplane2,dot,3682442.75,5140515.5,0,1
resnet50_random,keyboard1-airplane2,keyboard1,airplane2,keyboard10-airplane3,bicycle10-airplane2,dot,3682442.75,5043548.5,0,1
resnet50_random,keyboard1-airplane2,keyboard1,airplane2,keyboard10-airplane3,bottle3-airplane2,dot,3682442.75,4449707.5,0,1
resnet50_random,keyboard1-airplane2,keyboard1,airplane2,keyboard10-airplane3,keyboard8-airplane2,dot,3682442.75,3514177.25,1,0
