Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,cat5-dog3,dot,2761824.75,2495747.75,1,0
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,cat4-dog3,dot,2761824.75,3411294.5,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,cat7-dog3,dot,2761824.75,2631456.0,1,0
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,car7-dog3,dot,2761824.75,3147220.0,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,bear3-dog3,dot,2761824.75,2468595.5,1,0
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,bear7-dog3,dot,2761824.75,1971191.0,1,0
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,boat8-dog3,dot,2761824.75,3018326.5,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,boat3-dog3,dot,2761824.75,2898129.0,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,oven2-dog3,dot,2761824.75,1856105.625,1,0
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,oven5-dog3,dot,2761824.75,2723324.0,1,0
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,oven1-dog3,dot,2761824.75,1825467.25,1,0
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,truck5-dog3,dot,2761824.75,2606339.5,1,0
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,truck3-dog3,dot,2761824.75,2520155.0,1,0
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,truck8-dog3,dot,2761824.75,2965694.5,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,bird4-dog3,dot,2761824.75,3086559.0,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,airplane10-dog3,dot,2761824.75,3505367.0,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,airplane5-dog3,dot,2761824.75,3199414.25,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,bicycle10-dog3,dot,2761824.75,3742150.0,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,bicycle1-dog3,dot,2761824.75,3902989.75,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,bottle6-dog3,dot,2761824.75,3514535.0,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,keyboard1-dog3,dot,2761824.75,2987016.5,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,keyboard5-dog3,dot,2761824.75,2413506.0,1,0
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,clock10-dog3,dot,2761824.75,3465932.5,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-chair2,elephant9-dog3,dot,2761824.75,2519142.5,1,0
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,cat5-dog3,dot,2458018.75,2495747.75,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,cat4-dog3,dot,2458018.75,3411294.5,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,cat7-dog3,dot,2458018.75,2631456.0,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,car7-dog3,dot,2458018.75,3147220.0,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,bear3-dog3,dot,2458018.75,2468595.5,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,bear7-dog3,dot,2458018.75,1971191.0,1,0
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,boat8-dog3,dot,2458018.75,3018326.5,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,boat3-dog3,dot,2458018.75,2898129.0,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,oven2-dog3,dot,2458018.75,1856105.625,1,0
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,oven5-dog3,dot,2458018.75,2723324.0,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,oven1-dog3,dot,2458018.75,1825467.25,1,0
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,truck5-dog3,dot,2458018.75,2606339.5,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,truck3-dog3,dot,2458018.75,2520155.0,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,truck8-dog3,dot,2458018.75,2965694.5,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,bird4-dog3,dot,2458018.75,3086559.0,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,airplane10-dog3,dot,2458018.75,3505367.0,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,airplane5-dog3,dot,2458018.75,3199414.25,0,1
resnet50_random,keyboard8-dog3,keyboard8,dog3,keyboard8-oven1,bicycle10-dog3,dot,2458018.75,3742150.0,0,1
