Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,knife1-bird2,knife1,bird2,knife10-chair1,cat10-bird2,dot,5023399.5,4125759.5,1,0
resnet50_random,knife1-bird2,knife1,bird2,knife10-chair1,cat4-bird2,dot,5023399.5,5022928.0,1,0
resnet50_random,knife1-bird2,knife1,bird2,knife10-chair1,cat8-bird2,dot,5023399.5,4342603.5,1,0
resnet50_random,knife1-bird2,knife1,bird2,knife10-chair1,car3-bird2,dot,5023399.5,4436919.5,1,0
resnet50_random,knife1-bird2,knife1,bird2,knife10-chair1,dog3-bird2,dot,5023399.5,4932152.0,1,0
resnet50_random,knife1-bird2,knife1,bird2,knife10-chair1,bear6-bird2,dot,5023399.5,3888577.5,1,0
resnet50_random,knife1-bird2,knife1,bird2,knife10-chair1,bear1-bird2,dot,5023399.5,3549722.5,1,0
resnet50_random,knife1-bird2,knife1,bird2,knife10-chair1,boat8-bird2,dot,5023399.5,4453011.0,1,0
resnet50_random,knife1-bird2,knife1,bird2,knife10-chair1,oven2-bird2,dot,5023399.5,2474508.25,1,0
resnet50_random,knife1-bird2,knife1,bird2,knife10-chair1,chair6-bird2,dot,5023399.5,4926625.0,1,0
resnet50_random,knife1-bird2,knife1,bird2,knife10-chair1,truck3-bird2,dot,5023399.5,3619058.0,1,0
resnet50_random,knife1-bird2,knife1,bird2,knife10-chair1,truck5-bird2,dot,5023399.5,3814404.0,1,0
resnet50_random,knife1-bird2,knife1,bird2,knife10-chair1,truck2-bird2,dot,5023399.5,3750966.75,1,0
resnet50_random,knife1-bird2,knife1,bird2,knife10-chair1,truck7-bird2,dot,5023399.5,3086364.5,1,0
resnet50_random,knife1-bird2,knife1,bird2,knife10-chair1,airplane5-bird2,dot,5023399.5,4709328.5,1,0
resnet50_random,knife1-bird2,knife1,bird2,knife10-chair1,bicycle8-bird2,dot,5023399.5,5634061.0,0,1
resnet50_random,knife1-bird2,knife1,bird2,knife10-chair1,keyboard1-bird2,dot,5023399.5,4413330.0,1,0
resnet50_random,knife1-bird2,knife1,bird2,knife10-chair1,clock9-bird2,dot,5023399.5,4035552.5,1,0
resnet50_random,knife1-bird2,knife1,bird2,knife10-chair1,elephant8-bird2,dot,5023399.5,4283198.0,1,0
