Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,cat6-keyboard3,dot,4908288.0,4089970.25,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,cat1-keyboard3,dot,4908288.0,3986788.75,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,cat5-keyboard3,dot,4908288.0,3137859.25,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,car5-keyboard3,dot,4908288.0,3798552.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,car7-keyboard3,dot,4908288.0,4409706.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,dog8-keyboard3,dot,4908288.0,4829107.5,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,dog7-keyboard3,dot,4908288.0,4206187.5,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,bear4-keyboard3,dot,4908288.0,4596974.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,bear10-keyboard3,dot,4908288.0,4348691.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,bear9-keyboard3,dot,4908288.0,3234143.5,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,boat1-keyboard3,dot,4908288.0,3915799.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,boat7-keyboard3,dot,4908288.0,4792689.5,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,oven8-keyboard3,dot,4908288.0,2972846.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,oven4-keyboard3,dot,4908288.0,2958949.75,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,chair8-keyboard3,dot,4908288.0,5333834.0,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,truck3-keyboard3,dot,4908288.0,3344462.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,truck7-keyboard3,dot,4908288.0,2687645.5,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,bird1-keyboard3,dot,4908288.0,4463903.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,bird7-keyboard3,dot,4908288.0,5002264.0,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,airplane4-keyboard3,dot,4908288.0,5005906.5,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,airplane6-keyboard3,dot,4908288.0,5059366.5,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,bicycle5-keyboard3,dot,4908288.0,5444630.0,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,bicycle4-keyboard3,dot,4908288.0,5363807.0,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,bicycle9-keyboard3,dot,4908288.0,5811550.5,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,bottle1-keyboard3,dot,4908288.0,4629373.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,bottle8-keyboard3,dot,4908288.0,4694802.5,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,clock3-keyboard3,dot,4908288.0,2658408.75,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,knife1-keyboard3,dot,4908288.0,5059058.5,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,knife10-keyboard3,dot,4908288.0,4570906.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,knife3-keyboard3,dot,4908288.0,5035039.0,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,elephant2-keyboard3,dot,4908288.0,4459585.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,elephant1-keyboard3,dot,4908288.0,4159809.25,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-clock1,elephant7-keyboard3,dot,4908288.0,4700465.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,cat6-keyboard3,dot,4870795.0,4089970.25,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,cat1-keyboard3,dot,4870795.0,3986788.75,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,cat5-keyboard3,dot,4870795.0,3137859.25,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,car5-keyboard3,dot,4870795.0,3798552.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,car7-keyboard3,dot,4870795.0,4409706.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,dog8-keyboard3,dot,4870795.0,4829107.5,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,dog7-keyboard3,dot,4870795.0,4206187.5,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,bear4-keyboard3,dot,4870795.0,4596974.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,bear10-keyboard3,dot,4870795.0,4348691.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,bear9-keyboard3,dot,4870795.0,3234143.5,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,boat1-keyboard3,dot,4870795.0,3915799.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,boat7-keyboard3,dot,4870795.0,4792689.5,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,oven8-keyboard3,dot,4870795.0,2972846.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,oven4-keyboard3,dot,4870795.0,2958949.75,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,chair8-keyboard3,dot,4870795.0,5333834.0,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,truck3-keyboard3,dot,4870795.0,3344462.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,truck7-keyboard3,dot,4870795.0,2687645.5,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,bird1-keyboard3,dot,4870795.0,4463903.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,bird7-keyboard3,dot,4870795.0,5002264.0,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,airplane4-keyboard3,dot,4870795.0,5005906.5,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,airplane6-keyboard3,dot,4870795.0,5059366.5,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,bicycle5-keyboard3,dot,4870795.0,5444630.0,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,bicycle4-keyboard3,dot,4870795.0,5363807.0,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,bicycle9-keyboard3,dot,4870795.0,5811550.5,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,bottle1-keyboard3,dot,4870795.0,4629373.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,bottle8-keyboard3,dot,4870795.0,4694802.5,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,clock3-keyboard3,dot,4870795.0,2658408.75,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,knife1-keyboard3,dot,4870795.0,5059058.5,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,knife10-keyboard3,dot,4870795.0,4570906.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,knife3-keyboard3,dot,4870795.0,5035039.0,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,elephant2-keyboard3,dot,4870795.0,4459585.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,elephant1-keyboard3,dot,4870795.0,4159809.25,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-oven2,elephant7-keyboard3,dot,4870795.0,4700465.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,cat6-keyboard3,dot,4849302.0,4089970.25,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,cat1-keyboard3,dot,4849302.0,3986788.75,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,cat5-keyboard3,dot,4849302.0,3137859.25,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,car5-keyboard3,dot,4849302.0,3798552.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,car7-keyboard3,dot,4849302.0,4409706.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,dog8-keyboard3,dot,4849302.0,4829107.5,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,dog7-keyboard3,dot,4849302.0,4206187.5,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,bear4-keyboard3,dot,4849302.0,4596974.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,bear10-keyboard3,dot,4849302.0,4348691.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,bear9-keyboard3,dot,4849302.0,3234143.5,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,boat1-keyboard3,dot,4849302.0,3915799.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,boat7-keyboard3,dot,4849302.0,4792689.5,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,oven8-keyboard3,dot,4849302.0,2972846.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,oven4-keyboard3,dot,4849302.0,2958949.75,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,chair8-keyboard3,dot,4849302.0,5333834.0,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,truck3-keyboard3,dot,4849302.0,3344462.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,truck7-keyboard3,dot,4849302.0,2687645.5,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,bird1-keyboard3,dot,4849302.0,4463903.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,bird7-keyboard3,dot,4849302.0,5002264.0,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,airplane4-keyboard3,dot,4849302.0,5005906.5,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,airplane6-keyboard3,dot,4849302.0,5059366.5,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,bicycle5-keyboard3,dot,4849302.0,5444630.0,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,bicycle4-keyboard3,dot,4849302.0,5363807.0,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,bicycle9-keyboard3,dot,4849302.0,5811550.5,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,bottle1-keyboard3,dot,4849302.0,4629373.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,bottle8-keyboard3,dot,4849302.0,4694802.5,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,clock3-keyboard3,dot,4849302.0,2658408.75,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,knife1-keyboard3,dot,4849302.0,5059058.5,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,knife10-keyboard3,dot,4849302.0,4570906.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,knife3-keyboard3,dot,4849302.0,5035039.0,0,1
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,elephant2-keyboard3,dot,4849302.0,4459585.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,elephant1-keyboard3,dot,4849302.0,4159809.25,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-dog1,elephant7-keyboard3,dot,4849302.0,4700465.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-truck3,cat6-keyboard3,dot,4884287.0,4089970.25,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-truck3,cat1-keyboard3,dot,4884287.0,3986788.75,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-truck3,cat5-keyboard3,dot,4884287.0,3137859.25,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-truck3,car5-keyboard3,dot,4884287.0,3798552.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-truck3,car7-keyboard3,dot,4884287.0,4409706.0,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-truck3,dog8-keyboard3,dot,4884287.0,4829107.5,1,0
resnet50_random,knife5-keyboard3,knife5,keyboard3,knife5-truck3,dog7-keyboard3,dot,4884287.0,4206187.5,1,0
