Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,cat3-oven2,dot,4870795.0,4080764.5,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,cat10-oven2,dot,4870795.0,4118511.5,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,car7-oven2,dot,4870795.0,4520316.0,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,car5-oven2,dot,4870795.0,4019016.25,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,car4-oven2,dot,4870795.0,4388893.0,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,dog10-oven2,dot,4870795.0,4791328.0,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,dog7-oven2,dot,4870795.0,4442060.5,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,bear4-oven2,dot,4870795.0,4739818.0,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,chair4-oven2,dot,4870795.0,5438802.5,0,1
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,chair5-oven2,dot,4870795.0,4849675.5,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,truck7-oven2,dot,4870795.0,3028520.25,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,truck3-oven2,dot,4870795.0,3587947.5,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,truck4-oven2,dot,4870795.0,4024945.5,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,airplane10-oven2,dot,4870795.0,5075386.0,0,1
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,airplane8-oven2,dot,4870795.0,5036196.0,0,1
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,airplane9-oven2,dot,4870795.0,5339785.0,0,1
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,bottle7-oven2,dot,4870795.0,4729367.0,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,bottle5-oven2,dot,4870795.0,5078707.0,0,1
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,bottle4-oven2,dot,4870795.0,4958652.0,0,1
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,bottle9-oven2,dot,4870795.0,4757453.0,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,keyboard4-oven2,dot,4870795.0,3642000.5,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,keyboard5-oven2,dot,4870795.0,3613716.25,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,keyboard7-oven2,dot,4870795.0,4164175.5,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,clock10-oven2,dot,4870795.0,4882520.5,0,1
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,knife4-oven2,dot,4870795.0,4851780.0,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-keyboard3,elephant1-oven2,dot,4870795.0,4367211.0,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-clock1,cat3-oven2,dot,5001815.5,4080764.5,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-clock1,cat10-oven2,dot,5001815.5,4118511.5,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-clock1,car7-oven2,dot,5001815.5,4520316.0,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-clock1,car5-oven2,dot,5001815.5,4019016.25,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-clock1,car4-oven2,dot,5001815.5,4388893.0,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-clock1,dog10-oven2,dot,5001815.5,4791328.0,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-clock1,dog7-oven2,dot,5001815.5,4442060.5,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-clock1,bear4-oven2,dot,5001815.5,4739818.0,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-clock1,chair4-oven2,dot,5001815.5,5438802.5,0,1
resnet50_random,knife5-oven2,knife5,oven2,knife5-clock1,chair5-oven2,dot,5001815.5,4849675.5,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-clock1,truck7-oven2,dot,5001815.5,3028520.25,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-clock1,truck3-oven2,dot,5001815.5,3587947.5,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-clock1,truck4-oven2,dot,5001815.5,4024945.5,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-clock1,airplane10-oven2,dot,5001815.5,5075386.0,0,1
resnet50_random,knife5-oven2,knife5,oven2,knife5-clock1,airplane8-oven2,dot,5001815.5,5036196.0,0,1
resnet50_random,knife5-oven2,knife5,oven2,knife5-clock1,airplane9-oven2,dot,5001815.5,5339785.0,0,1
resnet50_random,knife5-oven2,knife5,oven2,knife5-clock1,bottle7-oven2,dot,5001815.5,4729367.0,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-clock1,bottle5-oven2,dot,5001815.5,5078707.0,0,1
resnet50_random,knife5-oven2,knife5,oven2,knife5-clock1,bottle4-oven2,dot,5001815.5,4958652.0,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-clock1,bottle9-oven2,dot,5001815.5,4757453.0,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-clock1,keyboard4-oven2,dot,5001815.5,3642000.5,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-clock1,keyboard5-oven2,dot,5001815.5,3613716.25,1,0
resnet50_random,knife5-oven2,knife5,oven2,knife5-clock1,keyboard7-oven2,dot,5001815.5,4164175.5,1,0
