Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,cat4-truck3,dot,1573465.375,2960355.75,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,cat3-truck3,dot,1573465.375,2483255.25,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,cat2-truck3,dot,1573465.375,2425481.5,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,car6-truck3,dot,1573465.375,1976395.75,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,car9-truck3,dot,1573465.375,2524916.0,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,car5-truck3,dot,1573465.375,2459175.25,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,car8-truck3,dot,1573465.375,2621773.0,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,bear8-truck3,dot,1573465.375,2451491.75,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,bear4-truck3,dot,1573465.375,2892182.25,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,bear3-truck3,dot,1573465.375,2402040.0,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,boat1-truck3,dot,1573465.375,2522502.25,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,boat6-truck3,dot,1573465.375,3054231.25,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,oven4-truck3,dot,1573465.375,2109922.25,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,chair5-truck3,dot,1573465.375,2921237.25,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,chair7-truck3,dot,1573465.375,2659607.25,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,chair1-truck3,dot,1573465.375,2892095.25,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,bird3-truck3,dot,1573465.375,2833622.75,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,airplane8-truck3,dot,1573465.375,3047939.5,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,bicycle3-truck3,dot,1573465.375,3256729.75,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,bicycle4-truck3,dot,1573465.375,3312681.5,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,bicycle7-truck3,dot,1573465.375,3442826.0,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,bottle10-truck3,dot,1573465.375,2871823.75,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,keyboard9-truck3,dot,1573465.375,2254469.0,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,keyboard4-truck3,dot,1573465.375,2275057.25,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,keyboard8-truck3,dot,1573465.375,2268135.25,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,clock7-truck3,dot,1573465.375,1803798.0,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,clock1-truck3,dot,1573465.375,1929109.125,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,clock6-truck3,dot,1573465.375,2670356.0,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,knife5-truck3,dot,1573465.375,3003832.0,0,1
resnet50_random,oven2-truck3,oven2,truck3,oven2-dog3,knife8-truck3,dot,1573465.375,2865038.5,0,1
